From	To
P06753	9606.ENSP00000357516
Q14980	9606.ENSP00000377298
Q9UNF0	9606.ENSP00000263246
Q9UBQ7	9606.ENSP00000313432
P43304	9606.ENSP00000308610
Q53G44	9606.ENSP00000359787
P02766	9606.ENSP00000237014
Q6P1J9	9606.ENSP00000356405
P51452	9606.ENSP00000226004
Q86TC9	9606.ENSP00000351790
Q9Y277	9606.ENSP00000428845
O95785	9606.ENSP00000263381
Q7Z3D6	9606.ENSP00000428263
P53814	9606.ENSP00000484398
P15923	9606.ENSP00000262965
O43395	9606.ENSP00000315379
Q86VP6	9606.ENSP00000442318
Q96ST3	9606.ENSP00000378402
Q12888	9606.ENSP00000371475
Q8NBX0	9606.ENSP00000355467
Q13573	9606.ENSP00000261531
Q8TDL5	9606.ENSP00000253354
Q96FQ6	9606.ENSP00000357693
Q9H0R6	9606.ENSP00000358042
Q8NCM8	9606.ENSP00000381167
O60701	9606.ENSP00000319501
P78362	9606.ENSP00000377262
O95782	9606.ENSP00000351926
Q15293	9606.ENSP00000054950
O15382	9606.ENSP00000322991
P30038	9606.ENSP00000364490
Q8IVT2	9606.ENSP00000215582
P67809	9606.ENSP00000361626
Q7Z6I8	9606.ENSP00000378427
O43823	9606.ENSP00000269701
Q6PK04	9606.ENSP00000329360
P35251	9606.ENSP00000371321
Q1ED39	9606.ENSP00000219837
P12270	9606.ENSP00000356448
Q08357	9606.ENSP00000340465
P16383	9606.ENSP00000318690
P27482	9606.ENSP00000315299
P98196	9606.ENSP00000420387
P31327	9606.ENSP00000402608
Q9NU22	9606.ENSP00000358400
P05164	9606.ENSP00000225275
P80723	9606.ENSP00000319281
O75569	9606.ENSP00000318176
P35240	9606.ENSP00000344666
Q12929	9606.ENSP00000281172
P46821	9606.ENSP00000296755
P55263	9606.ENSP00000286621
Q14554	9606.ENSP00000323313
Q08211	9606.ENSP00000356520
Q92817	9606.ENSP00000301607
P06454	9606.ENSP00000344547
Q9Y2A7	9606.ENSP00000354251
Q9NW82	9606.ENSP00000265107
Q01995	9606.ENSP00000432282
Q7Z460	9606.ENSP00000263710
Q9H9Z2	9606.ENSP00000363314
P20962	9606.ENSP00000478828
Q13356	9606.ENSP00000334553
P11586	9606.ENSP00000216605
P29966	9606.ENSP00000478061
Q1KMD3	9606.ENSP00000301785
Q13751	9606.ENSP00000375778
Q9UHB6	9606.ENSP00000378400
O95425	9606.ENSP00000348128
Q8WUB8	9606.ENSP00000341805
Q52LJ0	9606.ENSP00000380734
Q9P278	9606.ENSP00000264433
Q9NW13	9606.ENSP00000223073
Q9P260	9606.ENSP00000381198
O43272	9606.ENSP00000481127
Q8WUY3	9606.ENSP00000365908
Q9HCS7	9606.ENSP00000351137
P49458	9606.ENSP00000305230
Q9NVM6	9606.ENSP00000220496
Q9UHV9	9606.ENSP00000356989
O94906	9606.ENSP00000266079
Q86Y79	9606.ENSP00000418661
Q9NR33	9606.ENSP00000420176
P35232	9606.ENSP00000479488
Q9BUK6	9606.ENSP00000245564
O15020	9606.ENSP00000432568
O75717	9606.ENSP00000353793
Q08379	9606.ENSP00000416097
P78318	9606.ENSP00000363661
P33176	9606.ENSP00000307078
O60524	9606.ENSP00000298310
Q9C0C2	9606.ENSP00000437271
Q9H6R3	9606.ENSP00000449535
P49327	9606.ENSP00000304592
Q9GZU2	9606.ENSP00000326581
Q9NS91	9606.ENSP00000264926
O76021	9606.ENSP00000460871
P35606	9606.ENSP00000329419
Q14676	9606.ENSP00000365588
P53985	9606.ENSP00000441065
Q14978	9606.ENSP00000385410
Q9BY42	9606.ENSP00000023939
Q9P032	9606.ENSP00000358272
Q9GZS1	9606.ENSP00000367029
Q9UI15	9606.ENSP00000377494
Q9UDT6	9606.ENSP00000223398
Q4KMQ1	9606.ENSP00000387100
Q10471	9606.ENSP00000355632
Q7Z4V5	9606.ENSP00000483345
Q9NVZ3	9606.ENSP00000391942
P27708	9606.ENSP00000264705
P31483	9606.ENSP00000401371
P62258	9606.ENSP00000264335
Q6UWE0	9606.ENSP00000322937
Q13439	9606.ENSP00000349305
P49257	9606.ENSP00000251047
Q969H8	9606.ENSP00000262947
P50416	9606.ENSP00000265641
O00273	9606.ENSP00000366237
Q9UQ35	9606.ENSP00000301740
P31040	9606.ENSP00000264932
Q08380	9606.ENSP00000262776
Q9UID3	9606.ENSP00000279281
Q5JTZ9	9606.ENSP00000244571
Q8WUM0	9606.ENSP00000261396
P10636	9606.ENSP00000340820
Q92667	9606.ENSP00000478212
P05091	9606.ENSP00000261733
Q9UBI1	9606.ENSP00000366032
Q86XP3	9606.ENSP00000464050
Q13123	9606.ENSP00000396301
Q96CT7	9606.ENSP00000471455
Q9UKD2	9606.ENSP00000364320
P19623	9606.ENSP00000366156
P26006	9606.ENSP00000007722
Q92925	9606.ENSP00000392617
A6NCS6	9606.ENSP00000362743
A4D1S0	9606.ENSP00000339356
O75175	9606.ENSP00000351159
Q9Y4K1	9606.ENSP00000358062
P46379	9606.ENSP00000365131
Q9NSD9	9606.ENSP00000281828
P52758	9606.ENSP00000254878
Q9Y315	9606.ENSP00000416583
Q86UP2	9606.ENSP00000378725
P09758	9606.ENSP00000360269
Q8TE68	9606.ENSP00000201647
Q99543	9606.ENSP00000368565
O60231	9606.ENSP00000365625
Q9UHI6	9606.ENSP00000358716
P22102	9606.ENSP00000371253
Q0VDF9	9606.ENSP00000367623
Q9HC84	9606.ENSP00000436812
P56182	9606.ENSP00000417464
Q9H4A6	9606.ENSP00000265070
Q9C0H9	9606.ENSP00000484715
Q92499	9606.ENSP00000370745
P46926	9606.ENSP00000423674
Q8IYS2	9606.ENSP00000365756
Q14761	9606.ENSP00000325589
Q8N1G4	9606.ENSP00000367498
P28838	9606.ENSP00000226299
Q99459	9606.ENSP00000360532
P30566	9606.ENSP00000485525
P47736	9606.ENSP00000434033
Q9Y2S6	9606.ENSP00000397843
O75533	9606.ENSP00000335321
P11474	9606.ENSP00000384851
Q68DC2	9606.ENSP00000297837
P39059	9606.ENSP00000364140
Q8IUD2	9606.ENSP00000468263
Q9BW92	9606.ENSP00000358060
Q15785	9606.ENSP00000361900
Q96KM6	9606.ENSP00000393795
Q9BQ69	9606.ENSP00000255681
P20618	9606.ENSP00000262193
P27694	9606.ENSP00000254719
P82970	9606.ENSP00000350848
O75369	9606.ENSP00000420213
Q5T653	9606.ENSP00000373404
Q8N5M9	9606.ENSP00000306106
P10586	9606.ENSP00000353030
Q14974	9606.ENSP00000290158
P05386	9606.ENSP00000346037
Q96SB3	9606.ENSP00000478767
P98160	9606.ENSP00000363827
Q9Y230	9606.ENSP00000473172
Q9H0N5	9606.ENSP00000421544
P33316	9606.ENSP00000370376
Q5JSZ5	9606.ENSP00000349856
Q8TEX9	9606.ENSP00000346453
P13591	9606.ENSP00000480132
Q8WZA9	9606.ENSP00000387535
Q15833	9606.ENSP00000413606
O43795	9606.ENSP00000376132
Q9UQ80	9606.ENSP00000302886
O95613	9606.ENSP00000352572
P78371	9606.ENSP00000299300
P04049	9606.ENSP00000251849
Q5JWF2	9606.ENSP00000360141
P61764	9606.ENSP00000362399
Q92754	9606.ENSP00000201031
Q2TAY7	9606.ENSP00000380336
Q96PK6	9606.ENSP00000311747
Q96RK0	9606.ENSP00000458663
Q92804	9606.ENSP00000474096
P35637	9606.ENSP00000254108
Q9UHB9	9606.ENSP00000312066
Q8NB49	9606.ENSP00000332756
P11388	9606.ENSP00000411532
Q9Y2W6	9606.ENSP00000357812
Q9H336	9606.ENSP00000262207
O43432	9606.ENSP00000383274
Q15075	9606.ENSP00000317955
O14744	9606.ENSP00000319169
Q01664	9606.ENSP00000204517
Q02318	9606.ENSP00000258415
Q9NQG6	9606.ENSP00000327124
P04114	9606.ENSP00000233242
O60645	9606.ENSP00000425587
Q8TEW0	9606.ENSP00000363921
Q7Z3J2	9606.ENSP00000251143
P22234	9606.ENSP00000382595
Q969Q5	9606.ENSP00000304376
P61970	9606.ENSP00000219169
O00339	9606.ENSP00000254898
Q6YN16	9606.ENSP00000381785
P42285	9606.ENSP00000230640
Q14643	9606.ENSP00000306253
Q06323	9606.ENSP00000372155
Q8NCB2	9606.ENSP00000419195
Q02790	9606.ENSP00000001008
P62913	9606.ENSP00000363676
A6NKD9	9606.ENSP00000369592
Q69YQ0	9606.ENSP00000325785
Q9HA77	9606.ENSP00000257347
Q9HC35	9606.ENSP00000320663
Q32P44	9606.ENSP00000378254
Q96SY0	9606.ENSP00000408429
Q14195	9606.ENSP00000343690
Q16555	9606.ENSP00000309539
P24941	9606.ENSP00000266970
Q8IVF2	9606.ENSP00000353114
Q9Y240	9606.ENSP00000250340
P54920	9606.ENSP00000263354
Q9H115	9606.ENSP00000482826
A7MBM2	9606.ENSP00000267889
Q68EM7	9606.ENSP00000289968
P15428	9606.ENSP00000296522
P09417	9606.ENSP00000281243
Q53EL6	9606.ENSP00000280154
Q8NFW8	9606.ENSP00000229329
Q86UK7	9606.ENSP00000411409
P34897	9606.ENSP00000333667
O15061	9606.ENSP00000336775
Q12788	9606.ENSP00000454836
Q92879	9606.ENSP00000435926
P52815	9606.ENSP00000333837
P08727	9606.ENSP00000355124
Q96FS4	9606.ENSP00000377771
Q92922	9606.ENSP00000254480
Q96CW5	9606.ENSP00000261965
P12081	9606.ENSP00000425634
Q9H0D6	9606.ENSP00000366396
P78549	9606.ENSP00000219066
Q9NRV9	9606.ENSP00000014930
Q9H7J1	9606.ENSP00000408288
P09601	9606.ENSP00000216117
Q92797	9606.ENSP00000245934
Q6PUV4	9606.ENSP00000352544
Q14134	9606.ENSP00000343129
Q14168	9606.ENSP00000428182
O14578	9606.ENSP00000376306
O75643	9606.ENSP00000317123
Q9BRX8	9606.ENSP00000482445
Q99707	9606.ENSP00000355536
Q12872	9606.ENSP00000437738
Q96GD0	9606.ENSP00000215904
P42684	9606.ENSP00000427562
Q92932	9606.ENSP00000374069
P11172	9606.ENSP00000232607
P14317	9606.ENSP00000320176
Q9UIF9	9606.ENSP00000446880
P49788	9606.ENSP00000237696
P41227	9606.ENSP00000417763
Q86V59	9606.ENSP00000318131
Q9Y5V0	9606.ENSP00000430823
Q3KQV9	9606.ENSP00000386935
O00401	9606.ENSP00000223023
Q9C0C9	9606.ENSP00000323687
Q96EV2	9606.ENSP00000384160
Q13813	9606.ENSP00000361824
Q92616	9606.ENSP00000300648
P50914	9606.ENSP00000379506
Q92974	9606.ENSP00000354837
P08476	9606.ENSP00000242208
Q9Y613	9606.ENSP00000258201
P07814	9606.ENSP00000355890
Q6PGP7	9606.ENSP00000351596
Q99959	9606.ENSP00000070846
Q8IZ83	9606.ENSP00000293350
Q3ZAQ7	9606.ENSP00000333255
O95602	9606.ENSP00000263857
Q8IUC4	9606.ENSP00000254260
P12821	9606.ENSP00000290866
Q13217	9606.ENSP00000473631
Q99988	9606.ENSP00000252809
O95490	9606.ENSP00000322270
Q7Z6Z7	9606.ENSP00000340648
Q92481	9606.ENSP00000377265
Q9H3S7	9606.ENSP00000265562
O00139	9606.ENSP00000385000
Q9H773	9606.ENSP00000322524
P50583	9606.ENSP00000368455
P62851	9606.ENSP00000435096
Q9H9Y6	9606.ENSP00000444136
Q03001	9606.ENSP00000307959
O96013	9606.ENSP00000469413
Q9H2Y7	9606.ENSP00000263805
P53041	9606.ENSP00000012443
Q8IZA0	9606.ENSP00000318406
Q9UNQ2	9606.ENSP00000199320
P78527	9606.ENSP00000313420
O95831	9606.ENSP00000287295
Q04637	9606.ENSP00000416255
Q13362	9606.ENSP00000412324
Q07954	9606.ENSP00000243077
P61201	9606.ENSP00000299259
Q6Y7W6	9606.ENSP00000387170
Q8N4F0	9606.ENSP00000170150
P55084	9606.ENSP00000325136
Q9BUE6	9606.ENSP00000365159
Q9BS40	9606.ENSP00000264265
Q9BUF5	9606.ENSP00000318697
Q14194	9606.ENSP00000321606
Q9BPU6	9606.ENSP00000288699
Q96L73	9606.ENSP00000395929
O76024	9606.ENSP00000226760
P54886	9606.ENSP00000360268
Q9UJX2	9606.ENSP00000378350
Q9HBH0	9606.ENSP00000267205
Q86UY6	9606.ENSP00000367024
Q16891	9606.ENSP00000387262
P35222	9606.ENSP00000344456
Q8IZ69	9606.ENSP00000252136
Q96DX7	9606.ENSP00000299413
P14923	9606.ENSP00000377508
P04083	9606.ENSP00000366109
Q9BTW9	9606.ENSP00000347719
P01019	9606.ENSP00000355627
Q8NE71	9606.ENSP00000313603
Q9NYL9	9606.ENSP00000308753
P42765	9606.ENSP00000285093
Q13449	9606.ENSP00000419000
P25787	9606.ENSP00000223321
P08631	9606.ENSP00000444986
P06239	9606.ENSP00000337825
Q8NEZ5	9606.ENSP00000307833
P55899	9606.ENSP00000221466
Q8WXI9	9606.ENSP00000357644
P26012	9606.ENSP00000222573
P46063	9606.ENSP00000416739
P08574	9606.ENSP00000317159
Q9BV44	9606.ENSP00000339532
Q9C0H2	9606.ENSP00000258796
Q8IY81	9606.ENSP00000396673
Q9Y4L1	9606.ENSP00000480150
P50750	9606.ENSP00000362361
Q9Y6E0	9606.ENSP00000365730
P07948	9606.ENSP00000428924
O75489	9606.ENSP00000263774
P17676	9606.ENSP00000305422
Q96JN8	9606.ENSP00000382390
Q9UPW6	9606.ENSP00000401112
Q9UBP6	9606.ENSP00000314441
Q13428	9606.ENSP00000367028
Q8NF37	9606.ENSP00000283415
Q9UKV3	9606.ENSP00000262710
Q9UHJ6	9606.ENSP00000225519
Q99856	9606.ENSP00000263620
Q96GQ7	9606.ENSP00000483495
Q9Y639	9606.ENSP00000290401
P51843	9606.ENSP00000368253
P31146	9606.ENSP00000219150
Q96TA1	9606.ENSP00000362409
Q92947	9606.ENSP00000222214
Q15181	9606.ENSP00000362329
Q15233	9606.ENSP00000276079
Q5K4L6	9606.ENSP00000485061
P35658	9606.ENSP00000352400
P39656	9606.ENSP00000399457
Q15120	9606.ENSP00000387536
P85298	9606.ENSP00000374424
P12111	9606.ENSP00000295550
Q5T6F2	9606.ENSP00000368540
Q7L2J0	9606.ENSP00000308546
O75694	9606.ENSP00000231498
Q9HCB6	9606.ENSP00000460236
Q96CF2	9606.ENSP00000297265
Q9BRP8	9606.ENSP00000386156
P20248	9606.ENSP00000274026
P18583	9606.ENSP00000348984
Q9BUL5	9606.ENSP00000322579
P41440	9606.ENSP00000308895
P11274	9606.ENSP00000303507
P37837	9606.ENSP00000321259
P06132	9606.ENSP00000246337
P62995	9606.ENSP00000416959
P04075	9606.ENSP00000378669
P56693	9606.ENSP00000380093
O75449	9606.ENSP00000356381
Q16134	9606.ENSP00000426638
P62910	9606.ENSP00000416429
Q2TB90	9606.ENSP00000346643
P19367	9606.ENSP00000402103
P52789	9606.ENSP00000290573
P55268	9606.ENSP00000388325
Q9UPY3	9606.ENSP00000437256
Q9NZL4	9606.ENSP00000255631
Q96D71	9606.ENSP00000392065
P43353	9606.ENSP00000473990
P23610	9606.ENSP00000358518
Q969V3	9606.ENSP00000246117
O14492	9606.ENSP00000440273
Q99623	9606.ENSP00000441875
P07942	9606.ENSP00000222399
Q9Y5F8	9606.ENSP00000381594
Q96B54	9606.ENSP00000300811
P48729	9606.ENSP00000421689
Q86U86	9606.ENSP00000378307
Q96A26	9606.ENSP00000419088
P35914	9606.ENSP00000363614
Q13444	9606.ENSP00000349436
P46459	9606.ENSP00000381293
O94915	9606.ENSP00000351113
Q6NXR4	9606.ENSP00000478396
Q96I24	9606.ENSP00000318177
O96011	9606.ENSP00000358312
Q9NQ88	9606.ENSP00000179259
P23588	9606.ENSP00000388806
P00352	9606.ENSP00000297785
Q9Y4F5	9606.ENSP00000404151
O00116	9606.ENSP00000264167
O75367	9606.ENSP00000423563
O00154	9606.ENSP00000367086
Q96HY6	9606.ENSP00000346483
Q9BSJ2	9606.ENSP00000446093
P55145	9606.ENSP00000432799
Q16787	9606.ENSP00000324532
P13861	9606.ENSP00000265563
Q96JM3	9606.ENSP00000354730
O60262	9606.ENSP00000371594
Q13422	9606.ENSP00000331614
Q99766	9606.ENSP00000308334
Q9UBX1	9606.ENSP00000310832
P09525	9606.ENSP00000377833
P26640	9606.ENSP00000364815
Q9Y5B9	9606.ENSP00000216297
Q53EL9	9606.ENSP00000312942
Q9Y2J4	9606.ENSP00000424765
O96007	9606.ENSP00000380157
Q08378	9606.ENSP00000204726
Q96N66	9606.ENSP00000245615
P11182	9606.ENSP00000359151
Q27J81	9606.ENSP00000376410
Q02880	9606.ENSP00000396704
P30101	9606.ENSP00000300289
Q8N3V7	9606.ENSP00000377789
P51948	9606.ENSP00000261245
Q9NZM1	9606.ENSP00000352208
Q8IYB3	9606.ENSP00000326261
Q5TCZ1	9606.ENSP00000348215
Q9UBV2	9606.ENSP00000337053
Q14678	9606.ENSP00000477725
P16870	9606.ENSP00000386104
Q9UI08	9606.ENSP00000376652
O15127	9606.ENSP00000268099
Q9Y446	9606.ENSP00000331678
Q16633	9606.ENSP00000376786
Q92538	9606.ENSP00000359000
O95071	9606.ENSP00000429084
Q9Y2D9	9606.ENSP00000354686
Q9NRF9	9606.ENSP00000363286
O60885	9606.ENSP00000263377
O95470	9606.ENSP00000362298
Q14126	9606.ENSP00000261590
Q9Y3F4	9606.ENSP00000392270
Q9UJA5	9606.ENSP00000203001
Q9UPT8	9606.ENSP00000253048
Q15084	9606.ENSP00000385385
Q8WUF5	9606.ENSP00000403902
P82094	9606.ENSP00000381567
Q8IZT6	9606.ENSP00000356379
O15294	9606.ENSP00000362824
Q9HCC0	9606.ENSP00000343657
P24821	9606.ENSP00000265131
Q02952	9606.ENSP00000384537
Q53GS7	9606.ENSP00000308622
P31323	9606.ENSP00000265717
Q14683	9606.ENSP00000323421
P57740	9606.ENSP00000229179
Q99615	9606.ENSP00000406463
Q53H96	9606.ENSP00000220966
Q13895	9606.ENSP00000230340
Q9Y3Q8	9606.ENSP00000300181
O95900	9606.ENSP00000361982
Q8N9Z2	9606.ENSP00000430897
Q96GG9	9606.ENSP00000292782
P13667	9606.ENSP00000286091
P80303	9606.ENSP00000436455
P51608	9606.ENSP00000395535
Q86X29	9606.ENSP00000480821
Q14204	9606.ENSP00000348965
Q8N128	9606.ENSP00000280987
Q92766	9606.ENSP00000369270
Q9BXK5	9606.ENSP00000480836
Q9NUL3	9606.ENSP00000428756
P02649	9606.ENSP00000252486
Q7L266	9606.ENSP00000400057
Q86U90	9606.ENSP00000362135
P07910	9606.ENSP00000451291
P48539	9606.ENSP00000329403
P22314	9606.ENSP00000338413
Q9Y3T9	9606.ENSP00000317992
O75152	9606.ENSP00000438527
Q96F86	9606.ENSP00000320503
P11766	9606.ENSP00000296412
P13804	9606.ENSP00000452762
P14921	9606.ENSP00000376436
Q30154	9606.ENSP00000364114
P01911	9606.ENSP00000353099
Q92599	9606.ENSP00000367991
P36957	9606.ENSP00000335304
Q5VTR2	9606.ENSP00000373772
P10809	9606.ENSP00000373620
Q15814	9606.ENSP00000361967
Q99460	9606.ENSP00000309474
A1L0T0	9606.ENSP00000263383
Q99871	9606.ENSP00000359230
Q01844	9606.ENSP00000400142
P34913	9606.ENSP00000430269
P12110	9606.ENSP00000300527
O95684	9606.ENSP00000355812
P46013	9606.ENSP00000357643
P02549	9606.ENSP00000357129
Q29RF7	9606.ENSP00000303427
Q07864	9606.ENSP00000322570
Q86V81	9606.ENSP00000421592
Q9NR30	9606.ENSP00000346120
P40926	9606.ENSP00000327070
Q6ZRI8	9606.ENSP00000276211
Q13206	9606.ENSP00000314348
Q9UKM9	9606.ENSP00000246194
P35475	9606.ENSP00000247933
Q13435	9606.ENSP00000318861
Q96KN1	9606.ENSP00000302578
Q96ST2	9606.ENSP00000295321
O75882	9606.ENSP00000262919
P40394	9606.ENSP00000420269
Q96GX9	9606.ENSP00000379133
Q6P2Q9	9606.ENSP00000460348
Q8N8S7	9606.ENSP00000355809
Q9UKI9	9606.ENSP00000260264
P54098	9606.ENSP00000268124
P06733	9606.ENSP00000234590
P00558	9606.ENSP00000362413
P49768	9606.ENSP00000326366
Q9UMY1	9606.ENSP00000405674
P22033	9606.ENSP00000274813
O14654	9606.ENSP00000361202
Q9BQS8	9606.ENSP00000296137
Q9H9L3	9606.ENSP00000323424
P02100	9606.ENSP00000369586
P00390	9606.ENSP00000221130
Q8NFQ8	9606.ENSP00000356584
P35611	9606.ENSP00000264758
P49916	9606.ENSP00000367787
P24752	9606.ENSP00000265838
P51659	9606.ENSP00000420914
P11310	9606.ENSP00000359871
P69905	9606.ENSP00000251595
P13521	9606.ENSP00000304133
Q8NEG4	9606.ENSP00000330432
O94967	9606.ENSP00000383599
P09884	9606.ENSP00000368349
O75955	9606.ENSP00000365569
P12107	9606.ENSP00000359114
P02545	9606.ENSP00000357283
P51649	9606.ENSP00000314649
P05141	9606.ENSP00000360671
O15541	9606.ENSP00000360497
P49821	9606.ENSP00000322450
Q92614	9606.ENSP00000437073
Q14839	9606.ENSP00000349508
Q9Y623	9606.ENSP00000255381
Q14019	9606.ENSP00000262428
Q8N163	9606.ENSP00000310670
P54136	9606.ENSP00000231572
P30419	9606.ENSP00000468424
Q9Y6Y8	9606.ENSP00000358071
P11940	9606.ENSP00000313007
P51610	9606.ENSP00000309555
P62873	9606.ENSP00000481878
P16520	9606.ENSP00000229264
Q96QK1	9606.ENSP00000299138
Q6AI08	9606.ENSP00000184956
O95825	9606.ENSP00000370966
Q8N398	9606.ENSP00000398688
P07205	9606.ENSP00000305995
O00469	9606.ENSP00000282903
Q9UJV9	9606.ENSP00000422753
P48449	9606.ENSP00000380837
Q96BR5	9606.ENSP00000360593
A0FGR8	9606.ENSP00000251527
Q96T76	9606.ENSP00000412698
P22415	9606.ENSP00000357000
Q9H939	9606.ENSP00000387261
P36915	9606.ENSP00000365806
P29120	9606.ENSP00000308024
Q92878	9606.ENSP00000368100
Q8WWI1	9606.ENSP00000433352
Q9NRP4	9606.ENSP00000414066
Q14847	9606.ENSP00000325240
Q9H9P8	9606.ENSP00000267436
Q96I25	9606.ENSP00000388638
P00533	9606.ENSP00000275493
P62879	9606.ENSP00000305260
Q99536	9606.ENSP00000347872
Q9HCJ6	9606.ENSP00000303129
O14964	9606.ENSP00000331201
P15924	9606.ENSP00000369129
P32121	9606.ENSP00000403701
P49407	9606.ENSP00000409581
P55769	9606.ENSP00000383949
Q96M96	9606.ENSP00000394487
P29353	9606.ENSP00000401303
P29144	9606.ENSP00000365233
A0AVT1	9606.ENSP00000313454
Q14690	9606.ENSP00000358812
P52564	9606.ENSP00000468348
Q07866	9606.ENSP00000414982
P36952	9606.ENSP00000372221
P20700	9606.ENSP00000261366
P35998	9606.ENSP00000391211
P12814	9606.ENSP00000377941
O43707	9606.ENSP00000252699
P63272	9606.ENSP00000225504
Q8WUA2	9606.ENSP00000253329
P09341	9606.ENSP00000379110
Q86Y56	9606.ENSP00000297440
Q9BZH6	9606.ENSP00000263461
P15104	9606.ENSP00000307900
Q9BQ67	9606.ENSP00000253237
Q8IZL8	9606.ENSP00000301396
Q709C8	9606.ENSP00000261517
O00451	9606.ENSP00000428518
O60218	9606.ENSP00000352584
O94819	9606.ENSP00000321544
Q92520	9606.ENSP00000353025
Q15004	9606.ENSP00000300035
P15927	9606.ENSP00000363017
P30281	9606.ENSP00000362082
P24385	9606.ENSP00000227507
P52272	9606.ENSP00000325376
P26358	9606.ENSP00000352516
Q8N954	9606.ENSP00000386772
P61247	9606.ENSP00000346050
Q86VI3	9606.ENSP00000354451
Q99797	9606.ENSP00000371607
Q9NVN8	9606.ENSP00000338573
P11498	9606.ENSP00000377532
Q15067	9606.ENSP00000293217
P49368	9606.ENSP00000295688
O14976	9606.ENSP00000314499
P49915	9606.ENSP00000419851
A6NHR9	9606.ENSP00000326603
Q9BW19	9606.ENSP00000393963
P00491	9606.ENSP00000354532
Q9BWS9	9606.ENSP00000398722
