label,Iso_map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
8370,1.39713,0.19036,-1.10261,5.46506,5.74855,-2.27848,-4.67266,58.53712,-39.53287,1,1,1,2
8371,0.17604,-0.46597,0.2248,8.77772,3.77244,-1.07431,72.4607,-12.69171,-34.15242,1,1,1,4
8372,2.49234,1.01167,-0.63132,3.77658,6.11233,-0.98739,-27.23674,50.68524,-41.66948,1,1,1,6
8373,0.4723,-0.18875,-0.37503,8.31318,3.90503,-2.3854,-3.94879,47.4878,-7.08932,1,1,1,2
8374,2.39505,-0.62339,-0.25036,4.66926,6.92424,-3.66362,-39.2933,30.0117,13.4222,1,1,3,2
8375,2.81515,0.84071,-0.49222,3.52525,6.90827,-1.81977,31.95122,62.84644,-2.30712,1,1,1,2
8376,-0.79586,-0.3888,-0.09977,12.66544,-2.54068,-1.6045,59.71589,48.7735,17.097,3,1,1,5
8377,0.59863,-0.5234,0.54883,8.51759,5.20053,-1.94693,38.9669,4.67709,-69.82171,1,1,1,1
8378,2.77829,-0.63252,0.55786,3.78861,6.49581,-2.69818,-28.36954,26.8943,-19.36237,1,1,3,1
8379,1.07978,1.08776,-0.4095,6.57615,4.38551,-0.7594,71.40532,128.27533,-37.73556,1,1,1,6
8380,-0.15833,-0.64921,0.498,11.24846,0.38613,-1.53447,-25.84499,-13.43014,59.49308,1,1,1,1
8381,0.50411,-0.12354,-0.33263,8.28046,3.93153,-2.08924,-10.95604,32.70361,-2.58671,1,1,1,2
8382,0.24064,-0.28031,-0.17175,10.12081,3.74733,-1.74721,-26.38576,-56.45588,-31.70421,1,1,1,2
8383,2.38411,-0.7015,1.68521,4.78114,6.9745,-1.22452,-31.70163,14.22617,-4.7967,1,1,3,1
8384,1.33319,-0.14058,0.64879,6.77781,6.0995,-0.76302,-31.39858,51.29004,0.29074,1,1,3,5
8385,2.20343,0.40539,0.10799,5.01719,6.81108,-2.28056,-37.96594,35.84104,-4.39846,1,1,3,5
8386,-0.22021,-0.59478,0.00608,12.21953,-0.80247,-1.93091,43.17958,55.938,37.60719,1,1,1,4
8387,0.81272,0.22857,0.40236,8.33236,5.59094,0.01832,70.93142,17.72552,-70.74228,1,1,1,6
8388,0.34247,0.09797,-0.47084,8.38295,3.37336,-1.31116,-40.99502,-34.19127,15.85257,1,1,1,2
8389,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,23.32026,29.68742,44.38107,2,2,2,2
8390,0.9719,0.86309,-0.40552,6.91493,5.38394,-1.00156,-5.56873,49.41078,-58.9779,1,1,1,6
8391,1.65228,0.44862,-0.69587,5.35167,6.45074,-2.1546,13.33743,63.11414,-10.44858,1,1,1,2
8392,1.34705,0.4085,-0.76755,5.8129,6.02884,-2.38072,-21.97263,64.37362,24.07553,1,1,1,2
8393,1.46682,0.20279,-0.22274,6.58944,5.48453,-1.96367,-50.7967,28.00423,-8.26646,1,1,3,2
8394,-1.17253,-0.57718,-0.09104,12.99824,-3.43488,-1.57393,55.5132,-21.0864,59.61114,3,1,1,5
8395,2.27981,0.06541,0.00379,5.0503,7.57718,-3.18337,-52.61624,19.93473,9.1458,1,1,3,2
8396,2.22179,0.43409,0.58889,4.79883,7.6078,-1.82042,-48.16403,10.98319,24.1131,1,1,1,5
8397,1.26775,0.08032,0.95414,7.52337,5.67749,-1.40277,23.60739,-14.46065,82.82592,1,1,1,5
8398,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,31.64795,-3.00687,25.68442,2,2,1,2
8399,-0.75277,-0.31356,-0.04924,13.3694,-3.07496,-1.6137,16.61443,19.42158,76.00842,3,1,1,2
8400,-0.31327,0.18059,-0.46712,10.02571,1.68829,-0.52393,-8.0442,16.83526,0.31515,1,1,1,2
8401,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,38.50833,17.9554,24.24122,2,2,1,4
8402,2.18537,1.60393,-0.24712,3.58814,6.69287,-0.08267,-71.73928,16.30856,-8.78579,1,1,1,6
8403,-0.18175,-0.56374,0.28438,11.22281,1.44459,-0.99589,-12.5068,10.10112,35.22997,1,1,1,1
8404,0.11981,0.36039,-0.50964,8.87239,3.80182,-1.3041,-14.46066,-2.12442,-8.45817,1,1,1,2
8405,0.42645,0.20299,-0.0603,9.21302,4.04271,-1.3299,8.49561,33.13962,-15.005,1,1,1,2
8406,1.98287,0.01196,1.9223,4.77986,7.13268,-0.67489,-30.8681,8.73535,-19.68738,1,1,3,1
8407,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,16.67884,-41.16431,-42.64031,2,2,1,4
8408,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,50.78428,24.25699,11.86493,2,2,1,2
8409,1.3856,0.03285,2.21048,5.54555,6.40456,0.06842,-37.36276,-4.38849,-20.18387,1,1,1,1
8410,0.53949,0.83764,0.04963,8.3707,4.84957,0.98816,13.87484,41.47168,-55.96454,1,1,1,6
8411,0.67954,0.24022,2.10345,6.63322,5.98697,0.76441,-37.74101,-1.60873,-37.25916,1,1,1,1
8412,0.47302,-0.05478,2.30912,7.68925,5.1716,0.01673,20.78698,35.48552,-32.60621,1,1,1,1
8413,1.00798,0.87397,-0.49382,5.86115,5.83619,-0.44152,-88.21589,5.3281,-24.19098,1,1,1,2
8414,1.56129,0.8595,0.99276,5.48557,7.08651,-0.14381,-55.16161,-3.81218,22.61605,1,1,1,5
8415,0.3462,0.33217,-0.39033,8.81571,3.81323,-0.57579,-20.10422,-116.64246,-26.6442,1,1,1,2
8416,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,49.03954,12.81947,-5.78465,2,2,1,4
8417,1.42229,1.73436,0.45669,4.52421,6.33624,1.84309,-67.8281,18.61671,-25.83305,1,1,1,6
8418,0.52509,0.68769,-0.39769,8.31984,4.6861,-0.07365,-70.17095,-4.12486,48.82128,1,1,1,2
8419,1.03779,1.00522,-0.39662,6.72316,6.82971,-0.36443,-13.32912,82.90454,19.82549,1,1,1,2
8420,0.03653,0.01732,0.01792,11.26533,1.66005,-0.43109,-2.78369,29.76241,-30.03219,1,1,1,2
8421,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,55.60342,-21.48876,-4.51297,2,2,1,1
8422,-0.18007,0.40497,-0.03263,10.68663,2.15383,0.11038,7.15507,6.60812,-7.92992,1,1,1,6
8423,-0.10856,0.05246,-0.19709,11.22278,1.41513,-0.04018,-6.20592,16.65991,-18.54584,1,1,1,2
8424,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,6.2502,2.55665,81.26076,2,2,1,6
8425,0.18817,-0.02565,0.43264,9.80721,4.10562,-0.76886,-13.5204,18.00655,-68.62895,1,1,1,1
8426,-0.75079,-0.4032,-0.0546,13.54329,-3.39202,-1.72803,-45.25651,-43.36148,38.68735,3,2,1,6
8427,0.9228,1.30767,-0.71082,5.41237,5.15189,-0.37324,-76.8849,11.57192,32.2526,1,1,1,2
8428,0.05094,0.46949,0.25985,10.04376,3.47673,0.76809,-0.12226,-9.53718,3.22549,1,1,1,5
8429,-0.1927,-0.31068,0.10669,10.51922,2.31184,-1.36274,39.76574,35.9904,-5.49082,4,1,1,1
8430,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,20.23868,-69.81212,17.28556,2,2,1,2
8431,1.61219,1.85688,-0.20371,5.75636,6.62964,0.68641,-77.76578,12.26574,11.7487,1,1,1,2
8432,-0.99532,-0.50399,-0.08047,13.12034,-3.52002,-1.5519,27.18392,-49.51341,58.33902,3,1,1,5
8433,-0.73371,-0.64959,0.3447,12.42542,-0.97406,-1.25056,15.68318,45.32842,67.26902,1,1,1,1
8434,0.73934,0.54646,1.1686,7.34986,6.08492,1.43307,-22.74091,-17.53161,-50.30622,1,1,1,5
8435,1.52708,1.71596,0.07871,5.41296,6.83737,-0.37374,-77.2299,-3.13616,16.7006,1,1,1,2
8436,1.00702,1.30032,0.24612,6.00149,7.39937,0.12055,84.73875,-158.36589,59.64459,1,1,1,2
8437,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-0.77592,40.22833,49.51504,2,2,1,4
8438,-0.53284,-0.451,0.7381,9.89147,1.98451,-0.39412,46.94676,55.16622,-20.48523,1,1,1,4
8439,-0.237,-0.35275,0.13223,11.85264,0.76909,-1.67618,-4.1128,0.21536,-66.67628,4,1,1,1
8440,0.41066,0.33207,2.35931,6.90939,5.95372,1.66,-20.98781,-8.43913,-29.36466,1,1,1,1
8441,-0.50248,-0.28038,0.62328,10.10427,2.03213,-0.39759,-24.00728,-65.57402,-7.5925,1,1,1,4
8442,-0.41216,-0.22512,-0.21378,13.05417,-2.15982,-0.97316,15.38774,-22.23612,17.25452,1,1,1,2
8443,0.36255,0.56693,0.46603,9.40872,4.49376,0.82345,94.62728,3.91081,-24.90863,1,1,1,4
8444,0.28093,0.50083,2.32903,7.63235,5.46181,1.8707,-36.78188,-17.15882,30.83705,1,1,1,1
8445,-0.79906,-0.35739,-0.05916,13.39345,-3.36147,-1.39155,37.99667,-37.69124,33.72997,3,1,1,6
8446,-0.76149,-0.39535,0.1269,12.2587,-1.50659,-0.84013,34.16242,-34.44136,64.46401,1,1,1,5
8447,-0.40171,0.00583,0.946,9.80617,3.62329,0.25764,-10.69491,3.55183,15.90344,1,1,1,4
8448,0.60111,1.84874,-0.2632,7.0342,4.74121,2.18479,-68.02897,21.16553,-44.08446,1,1,1,6
8449,-0.25938,-0.3009,0.15233,11.59065,0.36343,-0.32912,38.68749,49.36982,-45.33132,4,1,1,4
8450,0.14291,0.59894,-0.38536,9.01481,3.25863,0.61663,-18.57767,-22.9494,-8.35288,1,1,1,2
8451,0.08276,0.60279,-0.50221,8.9828,3.22349,0.89075,3.61789,20.91534,-83.1856,1,1,1,2
8452,-0.91794,-0.19271,-0.76267,11.64928,-1.29538,-0.06894,32.0949,-28.5138,-64.5749,1,1,1,2
8453,0.21417,0.32405,0.23426,8.95449,4.62222,1.17795,-52.91542,-22.21724,1.7693,1,1,1,2
8454,0.56763,1.04615,-0.21359,7.73559,5.39205,0.7703,-38.99287,24.90084,-67.90628,1,1,1,2
8455,0.02437,0.94938,-0.56635,9.98015,4.0799,2.80091,-33.69949,-22.58717,-3.57214,1,1,1,2
8456,0.5187,1.51744,-0.18947,7.5789,5.83039,2.07609,-48.14832,17.86531,-55.00733,1,1,1,2
8457,0.5373,1.86443,-0.01526,7.07104,6.46316,2.01918,-4.4235,-78.14884,33.49802,1,1,1,2
8458,-0.31009,0.2246,0.19184,10.49428,2.29986,0.4493,-100.93327,-28.47585,-0.61195,1,1,1,6
8459,-0.63616,0.49438,-0.48578,10.11506,1.38904,0.84274,-23.256,-55.62506,43.48824,1,1,1,2
8460,-0.58042,-0.08114,-0.11091,12.41717,-0.21687,0.21747,-5.90744,-28.97033,26.74789,1,1,1,4
8461,-0.56228,-0.29962,0.16674,12.72156,-1.27489,-0.99546,52.61835,50.51679,63.33198,1,1,1,1
8462,-0.71437,0.16391,0.04186,12.33528,-1.42131,-0.71633,15.8389,-9.53453,-85.1697,1,1,1,2
8463,-0.21596,-0.11911,0.53074,11.38586,1.7631,-0.34802,36.92618,15.74022,-25.68415,1,1,1,1
8464,-0.5704,-0.06892,1.41533,10.16267,2.45066,1.03203,14.74804,12.00993,-29.29468,1,1,1,1
8465,-0.22791,1.44474,-0.28849,8.35072,3.92764,3.48174,-14.45709,68.21118,0.28201,1,1,1,6
8466,-0.32336,0.69486,-0.66532,9.62105,2.30033,1.51837,-19.60499,-25.7957,11.38677,1,1,1,2
8467,-0.21981,-0.19153,0.19349,11.06605,1.05345,0.08949,-19.94802,0.07835,-79.01715,4,1,1,1
8468,-0.12483,1.45354,0.20993,7.63306,4.44575,4.33603,-9.37093,75.98844,-10.40882,1,1,1,6
8469,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,36.27563,2.07729,5.87598,2,2,1,5
8470,-0.53725,0.08861,-0.00612,12.32965,-0.90817,-0.14976,-41.16911,-39.25964,62.65967,5,1,1,5
8471,-0.02651,0.08367,0.53816,11.60149,1.48256,1.42614,44.2217,-80.31418,36.69192,1,1,1,1
8472,-0.52446,0.19295,-0.02833,11.47586,0.85175,0.95202,1.24604,-14.22673,-18.75788,5,1,1,6
8473,-0.21494,-0.23131,0.13598,12.61363,-0.72518,-0.75867,-32.17079,116.82977,264.1004,4,1,1,1
8474,0.14572,0.59514,0.5553,9.98322,3.72634,2.35156,-19.3613,6.14329,-48.50966,1,1,1,4
8475,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-11.64489,17.06477,54.20566,2,2,1,6
8476,-0.05301,0.46989,1.18049,9.34959,3.55663,3.33686,-64.67276,-47.6047,-2.82757,1,1,1,5
8477,-0.09016,0.47329,1.17041,9.51435,3.57343,2.96023,-69.64724,-50.25672,-15.93275,1,1,1,5
8478,-0.66199,-0.34516,0.40855,12.82445,-1.71589,-0.27559,21.06045,13.97104,11.05477,1,1,1,1
8479,-1.04263,-0.52853,-0.08362,13.24065,-3.48052,-1.74084,25.15542,-58.56711,47.48588,3,1,1,5
8480,-0.1183,1.05201,0.47684,9.03943,4.16979,2.70167,-38.7899,-0.75503,-62.62738,1,1,1,1
8481,-0.41956,0.22607,0.91669,10.37518,2.44743,2.61695,53.17436,4.22846,-43.96832,1,1,1,5
8482,0.03927,1.84649,-0.07154,7.70348,4.47146,4.59831,-63.4569,-3.85677,-21.74184,1,1,1,6
8483,-0.37438,1.03095,-0.09414,9.61077,2.78669,3.80468,-21.60895,27.28821,-46.44116,1,1,1,6
8484,-0.5251,0.83958,-0.11652,10.77582,0.84688,1.91453,-32.34397,-36.89603,-18.39464,1,1,1,6
8485,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-64.57646,-31.49039,18.76181,2,2,1,6
8486,-0.46518,0.36636,0.18328,11.95799,0.78759,1.99925,-47.7053,-31.53202,-26.26033,1,1,1,6
8487,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-75.68972,95.03675,-67.60448,2,2,1,3
8488,-0.26688,0.896,0.061,11.26417,1.40724,3.03191,-24.59776,-29.46061,-28.47849,1,1,1,6
8489,-0.23664,0.49619,1.83862,9.64313,3.38642,3.87708,-28.14709,-5.6763,21.09151,1,1,1,1
8490,-0.28321,0.00465,0.06465,12.59344,-0.77107,1.17161,-59.74971,-27.50199,-18.2004,1,1,1,2
8491,-0.7095,-0.16677,0.07483,13.11734,-2.01039,-0.45587,-30.52391,7.07661,47.28125,1,1,1,1
8492,-0.35455,0.03488,0.91033,11.24592,1.52693,1.83663,-2.62166,1.44072,-35.75951,1,1,1,1
8493,-0.32067,-0.05746,0.18851,12.28883,0.17289,1.65649,17.76743,17.613,-64.89468,1,1,1,4
8494,-0.10133,1.84988,-0.08418,8.49398,3.54058,5.98383,-60.8892,-9.88926,-35.78162,1,1,1,6
8495,-0.48021,0.62645,1.42444,9.56313,3.05628,4.64773,89.98222,-15.36447,23.67731,1,1,1,1
8496,-0.5017,0.65843,1.09476,9.64418,1.60749,4.16843,4.11263,17.54388,-47.14103,1,1,1,1
8497,-0.49014,0.91634,1.24118,9.6819,2.68381,5.2679,-48.47848,-6.76858,49.68984,1,1,1,1
8498,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,0.1829,-12.3862,54.59658,2,2,1,6
8499,-0.53617,0.30455,0.00151,11.95166,-0.36567,1.73938,-9.96587,78.63595,51.8816,5,1,1,2
8500,-0.71905,0.11158,-0.3777,11.79179,-1.07672,0.56375,-25.59458,-46.65834,6.40966,1,1,1,2
8501,-0.31031,1.52604,0.17578,9.11423,2.73661,5.92958,-68.75588,62.40992,18.6756,1,1,1,6
8502,-0.20475,0.91425,0.46143,9.79156,2.2366,3.59201,-42.14323,-32.22585,-49.53154,1,1,1,5
8503,-0.92851,-0.27883,-0.03061,12.84106,-2.34641,-0.58069,58.67798,3.49366,9.45819,3,1,1,5
8504,-0.52999,0.42563,-0.8364,10.75539,0.14459,2.37927,-12.94217,-48.14701,24.71319,1,1,1,2
8505,-0.40825,0.09696,0.10176,12.4964,-0.91527,0.67299,-10.10096,-43.08528,0.03083,1,1,1,2
8506,-1.05815,-0.54201,-0.10462,13.2993,-3.27249,-1.52096,89.28688,3.70434,3.91108,3,3,1,6
8507,-0.29816,0.22525,-0.06329,12.51591,-0.09159,1.50132,38.08576,23.17014,-45.46096,1,1,1,2
8508,-0.71335,-0.0253,-0.32283,12.21781,-0.4937,1.46899,-3.60034,-54.9984,44.30102,1,1,1,2
8509,-0.35185,0.33479,-0.39833,11.81099,-0.06092,2.325,1.94974,-29.56109,79.56224,1,1,1,2
8510,-0.60249,0.28511,-0.02845,12.0774,-0.73734,1.37752,-68.4278,164.9984,-7.93288,5,1,1,6
8511,-0.5791,0.26683,-0.27209,11.91461,0.01699,1.94803,125.26897,184.68707,-11.2873,1,1,1,2
8512,-0.52484,-0.2567,0.05303,13.19025,-2.54381,-0.68428,27.12096,17.09499,-8.75213,2,1,1,5
8513,-0.61995,0.91373,0.71862,9.67866,1.8926,4.95977,0.22243,-21.10481,-51.86769,1,1,1,1
8514,-0.70815,0.37988,-0.13382,12.25769,-0.69194,1.82598,3.35192,-30.68138,-30.83199,1,1,1,6
8515,-0.74962,-0.28323,0.50511,12.73413,-0.81354,1.03903,12.95487,-8.86872,-40.07415,1,1,1,1
8516,-0.74287,0.40673,0.42165,11.10598,1.45922,3.86471,14.70626,-11.63689,-58.17882,1,1,1,1
8517,-0.40805,0.82584,-0.01205,11.26909,1.29101,3.63735,-56.04244,92.12604,13.1511,1,1,1,5
8518,-0.54938,0.1179,-0.02547,12.84859,-1.78874,0.09792,-11.6682,-43.79634,-12.42652,5,1,1,2
8519,-0.63103,1.1482,-0.44414,9.98504,1.39422,4.90192,-33.84994,-57.19062,-54.07034,1,1,1,6
8520,-0.83496,0.95327,-0.33541,10.10095,0.94574,4.50959,-45.01192,71.38279,15.5127,1,1,1,6
8521,-0.67981,0.57405,-0.07784,11.34109,0.44952,3.92799,52.90525,-48.43156,-31.56002,1,1,1,6
8522,-0.4018,-0.28415,0.1453,12.41979,-0.85135,1.41335,-9.40491,-77.41798,-21.37803,1,1,1,1
8523,-0.94224,-0.5207,0.14481,12.57157,-2.25192,0.14139,-11.70157,-10.53136,37.73774,1,1,1,4
8524,-0.67998,0.60608,0.06193,10.96875,1.74919,4.08065,-33.69208,-31.74086,-66.49328,1,1,1,5
8525,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-40.44809,-72.29922,6.45583,2,2,1,1
8526,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-100.66158,107.11641,-96.59473,2,2,1,6
8527,-0.72559,0.16686,-0.34425,11.80288,-0.08663,1.54353,35.68852,-9.96036,-38.97441,1,1,1,2
8528,-0.76201,-0.01006,0.0634,12.07663,-0.17805,2.621,2.06481,-9.66404,28.8625,1,1,1,4
8529,-0.74433,-0.0097,-0.32724,11.51568,-0.36831,1.33172,10.68807,-47.87366,26.58619,1,1,1,2
8530,-0.83569,0.81346,-0.32272,10.01667,1.47469,4.91786,-13.5659,-53.71358,-60.7357,1,1,1,6
8531,-0.4256,-0.15719,-0.06642,12.55419,-1.41352,1.05788,26.95628,6.81757,-48.0162,1,1,1,1
8532,-0.84381,0.12232,-0.43645,12.37128,-1.3487,0.64053,31.23556,-30.04478,-33.08646,1,1,1,6
8533,-1.45795,-0.58013,-0.26275,13.283,-3.40346,-1.52661,65.28095,-50.69047,32.81866,1,3,1,2
8534,-0.69254,0.81816,-0.48583,10.18747,1.29149,4.88362,-8.62291,-46.08978,-47.30256,1,1,1,6
8535,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,44.21014,-13.25242,13.29716,2,2,1,6
8536,-1.02413,-0.53084,-0.09906,12.97961,-2.64301,-0.4317,60.21787,30.76938,37.89277,3,1,1,4
8537,-0.71399,0.05099,0.03511,12.15467,-0.70416,1.9999,5.05101,-30.24404,-0.46695,1,1,1,5
8538,-0.61911,1.24182,-0.39559,9.83865,1.74742,4.66837,-7.82321,-32.12568,-72.9821,1,1,1,2
8539,-0.44283,0.32135,-0.45572,11.74589,0.42866,2.45819,9.5694,90.49361,-3.95506,1,1,1,2
8540,-0.90239,0.84643,-0.46281,10.44225,1.5636,4.5016,-63.7298,-28.4632,42.2644,1,1,1,2
8541,-1.09608,0.59815,-0.46054,10.47316,0.80336,4.19027,8.76331,-45.54804,-68.50732,1,1,1,2
8542,-0.89669,0.30284,-0.42299,11.15671,0.40131,3.51102,0.38788,-65.69972,-43.84216,1,1,1,2
8543,-0.69874,-0.06866,-0.08533,12.14352,-0.70288,1.77073,-63.90253,-1.65344,-57.76064,1,1,1,4
8544,-0.84332,0.00624,-0.39599,12.61479,-1.1949,1.58987,22.12416,-47.49119,8.76297,1,1,1,2
8545,-0.92979,-0.23523,-0.35473,12.57286,-1.25931,0.70069,46.14032,-6.51749,-18.69578,1,1,1,2
8546,-0.69984,-0.33084,-0.07661,13.52342,-3.28226,-1.63068,-46.06842,-63.30694,-17.69403,3,1,1,2
8547,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,27.31215,9.64086,52.79396,2,2,2,2
