label,Iso_map,,,Random_Trees,,,t_sne,,,IsomapClustering,Random_TreesClustering,SpectralClustering,tSNEClustering,LouvainClustering
24,-15.39552,-6.14832,-38.80431,14.00042,-0.10144,-0.13637,-5.2082,15.95459,3.68217,3,2,2,1,3
25,-11.64196,-4.76369,-28.59435,13.72263,-0.06586,0.47685,1.52528,10.64474,-2.25054,3,2,2,1,4
26,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,-1.68262,-1.18238,0.17798,2,2,2,2,2
27,-4.21279,-2.16956,-9.55663,13.92947,-0.12963,-0.23279,-2.9513,-0.17215,5.17511,3,2,1,2,3
28,-7.63595,-3.3436,-18.16453,14.07042,-0.10007,0.00034,1.01663,2.9666,-5.90869,3,2,2,2,2
29,-12.32322,-5.01085,-30.41334,13.58507,-0.00663,-0.23885,11.27431,13.48034,14.66899,3,2,2,1,3
30,-17.20656,-9.75715,-29.5353,13.79465,0.00814,0.16609,-3.62855,-9.37622,2.73447,1,2,2,6,4
31,-9.88998,-4.13589,-23.97958,13.86433,-0.00293,0.53712,0.65783,0.85752,8.56189,3,2,2,1,4
32,-29.3959,-11.91484,-82.10247,13.30204,0.00508,1.10566,-1.89821,0.20925,8.12498,3,2,2,2,2
33,-0.48369,-0.92346,-0.41621,13.86186,-0.07692,-0.25011,-6.07219,20.97568,-0.09506,3,2,1,1,4
34,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,-1.68262,-1.18238,0.17798,2,2,2,2,4
6985,-9.0893,-6.21916,-7.34079,13.5848,0.45593,-0.32804,-3.23965,6.91469,8.77411,3,2,2,1,6
3022,-9.03137,-3.83213,-21.74914,13.79596,0.01371,-0.25837,-4.03439,-1.97942,1.19015,3,2,2,1,5
1790,-4.61045,-2.30432,-10.54452,14.00352,-0.02296,-0.23495,-18.24483,0.21012,-3.96542,3,2,2,1,4
4769,-2.02689,-1.43553,-4.17411,14.07041,-0.06531,0.00837,0.45041,-0.36517,-4.08573,3,2,1,2,6
7552,-93.62198,-142.61667,166.31623,13.30793,2.32942,-0.25062,-4.19409,-10.3875,7.83956,3,2,2,1,2
799,-7.06962,-3.14706,-16.72309,14.00178,-0.06307,-0.14858,-12.59616,10.8356,-5.94329,3,2,2,1,6
6264,-5.5744,-2.63268,-12.95163,13.86333,-0.06181,0.05658,-0.33446,2.36192,6.20229,3,2,1,2,4
1367,-23.63885,-10.74916,-60.43719,13.37515,-0.191,-0.66085,-2.44622,11.11148,5.22179,3,2,1,2,3
2135,-4.46894,-2.25632,-10.19262,13.86117,-0.07069,-0.30597,-1.0949,1.47195,22.09923,1,2,1,2,4
831,-35.04125,82.53953,-96.5347,13.72655,-0.05556,-0.68621,9.4957,-9.22797,-2.53666,3,2,2,1,6
3948,-18.13424,55.30845,-37.61184,13.72374,-0.04695,0.30624,-0.20142,-12.80317,-4.31621,3,2,2,2,2
3565,-8.37888,-3.60292,-20.06699,13.86555,0.01321,0.58365,-3.7709,-2.7466,-8.04968,3,2,2,1,2
895,-24.12752,35.87309,-59.65866,13.51462,-0.00402,0.60926,0.14531,-0.20332,8.89284,3,2,1,1,2
5902,-5.36862,-2.56237,-12.43623,13.79105,0.02584,0.48834,-5.7478,-2.93802,-1.17836,3,2,1,1,4
4359,-10.58312,-4.4493,-26.42462,13.78759,-0.0956,0.1041,6.73521,4.92926,-2.37782,3,2,2,1,4
5853,-10.64468,-4.40498,-25.95668,13.86107,-0.0571,-0.11045,-3.09411,7.43966,0.83039,2,2,2,2,6
5644,-2.97077,-1.75115,-6.48892,14.00226,0.3933,-0.26747,2.26515,13.62661,16.0131,3,2,1,1,6
2826,-22.64163,-9.00037,-60.03544,13.51319,1.85672,-0.24001,-2.22017,-7.0172,5.40359,2,2,2,2,2
2435,1.29454,-0.33873,3.88,14.00014,-0.0919,0.00068,5.20643,-3.43233,3.69722,3,2,1,1,6
2510,-9.4434,-3.97758,-22.81704,13.65077,-0.08826,-0.18803,15.7683,-0.70149,-9.53753,3,2,2,15,5
5703,-3.34004,-1.87517,-7.39827,13.99811,-0.08095,-0.09176,19.58958,-0.21827,-5.74875,3,2,2,1,3
4666,-11.63831,-4.76237,-28.58463,13.86375,-0.03727,-0.10481,-4.24665,-6.5649,-7.20251,3,2,1,2,3
3919,-19.35976,-7.67682,-50.14377,13.64589,-0.16367,-0.30133,2.15791,1.43382,6.68541,3,2,2,2,3
141,-10.9174,-4.50271,-26.67509,13.8564,-0.14357,-0.15251,-0.11855,-5.51392,2.08791,1,2,2,1,6
6457,-9.40829,-3.96517,-22.72585,14.00189,-0.05056,-0.10491,7.07825,-4.1094,-2.77437,1,2,2,1,6
226,-20.43314,-8.1036,-53.32541,13.65339,-0.00738,-0.25344,0.19868,-11.46709,19.37359,3,2,2,1,3
1059,-48.7366,47.86791,-187.92436,13.58493,0.02344,0.63493,15.12883,-4.70241,-5.9935,3,2,1,1,2
1187,-10.31619,-4.28761,-25.09418,13.93232,-0.02952,-0.04767,-9.40947,5.53449,12.75587,3,2,1,1,6
5983,-2.89441,-1.72554,-6.30114,13.8615,-0.11126,0.26857,9.72913,-1.98129,3.93808,3,2,2,2,2
2380,-4.08515,-2.12639,-9.24012,13.72408,2.20079,-0.55348,21.28749,5.48576,4.12723,3,2,2,1,3
131,5.41474,121.10751,-39.75935,13.64974,-0.0186,0.14963,7.29654,-10.7278,-5.33795,3,2,1,1,4
3514,-11.62065,-4.79346,-28.64068,13.37972,0.94476,-0.61304,-4.16359,11.8225,7.9124,3,2,2,1,6
7409,1.53563,-117.14142,707.52244,13.86076,-0.01451,0.208,-0.83029,-8.17425,10.65755,3,2,2,1,2
5897,4.31479,0.38414,9.4162,14.14056,-0.07877,-0.05902,7.65574,-14.52372,-2.49148,2,2,2,2,4
4382,-7.49273,-3.29381,-17.79929,13.86156,-0.04775,-0.00667,13.26014,2.29442,-18.21313,3,2,2,1,4
2990,-3.72321,-2.00419,-8.34425,13.85893,-0.09301,-0.10907,12.60485,-10.22091,-15.65887,1,2,2,12,6
2407,-1.91495,-1.39823,-3.90045,14.0007,-0.09544,-0.04508,4.1491,0.50111,0.26636,2,2,2,2,3
2139,-11.97893,-4.88572,-29.49228,14.0691,-0.09116,-0.06854,12.12305,-7.49576,17.38891,3,2,1,1,6
2193,-5.08594,-2.46598,-11.72962,13.79162,-0.05622,-0.15303,17.9121,-7.32124,-0.0643,3,2,2,1,5
5136,2.70772,0.12254,7.27432,13.93206,-0.0496,-0.25016,-1.25771,3.67282,2.30742,2,2,2,2,3
2702,-12.10147,-38.82081,50.62796,13.51018,-0.00974,0.6787,-6.56769,-6.54173,-6.0881,3,2,2,1,2
2145,-22.16897,-7.48339,-63.38027,13.44234,-0.12813,-0.42534,6.92513,1.66723,-10.66249,2,2,2,2,3
4261,-32.13449,-15.89747,-87.60197,13.30688,2.40005,-0.29655,1.12598,13.08518,1.67462,3,2,1,1,4
2301,-11.13523,-4.58097,-27.25047,13.7254,-0.04186,-0.56782,2.45972,7.02246,8.98339,3,2,1,1,3
96,-24.05102,-10.99781,-52.41099,13.85721,-0.11624,-0.23592,-11.67229,-6.68695,-6.93912,3,2,2,1,3
2219,-7.44833,-3.27838,-17.68617,13.86227,-0.06233,-0.33049,16.42087,-10.3618,7.3293,3,2,1,1,6
5345,-2.50631,-1.5956,-5.34817,14.00064,0.40577,-0.19352,-8.81846,15.74808,14.66646,3,2,2,1,3
740,-13.5888,-0.96148,-35.58621,13.79625,-0.06291,-0.0349,-8.02666,-5.41743,-7.84158,1,2,1,1,3
971,-22.793,-9.06279,-60.50377,13.86635,0.08083,0.30717,-16.01985,-2.74439,-10.8113,3,2,1,1,2
2691,-13.70846,-5.51896,-34.15729,13.72611,-0.02229,0.45254,-1.37539,1.27953,-5.99997,3,2,2,2,5
2967,-57.40261,-35.52408,-208.00113,13.51487,-0.01488,0.53662,5.70094,-7.981,8.41293,3,2,2,1,2
5520,-11.64676,-4.06762,-29.80798,14.07095,-0.06854,0.05354,0.24069,9.93407,-8.31932,3,2,2,1,6
344,-0.43115,-0.90611,-0.28879,13.85992,-0.12349,0.04292,-13.43509,-11.15224,3.49145,3,2,2,2,3
3026,12.00404,-8.44286,-38.44937,13.72356,-0.01056,0.31419,9.43915,-8.60874,3.19668,3,2,1,1,4
7538,-5.72288,-2.68347,-13.32402,13.78926,-0.07849,0.06301,7.0601,6.10845,3.84223,3,2,2,2,3
1509,-0.49199,-0.9262,-0.43635,13.99934,-0.11461,-0.19489,21.8295,-3.01505,2.69676,3,2,2,2,6
1872,-15.33614,-6.28021,-38.59027,13.86052,-0.06792,-0.04531,3.19412,-13.6925,5.7495,3,2,1,1,6
4868,-1.01793,-25.55131,28.5168,13.79068,-0.10368,0.18696,10.54013,-5.01066,4.00076,3,2,2,1,2
4195,4.69816,3.02809,6.45529,14.14056,-0.07877,-0.05902,-2.36457,11.39954,0.88847,3,2,1,1,3
4092,-28.19002,-11.47979,-78.20057,13.51514,-0.08435,-0.62864,9.67356,7.96064,-2.25649,3,2,2,1,3
4672,-68.55218,-395.1193,2963.1267,13.65281,0.0179,0.64304,-1.76233,-8.53334,10.22862,3,2,1,1,2
5056,-14.41946,-5.48529,-36.70057,13.79371,-0.04792,0.26123,7.39771,10.64382,-1.91815,1,2,2,1,5
3767,-16.33384,-6.50362,-41.43306,13.23211,-0.12371,-0.68457,4.15972,6.35323,-1.12043,3,2,2,1,3
3662,-24.45031,-78.33041,472.9183,13.583,0.18725,0.78728,-1.68466,-8.74391,10.03937,1,2,2,4,2
1516,-13.42211,-5.4133,-33.37823,13.51066,-0.14382,0.40231,20.50037,8.14738,0.43414,2,2,2,2,5
6246,-2.11289,-1.46421,-4.38446,14.00124,-0.05828,-0.16788,3.21206,2.80718,-0.60656,3,2,2,1,4
5253,42.71833,-5.96694,-53.75998,14.00052,-0.057,0.07101,-3.61915,4.32003,12.79171,3,2,2,1,4
1714,-2.66047,-1.64717,-5.72642,14.06982,-0.08412,-0.03464,9.32365,-15.14122,13.64784,3,2,2,1,6
7750,-13.56166,-5.46475,-33.75756,13.5167,0.08398,0.27562,8.48459,-16.63429,-7.57778,3,2,1,2,4
4211,-12.55301,-5.54261,-30.77937,13.72476,0.02748,0.16337,-0.9829,-2.20044,-13.70892,3,2,1,1,4
7724,-6.09404,-5.02424,-0.70517,13.65165,0.34208,-0.05383,-7.38895,-3.04115,11.82218,3,2,2,1,6
4826,10.13912,-58.60869,11.52556,13.30961,0.13992,1.30079,6.0498,-11.84416,-2.03298,3,2,2,1,2
3615,-13.44389,-5.42132,-33.43738,14.07194,-0.06644,0.16252,7.13897,-1.69289,2.13335,3,2,1,2,4
4924,-6.41644,-2.92157,-15.06964,13.7928,0.86074,-0.40398,5.21389,-4.88369,0.09253,3,2,1,1,6
5721,10.42773,-52.41427,49.594,13.37835,0.14618,1.22266,5.76087,-1.49143,10.19159,3,2,2,2,2
2223,-6.34813,-2.89806,-14.89724,13.85758,-0.1374,-0.16618,0.54413,8.33886,0.13161,3,2,2,1,3
4446,-26.42966,58.5815,-48.9266,13.7215,0.03487,0.40795,-1.35643,-10.73017,6.12456,3,2,2,1,3
6071,3.4455,0.36235,9.04112,14.14056,-0.07877,-0.05902,15.33296,6.3456,-10.57943,2,2,2,2,6
2596,-10.0817,-4.21338,-24.38652,13.64967,0.36369,-0.39634,7.56714,7.8431,-10.84953,3,2,1,2,6
7268,-10.92305,-4.50474,-26.69002,13.72546,0.07321,0.32605,-4.53772,0.40732,9.48742,2,2,2,2,4
4602,-12.40133,-5.0393,-30.6228,14.00129,-0.06326,0.12748,7.25144,-0.89675,-3.75049,3,2,2,2,4
781,42.24769,-3.72755,-25.39393,13.57927,-0.08537,0.04331,3.66087,-9.9922,7.25241,3,2,1,1,4
2936,-8.08631,-3.50059,-19.31619,13.52176,1.59743,-0.87869,-4.36623,-0.22642,7.18017,3,2,2,2,3
5549,-7.60888,-3.33418,-18.09546,13.51374,0.01607,-0.00346,1.54254,23.0015,-0.43915,3,2,2,1,3
2256,-8.39902,-3.60997,-20.11873,13.79393,1.84425,-0.52471,-2.83893,-5.11079,7.57058,3,2,2,1,6
1639,1.37267,-0.31316,4.06807,13.99979,-0.11217,-0.1317,3.42241,-3.18847,0.08273,3,2,2,2,6
1263,-6.19803,-2.47971,-15.36849,13.72185,0.43595,-0.0481,-0.34942,10.05922,-8.94853,1,2,2,1,6
4275,-6.80694,-4.03962,-10.909,14.00197,-0.00174,0.22578,-8.17952,5.9667,7.45347,3,2,1,1,3
5239,-12.20052,18.71388,-20.22194,13.86486,-0.03789,-0.24759,-8.58207,-9.91115,-1.23434,3,2,1,1,2
4084,-2.20067,-1.4935,-4.5993,13.72123,-0.07388,0.19197,4.49821,2.2387,-4.19631,3,2,2,1,3
5783,-9.63597,-2.91913,-24.92727,13.65477,0.02425,0.69644,-0.49908,9.41967,-8.08929,2,2,2,2,6
3838,-2.08233,-1.45402,-4.3097,14.14056,-0.07877,-0.05902,-1.61531,13.05912,13.77553,3,2,2,1,5
1150,0.03592,-0.75205,0.84255,13.86427,0.38202,-0.0446,9.25082,7.52087,16.16298,3,2,1,1,2
7721,-15.2411,-3.77904,-40.92083,14.00067,-0.06683,-0.08018,-0.03715,9.44084,-8.34167,3,2,2,1,6
4841,-14.92644,-6.02641,-37.40041,13.86489,-0.00437,-0.26592,9.6155,-6.47422,-8.45141,3,2,2,1,3
2664,-13.91353,-5.59483,-34.71692,13.78872,-0.12921,-0.2325,2.89816,-7.95242,-1.50643,3,2,2,2,6
4921,-31.94748,-13.09072,-91.13014,13.57829,0.04728,0.28833,19.3687,-4.73148,10.17842,1,2,2,1,4
2915,-8.69733,-2.77183,-22.32197,13.93366,-0.0645,-0.10501,-0.09791,9.71872,-7.85925,3,2,2,1,6
3707,-17.36038,-7.52652,-48.31384,13.51506,-0.10815,-0.58801,6.73162,-5.23088,13.12928,3,2,1,1,3
1353,-7.28169,-3.22055,-17.26199,14.00163,0.33699,-0.30508,4.3409,-21.18947,-0.35707,2,2,2,2,2
5044,0.19028,-0.70122,1.21592,13.86015,-0.10012,-0.11527,-6.96203,-2.97807,-7.45451,3,2,1,1,3
2913,-9.40383,-96.92318,83.72267,13.02043,0.05346,1.28934,5.6984,-7.956,8.41869,2,2,2,2,2
6623,-2.83207,-1.70465,-6.1479,13.86167,-0.07096,-0.23156,1.52258,2.8249,4.29705,3,2,2,1,3
7992,2.40558,0.02415,6.54982,14.0735,-0.04054,-0.26508,-2.91659,4.01926,-4.53448,2,2,2,2,6
2471,3.30683,0.25845,8.37392,14.07076,-0.09583,-0.01489,-4.81658,5.85826,-13.74894,3,2,2,1,6
6406,-14.56042,-5.83529,-36.49161,13.5842,0.06684,-0.08588,11.31818,18.49793,-7.70036,3,2,2,1,3
3253,-8.44615,-3.62649,-20.23991,13.85991,0.29914,-0.23953,-18.46788,10.18127,1.43689,3,2,2,2,6
718,-14.53889,-5.96565,-37.01303,13.65208,-0.1048,-0.50775,1.20606,-12.40422,2.43368,3,2,1,1,6
2735,-13.71657,-5.56663,-34.3065,13.37212,0.43942,-0.57546,-3.53015,1.85791,-12.19384,3,2,2,1,6
1093,2.72676,0.12874,7.31996,14.0016,0.35601,-0.23706,-9.69002,9.21178,17.77678,3,2,2,1,6
4838,-8.92658,-3.79522,-21.47825,13.86218,-0.12375,-0.35107,10.85206,-11.5449,-10.87712,3,2,1,1,3
5680,-17.60407,-7.01306,-44.94774,13.02044,-0.11085,0.24027,11.92853,7.86677,-6.5307,3,2,2,1,3
358,-12.44053,-5.05359,-30.728,13.72018,-0.10261,-0.23814,4.81129,-0.93297,5.01162,3,2,3,2,6
1586,-6.13566,-2.60034,-14.79669,13.79422,-0.13323,-0.60436,4.20304,-0.83965,-12.24451,3,2,1,1,3
4315,-17.3265,-12.69718,-0.22596,13.79178,-0.0237,0.36712,-11.66864,3.09402,-1.05888,3,2,1,1,5
1064,-13.5424,-5.45765,-33.70518,13.79372,-0.02929,-0.0777,11.99855,16.01737,-4.00333,3,2,2,1,6
4256,-4.74217,-2.34905,-10.87239,13.79439,-0.00361,-0.048,-1.90522,0.59777,-3.78062,3,2,1,2,3
3248,-15.02263,-5.30667,-40.45467,13.23487,1.89407,-0.14169,6.92685,1.67326,-10.65492,3,2,2,1,5
2546,32.9147,80.12186,-121.3631,13.37423,-0.08379,-0.17736,7.44569,6.8014,11.16832,2,2,2,2,3
309,-54.85038,-219.8713,1257.75501,13.10334,2.1134,1.4521,-3.1581,-8.82782,9.67523,3,2,2,1,2
5078,-22.87101,-9.25685,-62.5122,13.51801,-0.14507,-0.52475,6.5362,-11.50298,3.98444,1,2,2,1,3
1874,-10.93544,-4.50919,-26.7227,13.72569,0.04206,0.49172,-7.39328,1.25735,17.60636,3,2,1,1,3
436,-22.60577,-10.24857,-51.33553,13.64921,0.01679,0.11329,-7.9427,-9.6784,6.48811,3,2,2,1,4
1076,-19.84141,-11.03801,-31.34401,13.7915,-0.09324,0.38341,-13.07969,-1.99679,2.68287,3,2,2,1,2
6495,-3.44777,-1.91141,-7.664,14.00279,-0.0368,-0.23962,0.99523,5.84753,2.54175,3,2,2,2,6
211,-10.6451,-4.40513,-25.9578,13.79121,-0.03728,-0.02409,-6.82488,1.11678,8.39816,3,2,1,1,6
2569,-21.09661,-8.37032,-55.31757,13.7218,-0.06033,-0.08484,4.09512,-6.23521,-6.40465,3,2,2,1,4
5373,-29.89784,-28.0558,10.19162,13.51206,-0.03231,-0.03037,11.02115,-4.74593,2.87489,3,2,2,2,2
2477,-12.87974,-5.21407,-31.91001,13.37046,-0.12595,0.32767,-5.65221,-6.0791,-3.661,2,2,2,2,2
3485,-20.10706,-7.97334,-52.35352,13.58477,0.05199,0.07323,-20.71361,-5.12278,-1.72531,3,2,2,2,3
1258,-19.41025,-7.82986,-51.35555,13.93451,-0.04632,-0.04441,8.19136,-11.73068,0.28997,2,2,2,2,4
820,-11.41712,-4.6825,-27.99712,14.00025,-0.10056,-0.09286,-14.10072,8.11314,4.00679,3,2,1,1,6
2015,-21.21138,-8.31954,-56.73488,13.30353,-0.01584,-0.50858,2.07243,0.37935,6.75032,1,2,2,1,3
297,-26.85755,-10.78732,-73.51536,13.72553,0.01012,0.06239,-2.48417,4.31227,1.87849,2,2,2,2,2
2975,-6.0332,-2.78984,-14.10382,13.85768,-0.11098,-0.16797,-7.60157,-9.49053,-11.54154,3,2,2,1,3
6585,-6.97855,-3.11555,-16.49198,13.58191,-0.05847,0.4486,0.9718,6.4518,9.39421,3,2,2,2,6
1891,-24.12783,48.59481,-26.17847,13.58815,0.09244,0.99324,-8.99123,-9.08815,-0.81955,3,2,2,1,5
1510,-8.03558,-3.48288,-19.1862,13.71882,-0.1491,-0.43914,0.46613,5.81086,7.84789,2,2,2,2,6
701,-23.45096,-9.37429,-62.48894,13.44125,-0.05309,-0.13936,3.07302,5.63454,9.45777,3,2,2,1,3
3823,-13.73054,-5.98929,-39.94467,13.86294,-0.1242,-0.17597,5.49374,-7.51854,-10.3009,1,2,2,1,3
714,-36.37658,42.90395,-77.20555,13.10102,2.05925,1.24778,-5.99211,-12.29872,-4.0762,2,2,2,2,4
1393,-15.17702,-6.12559,-38.52686,13.58208,-0.00038,0.31723,-3.37682,-6.67192,-12.8017,2,2,2,2,5
1086,-41.32537,-18.84288,-120.44926,13.37788,-0.09339,-0.81534,3.555,4.2228,-0.86709,2,2,2,2,3
827,-30.01562,69.78779,-65.8454,13.515,-0.04507,-0.04621,0.06836,-12.4046,-1.59404,3,2,2,1,5
3968,-2.76979,-1.68378,-5.99487,13.79403,-0.0782,-0.07428,2.8277,1.83286,-2.26859,3,2,1,1,3
912,-6.69476,-2.01738,-16.3037,13.93145,-0.05765,-0.00674,-8.58382,-5.78839,-8.32202,3,2,1,2,3
518,-4.57422,-2.29203,-10.45438,14.14056,-0.07877,-0.05902,-1.44094,4.21501,-0.83311,3,2,1,1,3
4037,-16.80792,9.28875,-41.7845,13.93231,-0.00724,0.07098,-9.78638,11.75126,2.7548,3,2,1,1,3
2581,-14.41067,-10.15116,-13.4008,14.0024,-0.02983,-0.19898,-5.10387,-11.08244,2.14942,1,2,1,2,4
4145,-19.53565,-7.73404,-51.36098,13.51501,-0.10865,-0.25053,-5.88207,7.63587,10.12069,3,2,1,1,3
3902,-10.16725,-4.21681,-25.16783,13.79269,0.09575,0.3392,0.07524,5.08932,12.21935,3,2,1,1,4
201,-11.7132,-4.78945,-28.78389,13.7201,-0.0275,-0.21841,1.62762,-6.39939,8.54616,1,2,2,1,6
5696,-11.75242,-4.80364,-28.88831,13.85846,-0.04434,-0.18415,-11.07886,4.31047,-15.34428,2,2,2,2,6
3346,-6.40998,-2.91935,-15.05332,14.07218,-0.02307,0.1776,13.59975,-2.68235,-13.81026,3,2,2,1,5
4572,-10.17849,-4.33362,-24.72147,13.93223,-0.04912,-0.21423,3.19412,-13.6925,5.7495,3,2,1,1,3
4410,-7.17084,-3.18212,-16.98016,14.07334,0.0609,0.43335,10.26483,12.59537,9.20591,3,2,2,2,6
6423,-6.51053,-2.63182,-15.9982,13.92922,-0.08071,-0.00029,7.34004,10.74764,-1.15866,3,2,2,1,5
6433,0.67172,-0.54294,2.37887,13.93218,-0.10257,-0.10089,1.26319,5.62185,-1.42298,3,2,1,1,5
3484,-19.65717,-7.79449,-51.0203,13.72245,-0.00467,0.04462,-8.05104,-15.79637,0.14006,3,2,2,1,3
5923,-4.9793,-2.42968,-11.46346,14.00146,0.29074,-0.07182,-17.33996,-4.70684,-11.38613,3,2,2,1,6
2280,0.40585,-0.6303,1.73693,14.00157,-0.07121,-0.06184,5.03946,-6.31939,-1.11348,3,2,1,1,3
6870,0.67435,-0.54208,2.38521,14.14056,-0.07877,-0.05902,9.57284,6.50792,-18.89276,3,2,2,1,4
1761,-14.38355,-5.76937,-36.00493,13.65635,0.61053,0.20739,15.1311,-15.00683,6.75517,1,2,2,1,6
3232,-11.74656,-4.80152,-28.8727,13.79428,-0.00257,0.45849,-18.42484,-12.00246,3.12412,3,2,1,1,2
6344,-0.45171,-0.81867,-1.2382,13.93045,-0.07988,-0.07014,-5.78558,-7.73093,-10.09023,3,2,1,1,3
4433,-7.33167,-3.23789,-17.38915,13.65813,2.23988,-0.7777,-1.8757,2.73831,-9.28005,3,2,2,5,6
6754,1.15603,-0.38409,3.54647,14.0723,-0.02808,0.18859,2.04781,-12.47804,11.41302,3,2,2,1,6
276,-36.80013,-16.90798,-105.04703,13.09815,2.38047,0.05591,10.19105,-5.45578,-4.55388,3,2,1,1,4
6617,-9.36299,-3.93188,-23.08476,13.86384,-0.00587,0.0711,-0.76455,4.58952,12.52419,3,2,2,1,5
6843,-26.3677,-14.29342,-52.78113,13.50908,-0.08108,0.45599,-5.44272,-11.09413,3.07484,1,2,2,2,2
70,-10.45535,37.76559,58.15664,13.58617,0.10899,0.43637,4.46199,-3.54618,9.17841,3,2,2,1,2
4589,-15.41768,-7.13383,-33.72584,13.86494,-0.04969,0.54783,3.11626,-0.65942,11.07571,3,2,2,1,2
1304,-33.44028,-13.79958,-96.60953,13.37935,0.20364,0.81619,-8.73191,-1.67622,6.19517,3,2,2,1,2
4439,-50.34181,-26.05838,-197.07162,13.43533,-0.06313,0.26243,3.8926,1.06289,14.09441,3,2,1,1,4
4636,-1.67852,-1.31952,-3.32305,13.79185,-0.07584,0.09089,0.26752,-8.19799,-3.94022,3,2,2,2,2
425,-7.65174,-3.34909,-18.20482,13.99958,-0.09417,-0.0333,18.26714,-7.27364,3.10799,1,2,2,1,4
6582,-19.66298,33.19736,-29.0885,13.86555,-0.05341,-0.5093,-6.0144,-12.26644,-4.05859,3,2,2,1,3
2786,2.67221,0.11098,7.18919,14.14056,-0.07877,-0.05902,4.23646,-4.3716,0.75367,3,2,2,2,6
8036,-8.29556,-3.57375,-19.85295,14.00365,-0.0732,0.22353,7.49039,-2.03255,4.69873,3,2,1,1,2
3211,-14.41829,-5.79677,-36.06371,13.79184,-0.08261,-0.31477,14.6946,-4.5131,6.59484,3,2,2,1,6
2979,-5.87529,-2.73568,-13.70677,13.93212,-0.05202,-0.12301,-4.83752,11.36091,15.94337,3,2,1,1,3
2037,-9.49614,-3.99624,-22.95405,13.86362,-0.09347,-0.39196,11.43042,-10.80558,-12.91857,3,2,2,1,3
7903,-6.96859,-3.1121,-16.46671,13.86072,-0.0739,0.24993,16.05411,12.12196,-0.47626,1,2,2,1,2
3421,-3.58822,-1.9587,-8.0107,13.92936,-0.06529,-0.11564,12.94841,7.27799,-17.35358,3,2,2,1,6
7609,-5.53793,-2.60701,-14.84851,13.9995,-0.11482,-0.10933,-10.33513,1.73435,-3.99258,3,2,1,2,3
