label,Anatomy,,,t-SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
3615,-13.443886173272636,-5.421323212439665,-33.437380435159824,7.1389737,-1.6928928,2.1333473,3,2,1,2,4
4924,-6.416444989754361,-2.921573213144944,-15.069638577810819,5.213886,-4.8836865,0.0925348,3,2,1,1,6
5721,10.427733208579413,-52.41427364496097,49.59399879756888,5.760868,-1.4914303,10.191591,3,2,2,2,2
2223,-6.348127960296633,-2.898060061805677,-14.8972410413715,0.5441289,8.338863,0.13160923,3,2,2,1,3
4446,-26.429664882793226,58.58150092610689,-48.926599140384425,-1.35643,-10.730174,6.124556,3,2,2,1,3
6071,3.4455045195810845,0.3623487678216072,9.04112095615332,15.332957,6.345598,-10.579432,2,2,2,2,6
2596,-10.081702495704103,-4.213383314836179,-24.38651763318308,7.567138,7.843095,-10.849531,3,2,1,2,6
7268,-10.92305484221256,-4.5047411525255665,-26.690015236733018,-4.537718,0.40731895,9.487417,2,2,2,2,4
4602,-12.401326162771811,-5.039299035131973,-30.622799129649792,7.2514386,-0.8967473,-3.7504907,3,2,2,2,4
781,42.24768519148278,-3.727550705894426,-25.393934807314743,3.660872,-9.992203,7.252412,3,2,1,1,4
2936,-8.08631210562263,-3.5005926311012443,-19.31618755271674,-4.3662324,-0.22641875,7.1801744,3,2,2,2,3
5549,-7.608881314193799,-3.3341839717744315,-18.095457031042542,1.542539,23.0015,-0.43915352,3,2,2,1,3
2256,-8.399015154950224,-3.6099729659929536,-20.11872983633278,-2.8389266,-5.110794,7.5705748,3,2,2,1,6
1639,1.372668817180757,-0.3131575898271005,4.068065955247518,3.422409,-3.1884668,0.082725815,3,2,2,2,6
1263,-6.198028402912717,-2.479713975579565,-15.368487806070236,-0.34942043,10.059223,-8.94853,1,2,2,1,6
4275,-6.806937025018491,-4.039615337254094,-10.909003424432289,-8.179521,5.9666967,7.453469,3,2,1,1,3
5239,-12.200520019233362,18.71388372457948,-20.221941543918085,-8.5820675,-9.911147,-1.234342,3,2,1,1,2
4084,-2.2006725804607568,-1.493495822654211,-4.599299473938785,4.4982057,2.2387006,-4.1963143,3,2,2,1,3
5783,-9.635965812327044,-2.9191315273398413,-24.92726914228022,-0.4990768,9.419666,-8.089293,2,2,2,2,6
3838,-2.082329550861814,-1.454015353695749,-4.309702120309252,-1.6153125,13.059119,13.775527,3,2,2,1,5
1150,0.03592191592491886,-0.7520510420094966,0.8425539798688293,9.250824,7.5208664,16.162983,3,2,1,1,2
7721,-15.241095117885774,-3.779040179936258,-40.92083466159579,-0.037152935,9.440837,-8.341667,3,2,2,1,6
4841,-14.926442155440768,-6.026410058434392,-37.40040810056036,9.615498,-6.4742165,-8.451406,3,2,2,1,3
2664,-13.913532794386104,-5.59482887684876,-34.716919411868716,2.898165,-7.9524155,-1.5064251,3,2,2,2,6
4921,-31.947480315188646,-13.090719506308563,-91.13014399326677,19.368696,-4.731481,10.17842,1,2,2,1,4
2915,-8.69732659097053,-2.7718295955379344,-22.32197187362238,-0.09790627,9.718716,-7.8592496,3,2,2,1,6
3707,-17.36038223169884,-7.526524918810973,-48.313844931303514,6.7316227,-5.2308826,13.129275,3,2,1,1,3
1353,-7.281691465407584,-3.220546626587792,-17.261989383997836,4.340898,-21.18947,-0.3570716,2,2,2,2,2
5044,0.1902806840135274,-0.7012214991261568,1.215920687685207,-6.962027,-2.9780717,-7.4545054,3,2,1,1,3
2913,-9.403826284580404,-96.92318368622539,83.72266789111892,5.698398,-7.955996,8.418691,2,2,2,2,2
6623,-2.8320668216898413,-1.7046464756194308,-6.147896829162024,1.5225753,2.8249037,4.2970514,3,2,2,1,3
7992,2.405583381995972,0.024146055552338636,6.549822530192788,-2.9165895,4.019264,-4.5344763,2,2,2,2,6
2471,3.3068265011935436,0.2584548678414874,8.373918520035412,-4.8165755,5.8582616,-13.7489395,3,2,2,1,6
6406,-14.560420537874387,-5.835292582451683,-36.49160730084765,11.318179,18.497929,-7.7003603,3,2,2,1,3
3253,-8.446151355841781,-3.626487728934297,-20.239913205137185,-18.467878,10.181273,1.4368906,3,2,2,2,6
718,-14.538891091503231,-5.965653171064744,-37.013029889984594,1.2060603,-12.404223,2.4336812,3,2,1,1,6
2735,-13.716565142024967,-5.5666331742811295,-34.30649967304201,-3.530154,1.8579117,-12.193844,3,2,2,1,6
1093,2.7267637266654963,0.12873935507872594,7.319955341126331,-9.690016,9.211776,17.776785,3,2,2,1,6
4838,-8.926579502221996,-3.795221155187233,-21.47824900164349,10.852065,-11.544899,-10.877124,3,2,1,1,3
5680,-17.604069476375546,-7.013058503270066,-44.94773891803746,11.928527,7.8667727,-6.530698,3,2,2,1,3
358,-12.440527101330602,-5.053586629025538,-30.728000089475515,4.8112917,-0.93297476,5.011625,3,2,3,2,6
1586,-6.135655030467879,-2.6003385521287172,-14.796687385173191,4.20304,-0.83964646,-12.244512,3,2,1,1,3
4315,-17.32650174881386,-12.69718256938035,-0.22595917904658666,-11.668645,3.0940204,-1.0588806,3,2,1,1,5
1064,-13.542403106717135,-5.4576453221488945,-33.70517643593195,11.998551,16.017374,-4.003331,3,2,2,1,6
4256,-4.742173455141856,-2.3490458592026235,-10.872385919219424,-1.905224,0.5977657,-3.7806168,3,2,1,2,3
3248,-15.02262821169925,-5.306668730749828,-40.45466891221723,6.9268465,1.6732633,-10.654915,3,2,2,1,5
2546,32.91470025355977,80.12186227521859,-121.36309631108192,7.4456887,6.8013954,11.168318,2,2,2,2,3
309,-54.850383420287265,-219.8712960814345,1257.755011644182,-3.1581042,-8.827816,9.675234,3,2,2,1,2
5078,-22.87100817130956,-9.256854667303339,-62.51220293717061,6.536195,-11.502983,3.9844377,1,2,2,1,3
1874,-10.935440577034758,-4.509186460214288,-26.722695497285358,-7.393279,1.2573489,17.606363,3,2,1,1,3
436,-22.605766200515856,-10.24857168965386,-51.33553448714255,-7.942697,-9.678397,6.488108,3,2,2,1,4
1076,-19.841411080644278,-11.038008909194554,-31.34400899683723,-13.079689,-1.9967854,2.682868,3,2,2,1,2
6495,-3.4477700086844454,-1.911409667084289,-7.664000468279142,0.99522555,5.847528,2.541754,3,2,2,2,6
211,-10.645104130159421,-4.405128239088666,-25.95779579829343,-6.8248835,1.1167786,8.398161,3,2,1,1,6
2569,-21.09661494887429,-8.370322743801356,-55.31756608517293,4.095119,-6.2352066,-6.404654,3,2,2,1,4
5373,-29.897842728065466,-28.05580034876271,10.191622738088183,11.021151,-4.745931,2.874891,3,2,2,2,2
2477,-12.879737288226773,-5.214072855862138,-31.91000836368364,-5.6522083,-6.079102,-3.6609976,2,2,2,2,2
3485,-20.10705786512586,-7.973336097718261,-52.35352242674342,-20.713612,-5.122776,-1.7253094,3,2,2,2,3
1258,-19.410249480592057,-7.829860376102312,-51.355547976879095,8.191361,-11.730676,0.2899726,2,2,2,2,4
820,-11.417124335499297,-4.682498243979124,-27.99712206236269,-14.100724,8.113141,4.0067935,3,2,1,1,6
2015,-21.211382282655855,-8.319541240769885,-56.73487615947049,2.0724254,0.37935355,6.7503204,1,2,2,1,3
297,-26.857553609307033,-10.787322200071692,-73.51536411847522,-2.4841743,4.3122697,1.8784852,2,2,2,2,2
2975,-6.033201383933848,-2.7898409363821886,-14.103815349780145,-7.6015687,-9.490532,-11.541544,3,2,2,1,3
6585,-6.978546811347403,-3.1155483731457756,-16.491976510004484,0.9717972,6.4518023,9.394213,3,2,2,2,6
1891,-24.12782691973364,48.594812975548834,-26.178465620557798,-8.991228,-9.088147,-0.8195457,3,2,2,1,5
1510,-8.035577405748432,-3.48287529416171,-19.186204617005306,0.46613014,5.8108644,7.8478885,2,2,2,2,6
701,-23.450958696162928,-9.374290849609814,-62.48894484449378,3.073022,5.634542,9.457774,3,2,2,1,3
3823,-13.730538661568778,-5.989287254327965,-39.94467048323209,5.493739,-7.5185447,-10.300899,1,2,2,1,3
714,-36.37658232685398,42.90394816790419,-77.20554677921055,-5.9921126,-12.29872,-4.076199,2,2,2,2,4
1393,-15.177018672657873,-6.1255877943581805,-38.52685757184703,-3.3768156,-6.6719184,-12.801702,2,2,2,2,5
1086,-41.325371783397436,-18.842881188152028,-120.44926382678558,3.5550046,4.2227955,-0.86709416,2,2,2,2,3
827,-30.015623245165802,69.78778583698633,-65.84540462392766,0.06835839,-12.404601,-1.5940417,3,2,2,1,5
3968,-2.7697851895327106,-1.6837792891376473,-5.994871157575748,2.8277028,1.8328565,-2.268592,3,2,1,1,3
912,-6.694759813244328,-2.0173835935761044,-16.30369732452505,-8.583816,-5.7883925,-8.322019,3,2,1,2,3
518,-4.574219864618189,-2.292025235048196,-10.454382784019714,-1.4409354,4.2150054,-0.8331143,3,2,1,1,3
4037,-16.80792408177335,9.28874902933683,-41.784503926848714,-9.786376,11.751261,2.7547956,3,2,1,1,3
2581,-14.410666750161328,-10.151163667225159,-13.400799302411007,-5.1038704,-11.0824375,2.1494153,1,2,1,2,4
4145,-19.53565405826582,-7.734039153331393,-51.36097758503008,-5.8820662,7.635869,10.12069,3,2,1,1,3
3902,-10.167254335583811,-4.216811426546937,-25.16783003192128,0.075243935,5.0893216,12.219352,3,2,1,1,4
201,-11.713200933698305,-4.789451510845192,-28.78389486731757,1.6276183,-6.39939,8.546161,1,2,2,1,6
5696,-11.752420244802542,-4.803643385319137,-28.88831172190879,-11.07886,4.3104696,-15.344278,2,2,2,2,6
3346,-6.409979550573668,-2.9193473855122782,-15.053318774665685,13.5997505,-2.6823502,-13.810261,3,2,2,1,5
4572,-10.178493832463477,-4.333620400634656,-24.72146762875259,3.1941233,-13.692503,5.7495017,3,2,1,1,3
4410,-7.170835907932068,-3.182118451597685,-16.98016375202947,10.264829,12.595367,9.205914,3,2,2,2,6
6423,-6.510525424515777,-2.6318216972882236,-15.998197132578557,7.3400435,10.7476425,-1.1586636,3,2,2,1,5
6433,0.6717244002238387,-0.5429410232589122,2.3788688476502564,1.2631904,5.6218514,-1.422975,3,2,1,1,5
3484,-19.657166863477723,-7.794491815712253,-51.02029967034392,-8.051038,-15.796372,0.14006355,3,2,2,1,3
5923,-4.979303187998329,-2.4296759063781117,-11.463460671077447,-17.339958,-4.7068367,-11.38613,3,2,2,1,6
2280,0.4058495265817322,-0.6303032497637692,1.7369263373261836,5.039459,-6.3193855,-1.113476,3,2,1,1,3
6870,0.6743513433622883,-0.542078424372735,2.3852080097744914,9.572837,6.5079174,-18.892757,3,2,2,1,4
1761,-14.383546118829607,-5.769371929436692,-36.00493338419914,15.1311035,-15.006827,6.755166,1,2,2,1,6
3232,-11.746557956183855,-4.801521695593997,-28.872701094627235,-18.424837,-12.002462,3.1241248,3,2,1,1,2
6344,-0.45171067260490627,-0.8186668820854713,-1.2381965456178625,-5.7855825,-7.7309327,-10.090229,3,2,1,1,3
4433,-7.331674766308724,-3.237885473727392,-17.389153330239314,-1.8757029,2.738312,-9.280051,3,2,2,5,6
6754,1.156032306720485,-0.38409478954312176,3.5464697175533555,2.047811,-12.47804,11.413023,3,2,2,1,6
276,-36.800132005211246,-16.907980527267682,-105.0470290633319,10.1910515,-5.4557796,-4.553882,3,2,1,1,4
6617,-9.362986951484846,-3.9318754922063706,-23.084760765826307,-0.76454645,4.589518,12.52419,3,2,2,1,5
6843,-26.367696504865823,-14.29341861675074,-52.781129969752236,-5.4427233,-11.094131,3.0748398,1,2,2,2,2
70,-10.455350841819959,37.765589699957026,58.156636358087205,4.461988,-3.5461771,9.1784115,3,2,2,1,2
4589,-15.417684572330739,-7.133834033237767,-33.7258433014744,3.1162596,-0.6594208,11.075713,3,2,2,1,2
1304,-33.440278310358266,-13.799580198045406,-96.6095265350109,-8.7319145,-1.6762205,6.195168,3,2,2,1,2
4439,-50.34180808801334,-26.05838114075555,-197.07162125810117,3.8925989,1.0628865,14.094411,3,2,1,1,4
4636,-1.678524150013023,-1.3195219800903135,-3.3230452196472533,0.2675247,-8.197987,-3.9402175,3,2,2,2,2
425,-7.651739340863903,-3.349093321680143,-18.204817302142597,18.267138,-7.2736387,3.1079874,1,2,2,1,4
6582,-19.662983158356333,33.19735584515277,-29.088501078805677,-6.0143986,-12.266443,-4.058589,3,2,2,1,3
2786,2.672210521209632,0.11098306089858466,7.189193388947635,4.236458,-4.3715963,0.7536729,3,2,2,2,6
8036,-8.295559010102966,-3.5737506914160293,-19.85294606607116,7.4903855,-2.03255,4.6987257,3,2,1,1,2
3211,-14.418292376242217,-5.796767287057478,-36.06371311772091,14.694598,-4.5130954,6.5948396,3,2,2,1,6
2979,-5.875293713400996,-2.735683528939808,-13.706769317039516,-4.837515,11.360912,15.943367,3,2,1,1,3
2037,-9.496143368369207,-3.9962442949843737,-22.954053195787207,11.430418,-10.805576,-12.918572,3,2,2,1,3
7903,-6.968585755585131,-3.1121028693767627,-16.466710002818242,16.05411,12.121957,-0.47625682,1,2,2,1,2
3421,-3.588216204711448,-1.95869709149784,-8.01070430315183,12.948414,7.27799,-17.353577,3,2,2,1,6
7609,-5.537932520951205,-2.6070064477333093,-14.848509261708804,-10.335126,1.7343537,-3.9925826,3,2,1,2,3
7334,-1.9576177971802395,-1.4124421387259845,-4.004737267009939,-1.3409383,6.9404535,-7.294687,3,2,1,2,3
5244,-6.126748685356653,-2.8219576315817707,-14.33927876253442,4.0025907,4.498427,0.636838,3,2,1,2,6
4393,-1.4580457044543118,-1.24622913011773,-2.7852764682424556,3.7741992,-3.4169753,-5.9469495,1,2,1,1,5
4302,-34.42321594137323,102.30207193579712,-47.847195472694025,-5.9610987,-12.23204,-4.0898995,3,2,1,2,3
1746,-7.466776667927391,-3.284789170943289,-17.7331597124773,5.707662,16.415709,2.6709552,3,2,2,1,3
706,-8.856475596447275,-3.7705528112955116,-21.297185410043905,-2.2196317,-8.4171915,0.41985318,3,2,2,1,3
2244,-6.464337097022659,-2.9380645459422374,-15.190554084830124,-5.8827243,3.7238731,-19.646698,3,2,2,1,2
4469,-4.991094876961151,-2.433689199362483,-11.492880916225197,3.7797706,-1.825993,2.88494,3,2,1,1,5
4405,4.125812586229629,2.174265692625851,5.017167920428116,5.3498216,-5.3712797,-7.9453273,3,2,2,1,6
2320,-12.204342786398213,-4.967593646624793,-30.09489651681164,1.6244522,-1.6565986,8.876513,3,2,2,1,5
2808,-1.5703304142979675,-1.2835432913694698,-3.0590681032215192,-14.2784395,-8.135946,-4.934241,3,2,1,1,6
8051,2.366461432492812,0.01139691668544278,6.455968520196117,-4.983808,0.8766992,-1.0416299,3,2,2,1,3
2539,-10.342576094752165,-6.586980338041849,-12.964109393448393,-8.571061,5.7135434,7.949537,3,2,1,2,6
5280,-20.330423149891928,-7.769689584401938,-55.02278642737456,12.729796,4.879696,3.7764485,3,2,2,1,5
3563,-19.37479532003932,-7.68275608080372,-50.18799103563033,13.2361965,10.098103,-5.525814,1,2,2,1,3
4438,-50.106555449242606,-26.517144888218677,-146.31716820206697,-5.709108,-1.5364573,-1.9521688,3,2,2,1,2
4894,0.31955346468548324,-0.6586837529098948,1.5284159685542873,8.757394,20.268412,-2.188522,3,2,1,2,3
1803,63.914229378894355,85.25710952956751,-154.57908810252573,3.8061507,-10.627642,7.71769,3,2,2,1,4
6043,-9.480396810665292,-4.226386446389228,-24.18600592659457,-4.794057,5.694225,-7.5273557,3,2,2,2,3
1209,-4.232029570360885,-2.1760723525506873,-9.604349055720979,1.8566589,3.4527347,5.980686,1,2,2,1,3
