Entry	Entry name	Status	Length	Mass	Gene names  (primary )
Q96J87	CELF6_HUMAN	reviewed	481	50,477	CELF6
P34810	CD68_HUMAN	reviewed	354	37,408	CD68
Q14002	CEAM7_HUMAN	reviewed	265	29,379	CEACAM7
Q9Y259	CHKB_HUMAN	reviewed	395	45,271	CHKB
P09564	CD7_HUMAN	reviewed	240	25,409	CD7
Q86TU6	CN070_HUMAN	reviewed	105	12,089	LINC00523
Q01955	CO4A3_HUMAN	reviewed	1670	161,813	COL4A3
P56277	CMC4_HUMAN	reviewed	68	7,747	CMC4
Q9H9A5	CNO10_HUMAN	reviewed	744	82,310	CNOT10
A5YKK6	CNOT1_HUMAN	reviewed	2376	266,939	CNOT1
P51788	CLCN2_HUMAN	reviewed	898	98,535	CLCN2
Q15417	CNN3_HUMAN	reviewed	329	36,414	CNN3
O14493	CLD4_HUMAN	reviewed	209	22,077	CLDN4
B7Z368	CJ142_HUMAN	reviewed	130	13,757	LINC02881
Q2HXU8	CL12B_HUMAN	reviewed	276	31,616	CLEC12B
E9PRG8	CK098_HUMAN	reviewed	123	14,234	C11orf98
Q96JB5	CK5P3_HUMAN	reviewed	506	56,921	CDK5RAP3
Q9BXN2	CLC7A_HUMAN	reviewed	247	27,627	CLEC7A
Q6PB30	CSAG1_HUMAN	reviewed	78	8,697	CSAG1
Q9Y2W7	CSEN_HUMAN	reviewed	256	29,231	KCNIP3
P15509	CSF2R_HUMAN	reviewed	400	46,207	CSF2RA
Q5T3F8	CSCL2_HUMAN	reviewed	832	94,958	TMEM63B
P53621	COPA_HUMAN	reviewed	1224	138,346	COPA
P08686	CP21A_HUMAN	reviewed	494	55,887	CYP21A2
Q8IUI8	CRLF3_HUMAN	reviewed	442	49,766	CRLF3
P04632	CPNS1_HUMAN	reviewed	268	28,316	CAPNS1
Q8NF67	A2012_HUMAN	reviewed	263	31,171	ANKRD20A12P
Q4AC99	1A1L2_HUMAN	reviewed	568	65,249	ACCSL
Q15172	2A5A_HUMAN	reviewed	486	56,194	PPP2R5A
Q96QU6	1A1L1_HUMAN	reviewed	501	57,324	ACCS
Q9H3Z7	ABHGB_HUMAN	reviewed	469	52,555	ABHD16B
Q13639	5HT4R_HUMAN	reviewed	388	43,761	HTR4
Q9P1F3	ABRAL_HUMAN	reviewed	81	9,056	ABRACL
Q9NRW3	ABC3C_HUMAN	reviewed	190	22,826	APOBEC3C
Q9Y615	ACL7A_HUMAN	reviewed	435	48,644	ACTL7A
Q9NP73	ALG13_HUMAN	reviewed	1137	126,056	ALG13
P52594	AGFG1_HUMAN	reviewed	562	58,260	AGFG1
Q9NW15	ANO10_HUMAN	reviewed	660	76,329	ANO10
Q8WXG9	AGRV1_HUMAN	reviewed	6306	693,069	ADGRV1
P04745	AMY1_HUMAN	reviewed	511	57,768	AMY1A; AMY1B; AMY1C
P16860	ANFB_HUMAN	reviewed	134	14,726	NPPB
Q9H7F0	AT133_HUMAN	reviewed	1226	138,043	ATP13A3
Q674R7	ATG9B_HUMAN	reviewed	924	101,019	ATG9B
Q96IX5	ATPMD_HUMAN	reviewed	58	6,458	ATP5MD
Q9P1U1	ARP3B_HUMAN	reviewed	418	47,608	ACTR3B
P46100	ATRX_HUMAN	reviewed	2492	282,586	ATRX
P15538	C11B1_HUMAN	reviewed	503	57,573	CYP11B1
Q9H503	BAFL_HUMAN	reviewed	90	10,309	BANF2
Q7Z6A9	BTLA_HUMAN	reviewed	289	32,834	BTLA
P30411	BKRB2_HUMAN	reviewed	391	44,461	BDKRB2
Q8IYS8	BD1L2_HUMAN	reviewed	172	18,075	BOD1L2
Q9NPY3	C1QR1_HUMAN	reviewed	652	68,560	CD93
Q6Y288	B3GLT_HUMAN	reviewed	498	56,564	B3GLCT
Q9NS00	C1GLT_HUMAN	reviewed	363	42,203	C1GALT1
Q9BXJ0	C1QT5_HUMAN	reviewed	243	25,298	C1QTNF5
P11586	C1TC_HUMAN	reviewed	935	101,559	MTHFD1
Q8NHY0	B4GN2_HUMAN	reviewed	566	63,258	B4GALNT2
Q8WXS3	BAALC_HUMAN	reviewed	180	19,224	BAALC
Q13323	BIK_HUMAN	reviewed	160	18,016	BIK
Q5SZJ8	BEND6_HUMAN	reviewed	279	31,222	BEND6
Q9UBN1	CCG4_HUMAN	reviewed	327	36,579	CACNG4
O60359	CCG3_HUMAN	reviewed	315	35,549	CACNG3
P55285	CADH6_HUMAN	reviewed	790	88,309	CDH6
Q3KRA6	CB076_HUMAN	reviewed	126	14,609	C2orf76
Q8WUQ7	CATIN_HUMAN	reviewed	758	88,702	CACTIN
Q7Z7H3	CATIP_HUMAN	reviewed	387	43,900	CATIP
Q8N6N3	CA052_HUMAN	reviewed	182	20,599	C1orf52
Q8N715	CC185_HUMAN	reviewed	623	72,349	CCDC185
P30203	CD6_HUMAN	reviewed	668	71,801	CD6
Q6ZTY9	CG065_HUMAN	reviewed	151	16,773	C7orf65
A4D0T2	CG066_HUMAN	reviewed	115	13,234	C7orf66
Q5T1J5	CHCH9_HUMAN	reviewed	151	15,490	CHCHD2P9
B1AMM8	CI107_HUMAN	reviewed	73	8,554	LINC00587
Q86Y33	CD20B_HUMAN	reviewed	519	57,335	CDC20B
Q5VTT2	CI135_HUMAN	reviewed	229	26,445	C9orf135
Q12798	CETN1_HUMAN	reviewed	172	19,570	CETN1
Q8IX05	CD302_HUMAN	reviewed	232	26,183	CD302
P06127	CD5_HUMAN	reviewed	495	54,578	CD5
P06681	CO2_HUMAN	reviewed	752	83,268	C2
P20908	CO5A1_HUMAN	reviewed	1838	183,560	COL5A1
P07358	CO8B_HUMAN	reviewed	591	67,047	C8B
Q15021	CND1_HUMAN	reviewed	1401	157,182	NCAPD2
O75175	CNOT3_HUMAN	reviewed	753	81,872	CNOT3
Q96RK1	CITE4_HUMAN	reviewed	184	18,569	CITED4
A6NM45	CLD24_HUMAN	reviewed	220	24,421	CLDN24
Q96F85	CNRP1_HUMAN	reviewed	164	18,648	CNRIP1
O75829	CNMD_HUMAN	reviewed	334	37,102	CNMD
A0A1B0GUT2	CJ143_HUMAN	reviewed	108	11,738	C10orf143
Q96SZ6	CK5P1_HUMAN	reviewed	601	67,689	CDK5RAP1
Q8N3C7	CLIP4_HUMAN	reviewed	705	76,317	CLIP4
P49761	CLK3_HUMAN	reviewed	638	73,515	CLK3
Q9UBR5	CKLF_HUMAN	reviewed	152	17,170	CKLF
O60566	BUB1B_HUMAN	reviewed	1050	119,545	BUB1B
O43684	BUB3_HUMAN	reviewed	328	37,155	BUB3
O75947	ATP5H_HUMAN	reviewed	161	18,491	ATP5PD
P25705	ATPA_HUMAN	reviewed	553	59,751	ATP5F1A
Q07021	C1QBP_HUMAN	reviewed	282	31,362	C1QBP
Q8N3I7	BBS5_HUMAN	reviewed	341	38,755	BBS5
O14503	BHE40_HUMAN	reviewed	412	45,510	BHLHE40
P17213	BPI_HUMAN	reviewed	487	53,900	BPI
Q8IZY5	BLID_HUMAN	reviewed	108	12,045	BLID
Q9NPZ5	B3GA2_HUMAN	reviewed	323	36,919	B3GAT2
A1A5D9	BICL2_HUMAN	reviewed	508	56,834	BICDL2
Q96GS4	BORC6_HUMAN	reviewed	357	37,226	BORCS6
Q12830	BPTF_HUMAN	reviewed	3046	338,262	BPTF
P32247	BRS3_HUMAN	reviewed	399	44,411	BRS3
Q5W0U4	BSPRY_HUMAN	reviewed	402	44,381	BSPRY
Q13895	BYST_HUMAN	reviewed	437	49,601	BYSL
Q9GZN4	BSSP4_HUMAN	reviewed	317	33,732	PRSS22
Q8N888	BCOR2_HUMAN	reviewed	145	16,258	BCORP1
Q8WY22	BRI3B_HUMAN	reviewed	251	27,836	BRI3BP
Q8WUW1	BRK1_HUMAN	reviewed	75	8,745	BRK1
Q5H9F3	BCORL_HUMAN	reviewed	1711	182,526	BCORL1
P59051	BRAS2_HUMAN	reviewed	145	16,132	BRWD1-AS2
Q8NHW4	CC4L_HUMAN	reviewed	92	10,166	CCL4L1; CCL4L2
P31944	CASPE_HUMAN	reviewed	242	27,680	CASP14
Q5XKL5	BTBD8_HUMAN	reviewed	378	42,793	BTBD8
Q96Q07	BTBD9_HUMAN	reviewed	612	69,188	BTBD9
Q9BSF8	BTBDA_HUMAN	reviewed	475	53,779	BTBD10
A6QL63	BTBDB_HUMAN	reviewed	1104	120,884	BTBD11
A6NE02	BTBDH_HUMAN	reviewed	478	52,471	BTBD17
Q8N163	CCAR2_HUMAN	reviewed	923	102,902	CCAR2
P53634	CATC_HUMAN	reviewed	463	51,854	CTSC
P13500	CCL2_HUMAN	reviewed	99	11,025	CCL2
Q9NZU7	CABP1_HUMAN	reviewed	370	39,838	CABP1
Q8WTZ4	CA5BL_HUMAN	reviewed	195	22,622	CA5BP1
P07339	CATD_HUMAN	reviewed	412	44,552	CTSD
O43852	CALU_HUMAN	reviewed	315	37,107	CALU
Q9BWT7	CAR10_HUMAN	reviewed	1032	115,931	CARD10
Q15878	CAC1E_HUMAN	reviewed	2313	261,731	CACNA1E
Q1T7F1	CCB42_HUMAN	reviewed	81	8,815	
O00257	CBX4_HUMAN	reviewed	560	61,368	CBX4
P63098	CANB1_HUMAN	reviewed	170	19,300	PPP3R1
A0A1B0GVN3	CB092_HUMAN	reviewed	265	30,198	C2orf92
P47755	CAZA2_HUMAN	reviewed	286	32,949	CAPZA2
Q9UKL3	C8AP2_HUMAN	reviewed	1982	222,658	CASP8AP2
P01258	CALC_HUMAN	reviewed	141	15,467	CALCA
P30988	CALCR_HUMAN	reviewed	474	55,329	CALCR
Q9NS85	CAH10_HUMAN	reviewed	328	37,563	CA10
Q5VU97	CAHD1_HUMAN	reviewed	1274	142,290	CACHD1
Q8IVY1	CA210_HUMAN	reviewed	113	12,024	C1orf210
Q9NRR3	C42S2_HUMAN	reviewed	84	9,223	CDC42SE2
Q5TB80	CE162_HUMAN	reviewed	1403	161,943	CEP162
Q16790	CAH9_HUMAN	reviewed	459	49,698	CA9
Q7Z692	CEA19_HUMAN	reviewed	300	32,638	CEACAM19
Q8N111	CEND_HUMAN	reviewed	149	14,954	CEND1
P52757	CHIO_HUMAN	reviewed	468	53,924	CHN2
P08962	CD63_HUMAN	reviewed	238	25,637	CD63
P40259	CD79B_HUMAN	reviewed	229	26,048	CD79B
Q7L2Z9	CENPQ_HUMAN	reviewed	268	30,595	CENPQ
Q01850	CDR2_HUMAN	reviewed	454	51,855	CDR2
Q8WUD6	CHPT1_HUMAN	reviewed	406	45,097	CHPT1
O75838	CIB2_HUMAN	reviewed	187	21,644	CIB2
Q92903	CDS1_HUMAN	reviewed	461	53,304	CDS1
O60308	CE104_HUMAN	reviewed	925	104,448	CEP104
Q96MH7	CE034_HUMAN	reviewed	638	72,898	C5orf34
Q9BYV8	CEP41_HUMAN	reviewed	373	41,368	CEP41
Q569G3	CE047_HUMAN	reviewed	176	19,206	C5orf47
Q9P2H0	CE126_HUMAN	reviewed	1117	125,870	CEP126
Q49A92	CH034_HUMAN	reviewed	538	59,434	C8orf34
Q14839	CHD4_HUMAN	reviewed	1912	218,005	CHD4
Q96JM3	CHAP1_HUMAN	reviewed	812	89,099	CHAMP1
O60543	CIDEA_HUMAN	reviewed	219	24,687	CIDEA
Q6ZVT6	CF20D_HUMAN	reviewed	689	76,271	CFAP20DC
Q9P2B7	CFA97_HUMAN	reviewed	532	59,475	CFAP97
A6NGG3	CI092_HUMAN	reviewed	77	8,520	C9orf92
Q8N4C0	CI062_HUMAN	reviewed	152	16,682	C9orf62
Q9UL16	CFA45_HUMAN	reviewed	551	65,730	CFAP45
P05156	CFAI_HUMAN	reviewed	583	65,750	CFI
Q53FE4	CD017_HUMAN	reviewed	359	39,644	C4orf17
P06126	CD1A_HUMAN	reviewed	327	37,077	CD1A
Q9Y5P4	CERT_HUMAN	reviewed	624	70,835	CERT1
P15812	CD1E_HUMAN	reviewed	388	43,626	CD1E
P06493	CDK1_HUMAN	reviewed	297	34,095	CDK1
P15391	CD19_HUMAN	reviewed	556	61,128	CD19
Q9HD87	CF050_HUMAN	reviewed	102	12,368	C6orf50
Q9BZW8	CD244_HUMAN	reviewed	370	41,616	CD244
P32246	CCR1_HUMAN	reviewed	355	41,173	CCR1
Q9BQ75	CMS1_HUMAN	reviewed	279	31,884	CMSS1
A8TX70	CO6A5_HUMAN	reviewed	2615	289,926	COL6A5
P27658	CO8A1_HUMAN	reviewed	744	73,364	COL8A1
O95832	CLD1_HUMAN	reviewed	211	22,744	CLDN1
Q6PI25	CNIH2_HUMAN	reviewed	160	18,931	CNIH2
Q5SYC1	CLVS2_HUMAN	reviewed	327	38,000	CLVS2
C9JDP6	CLD25_HUMAN	reviewed	229	25,394	CLDN25
Q96A22	CK052_HUMAN	reviewed	123	13,921	C11orf52
Q9H6J7	CK049_HUMAN	reviewed	331	37,353	C11orf49
Q8WZ69	CK040_HUMAN	reviewed	217	24,620	C11orf40
Q9P2M7	CING_HUMAN	reviewed	1197	136,386	CGN
Q00610	CLH1_HUMAN	reviewed	1675	191,615	CLTC
Q9NZA1	CLIC5_HUMAN	reviewed	410	46,503	CLIC5
Q6ZS10	CL17A_HUMAN	reviewed	378	42,935	CLEC17A
P20813	CP2B6_HUMAN	reviewed	491	56,278	CYP2B6
P21399	ACOC_HUMAN	reviewed	889	98,399	ACO1
Q15057	ACAP2_HUMAN	reviewed	778	88,029	ACAP2
P61981	1433G_HUMAN	reviewed	247	28,303	YWHAG
P29372	3MG_HUMAN	reviewed	298	32,869	MPG
Q9Y3L3	3BP1_HUMAN	reviewed	701	75,713	SH3BP1
Q9H7C9	AAMDC_HUMAN	reviewed	122	13,332	AAMDC
O94911	ABCA8_HUMAN	reviewed	1581	179,245	ABCA8
Q13131	AAPK1_HUMAN	reviewed	559	64,009	PRKAA1
Q9H4A4	AMPB_HUMAN	reviewed	650	72,596	RNPEP
Q13023	AKAP6_HUMAN	reviewed	2319	256,720	AKAP6
Q9Y2J4	AMOL2_HUMAN	reviewed	779	85,764	AMOTL2
P14550	AK1A1_HUMAN	reviewed	325	36,573	AKR1A1
Q8TDG2	ACTT1_HUMAN	reviewed	376	41,696	ACTRT1
P12235	ADT1_HUMAN	reviewed	298	33,064	SLC25A4
P17342	ANPRC_HUMAN	reviewed	541	59,808	NPR3
Q06481	APLP2_HUMAN	reviewed	763	86,956	APLP2
O95704	APBB3_HUMAN	reviewed	486	52,585	APBB3
Q9BQE5	APOL2_HUMAN	reviewed	337	37,092	APOL2
P06727	APOA4_HUMAN	reviewed	396	45,372	APOA4
Q4VNC1	AT134_HUMAN	reviewed	1196	133,987	ATP13A4
P15289	ARSA_HUMAN	reviewed	507	53,588	ARSA
Q76LX8	ATS13_HUMAN	reviewed	1427	153,604	ADAMTS13
P0C7T5	ATX1L_HUMAN	reviewed	689	73,306	ATXN1L
Q8WWM7	ATX2L_HUMAN	reviewed	1075	113,374	ATXN2L
Q9P2N4	ATS9_HUMAN	reviewed	1935	216,491	ADAMTS9
P16278	BGAL_HUMAN	reviewed	677	76,075	GLB1
O14867	BACH1_HUMAN	reviewed	736	81,958	BACH1
Q9BWV1	BOC_HUMAN	reviewed	1114	121,059	BOC
Q8WXS4	CCGL_HUMAN	reviewed	190	20,932	TMEM37
Q8NFZ8	CADM4_HUMAN	reviewed	388	42,785	CADM4
Q9ULB4	CADH9_HUMAN	reviewed	789	88,689	CDH9
P08185	CBG_HUMAN	reviewed	405	45,141	SERPINA6
P49069	CAMLG_HUMAN	reviewed	296	32,953	CAMLG
P43235	CATK_HUMAN	reviewed	329	36,966	CTSK
P49913	CAMP_HUMAN	reviewed	170	19,301	CAMP
P05814	CASB_HUMAN	reviewed	226	25,382	CSN2
P0DPF6	CB27B_HUMAN	reviewed	209	22,074	C2orf27B
Q9BX69	CARD6_HUMAN	reviewed	1037	116,468	CARD6
O75976	CBPD_HUMAN	reviewed	1380	152,931	CPD
Q6PII3	CC174_HUMAN	reviewed	467	53,958	CCDC174
Q9H2F9	CCD68_HUMAN	reviewed	335	38,869	CCDC68
Q6NSX1	CCD70_HUMAN	reviewed	233	28,767	CCDC70
Q9H246	CA021_HUMAN	reviewed	121	13,865	C1orf21
O95561	CA105_HUMAN	reviewed	183	21,209	C1orf105
P54289	CA2D1_HUMAN	reviewed	1103	124,568	CACNA2D1
Q9BS16	CENPK_HUMAN	reviewed	269	31,655	CENPK
O14757	CHK1_HUMAN	reviewed	476	54,434	CHEK1
Q8N9R6	CDRT4_HUMAN	reviewed	152	17,643	CDRT4
O14627	CDX4_HUMAN	reviewed	284	30,480	CDX4
Q9H7E9	CH033_HUMAN	reviewed	229	24,993	C8orf33
Q9UKY7	CDV3_HUMAN	reviewed	258	27,335	CDV3
Q8N960	CE120_HUMAN	reviewed	986	112,640	CEP120
Q8IYR0	CF206_HUMAN	reviewed	622	71,193	CFAP206
B2RV13	CF97D_HUMAN	reviewed	164	19,546	CFAP97D1
Q8N1V2	CFA52_HUMAN	reviewed	620	68,298	CFAP52
P27544	CERS1_HUMAN	reviewed	350	39,536	CERS1
Q6W349	CD011_HUMAN	reviewed	94	10,157	LINC00575
Q8N6Q3	CD177_HUMAN	reviewed	437	46,363	CD177
Q504U0	CD046_HUMAN	reviewed	113	11,899	C4orf46
P51684	CCR6_HUMAN	reviewed	374	42,494	CCR6
P24863	CCNC_HUMAN	reviewed	283	33,243	CCNC
P29017	CD1C_HUMAN	reviewed	333	37,654	CD1C
P11049	CD37_HUMAN	reviewed	281	31,703	CD37
P51685	CCR8_HUMAN	reviewed	355	40,844	CCR8
P46092	CCR10_HUMAN	reviewed	362	38,416	CCR10
Q9H2U6	CO005_HUMAN	reviewed	94	11,474	LINC00597
P24864	CCNE1_HUMAN	reviewed	410	47,077	CCNE1
P02462	CO4A1_HUMAN	reviewed	1669	160,611	COL4A1
Q8IY22	CMIP_HUMAN	reviewed	773	86,331	CMIP
Q4W4Y0	CN028_HUMAN	reviewed	310	36,306	C14orf28
Q03692	COAA1_HUMAN	reviewed	680	66,158	COL10A1
P63151	2ABA_HUMAN	reviewed	447	51,692	PPP2R2A
Q96P50	ACAP3_HUMAN	reviewed	834	92,495	ACAP3
P01023	A2MG_HUMAN	reviewed	1474	163,291	A2M
P00813	ADA_HUMAN	reviewed	363	40,764	ADA
A1IGU5	ARH37_HUMAN	reviewed	675	76,278	ARHGEF37
