label;Anatomy;region_name;hemisphere;NodeType;StableID;PaperID;MechanismID;Delegation;Mediation;Target;AgencyDirection;DisplayType;InteractionModality;Adaptability;ClassificationStatus;ClassificationEvidence;Glyph;GlyphSize;GlyphAspectX;GlyphAspectY;GlyphAspectZ;CoordinateX;CoordinateY;CoordinateZ;CoordinateBasis;HemisphereCompatibilityOnly
21;T-VIEW;Hierarchical immersive exploration;left;mechanism;dtbia-2025-hierarchical-navigation;dtbia-2025;dtbia-2025-hierarchical-navigation;D0;M1;T-VIEW;human_to_system;VM-VR;IM-TRACKED_CONTROLLER|IM-EMBODIED_LOCOMOTION;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""The hierarchy responds to direct navigation rather than adapting or learning.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Experts navigate from regions to voxels and slices.""}],""delegation"":[{""location"":""Abstract"",""support"":""The human chooses navigation actions and the system executes them.""}],""display_type"":[{""location"":""Abstract"",""support"":""The hierarchy is presented in an immersive virtual-reality environment.""}],""interaction_modalities"":[{""location"":""Immersive navigation"",""support"":""Users navigate spatially through tracked immersive controls.""}],""mediation"":[{""location"":""Abstract"",""support"":""The hierarchy structures spatiotemporal data across levels of detail.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on spatial view organization and navigation.""}]}";icosahedron;1;1;1;1;0;1;0;approved_classification_coordinate;true
22;T-DATA;Expert label aggregation and standardization;right;mechanism;fathomnet-2022-label-aggregation;fathomnet-2022;fathomnet-2022-label-aggregation;D0;M1;T-DATA;human_to_system;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Aggregation follows the database contribution workflow rather than adapting behavior.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Experts and distributed sources contribute curated labels to the database.""}],""delegation"":[{""location"":""Abstract"",""support"":""Humans curate labels and direct data contribution.""}],""display_type"":[{""location"":""Abstract"",""support"":""No single visualization environment is specified for this database mechanism.""}],""mediation"":[{""location"":""Abstract"",""support"":""The database standardizes and aggregates labeled image evidence.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on labeled image data and standardization.""}]}";sphere;1;1;1;1;0;1;0;approved_classification_coordinate;true
23;T-DATA;Model-assisted image annotation;left;mechanism;fathomnet-2022-model-assisted-annotation;fathomnet-2022;fathomnet-2022-model-assisted-annotation;D1;M3;T-DATA;system_to_human;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;A0;provisional;"{""adaptability"":[{""location"":""Model demonstration"",""support"":""The deployed detector applies a trained model without described online adaptation.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""The model produces detections that reduce human annotation effort.""}],""delegation"":[{""location"":""Abstract"",""support"":""The system predicts labels while humans retain curation responsibility.""}],""display_type"":[{""location"":""Abstract"",""support"":""No single analytic display environment is specified for model inference.""}],""mediation"":[{""location"":""Abstract"",""support"":""The model assigns semantic classes to image regions.""}],""target"":[{""location"":""Abstract"",""support"":""The predictions create candidate image annotations.""}]}";sphere;1;1;1;1;1;3;0;approved_classification_coordinate;true
24;T-WORKFLOW;Robotic concept tracking;right;mechanism;fathomnet-2022-robotic-tracking;fathomnet-2022;fathomnet-2022-robotic-tracking;D2;M2;T-WORKFLOW;system_to_human;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;A1;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Tracking responds continuously to observed underwater concepts and vehicle context.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Automated tracking drives observation behavior when integrated with robotic vehicles.""}],""delegation"":[{""location"":""Abstract"",""support"":""The system initiates bounded local tracking actions within the observation objective.""}],""display_type"":[{""location"":""Abstract"",""support"":""The tracking mechanism has no specified analytic display environment.""}],""mediation"":[{""location"":""Abstract"",""support"":""The tracker prioritizes and maintains attention on detected underwater concepts.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism changes the observation and tracking process.""}]}";sphere;1;1;1;1;2;2;0;approved_classification_coordinate;true
25;unknown;Topic-model refinement exemplar;left;mechanism;holter-elassady-2024-topic-model-refinement;holter-elassady-2024;holter-elassady-2024-topic-model-refinement;unknown;unknown;unknown;bidirectional;VM-DESKTOP2D;IM-UNSPECIFIED;unknown;provisional;"{""agency_direction"":[{""location"":""Figure 1"",""support"":""The exemplar is explicitly described as mixed-initiative topic-model refinement.""}],""display_type"":[{""location"":""Figure 1"",""support"":""The exemplar is encoded in a desktop parallel-coordinates view.""}],""uncertainty"":[{""location"":""Paper scope"",""support"":""The conceptual paper does not provide enough system evidence here for D, M, Target, or adaptability.""}]}";cube;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
26;T-WORKFLOW;Mixed-initiative dialogue and control;right;mechanism;horvitz-1999-dialog-and-control;horvitz-1999;horvitz-1999-dialog-and-control;D1;M0;T-WORKFLOW;bidirectional;VM-DESKTOP2D;IM-POINTER_KEYBOARD|IM-SPEECH;A1;provisional;"{""adaptability"":[{""location"":""Multiple Interaction Modalities"",""support"":""Dialogue and dismissal behavior responds to confidence and user response.""}],""agency_direction"":[{""location"":""Multiple Interaction Modalities"",""support"":""The agent asks and the user accepts, rejects, invokes, or terminates service.""}],""delegation"":[{""location"":""Multiple Interaction Modalities"",""support"":""The system proposes service while the user retains the accept or reject decision.""}],""display_type"":[{""location"":""Multiple Interaction Modalities"",""support"":""The interaction is presented through a desktop interface and animated agent.""}],""interaction_modalities"":[{""location"":""Multiple Interaction Modalities"",""support"":""The paper explicitly describes speech plus mouse and keyboard operation.""}],""mediation"":[{""location"":""Multiple Interaction Modalities"",""support"":""This mechanism manages interaction rather than transforming analytic evidence.""}],""target"":[{""location"":""Multiple Interaction Modalities"",""support"":""The mechanism controls invocation and refinement within the workflow.""}]}";cube;1;1;1;1;1;0;0;approved_classification_coordinate;true
27;T-WORKFLOW;Email-to-appointment assistance;left;mechanism;horvitz-1999-email-to-appointment;horvitz-1999;horvitz-1999-email-to-appointment;D2;M3;T-WORKFLOW;bidirectional;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A1;provisional;"{""adaptability"":[{""location"":""Decision Making Under Uncertainty"",""support"":""Behavior changes with inferred user goals and message context.""}],""agency_direction"":[{""location"":""Lookout testbed"",""support"":""The system proposes editable appointment fields and the user refines or saves them.""}],""delegation"":[{""location"":""Decision Making Under Uncertainty"",""support"":""Lookout can choose a local scheduling action in automated-assistance mode.""}],""display_type"":[{""location"":""Multiple Interaction Modalities"",""support"":""Lookout is integrated with the desktop Outlook interface.""}],""interaction_modalities"":[{""location"":""Multiple Interaction Modalities"",""support"":""Users invoke and refine results with mouse and keyboard controls.""}],""mediation"":[{""location"":""Value-Added Service"",""support"":""The system interprets email text as date, time, and appointment content.""}],""target"":[{""location"":""Value-Added Service"",""support"":""The behavior constructs and advances a scheduling workflow.""}]}";cube;1;1;1;1;2;3;0;approved_classification_coordinate;true
28;T-WORKFLOW;Uncertainty-sensitive action selection;right;mechanism;horvitz-1999-uncertainty-sensitive-action;horvitz-1999;horvitz-1999-uncertainty-sensitive-action;D2;M2;T-WORKFLOW;system_to_human;VM-DESKTOP2D;IM-UNSPECIFIED;A2;provisional;"{""adaptability"":[{""location"":""Decision Making Under Uncertainty"",""support"":""A probabilistic classifier is trained by observing the user working with email.""}],""agency_direction"":[{""location"":""Decision Making Under Uncertainty"",""support"":""The system decides whether to wait, ask, or provide service.""}],""delegation"":[{""location"":""Decision Making Under Uncertainty"",""support"":""Lookout selects among bounded local actions without approval for each action.""}],""display_type"":[{""location"":""Multiple Interaction Modalities"",""support"":""The service appears in Outlook and the Windows system tray.""}],""mediation"":[{""location"":""Decision Making Under Uncertainty"",""support"":""The system prioritizes whether scheduling assistance should receive attention.""}],""target"":[{""location"":""Decision Making Under Uncertainty"",""support"":""The selected action changes the next step in the scheduling process.""}]}";cube;1;1;1;1;2;2;0;approved_classification_coordinate;true
29;T-DATA;Database-backed network generation;left;mechanism;icave-2017-database-network-generation;icave-2017;icave-2017-database-network-generation;D0;M1;T-DATA;human_to_system;VM-CAVE;IM-UNSPECIFIED;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Database query behavior is described as user-requested rather than adaptive.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Users query built-in databases or supply their own networks.""}],""delegation"":[{""location"":""Abstract"",""support"":""The human chooses the query and the system executes it.""}],""display_type"":[{""location"":""Abstract"",""support"":""Generated networks are explored in CAVE, stereoscopic, or desktop 3D views.""}],""mediation"":[{""location"":""Abstract"",""support"":""The mechanism assembles queried records into a network structure.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on data access and network generation.""}]}";octahedron;1;1;1;1;0;1;0;approved_classification_coordinate;true
30;T-VIEW;3D layout, clustering, and edge bundling;right;mechanism;icave-2017-layout-and-bundling;icave-2017;icave-2017-layout-and-bundling;D0;M1;T-VIEW;human_to_system;VM-CAVE;IM-TRACKED_CONTROLLER;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""The described algorithms execute selected layouts without user-specific adaptation.""}],""agency_direction"":[{""location"":""System description"",""support"":""Users choose network representations and the system computes the view.""}],""delegation"":[{""location"":""System description"",""support"":""The user selects the analytic operation and iCAVE executes it.""}],""display_type"":[{""location"":""Abstract"",""support"":""The paper explicitly supports immersive CAVE visualization, with desktop alternatives.""}],""interaction_modalities"":[{""location"":""System interaction"",""support"":""The immersive mode uses tracked controls for navigation and selection.""}],""mediation"":[{""location"":""Abstract"",""support"":""Layout, clustering, and edge bundling restructure how network evidence is encountered.""}],""target"":[{""location"":""Abstract"",""support"":""The algorithms directly act on spatial layout and visual organization.""}]}";octahedron;1;1;1;1;0;1;0;approved_classification_coordinate;true
31;unknown;Shared-task human/artificial agent construct;left;mechanism;monadjemi-et-al-2026-shared-task-agent;monadjemi-et-al-2026;monadjemi-et-al-2026-shared-task-agent;unknown;unknown;unknown;bidirectional;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;unknown;provisional;"{""agency_direction"":[{""location"":""Figure 1"",""support"":""Human and artificial agents both perceive and act on a shared visual-analytics task.""}],""display_type"":[{""location"":""Review scope"",""support"":""The integrated taxonomy spans systems and has no single display environment.""}],""uncertainty"":[{""location"":""Review scope"",""support"":""The review-level construct does not justify a single D, M, Target, or adaptability code.""}]}";sphere;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
32;T-DATA;Natural-language cohort code synthesis;right;mechanism;phenoflow-2025-cohort-code-synthesis;phenoflow-2025;phenoflow-2025-cohort-code-synthesis;D3;M1;T-DATA;bidirectional;VM-DESKTOP2D;IM-TYPED_NATURAL_LANGUAGE;A1;provisional;"{""adaptability"":[{""location"":""Abstract and Figure 1"",""support"":""Generated code changes with natural-language cohort definitions and iterative filtering.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Neurologists define the cohort and supervise LLM-generated outputs.""}],""delegation"":[{""location"":""Abstract"",""support"":""The human specifies a cohort subgoal and the LLM synthesizes executable operations to realize it.""}],""display_type"":[{""location"":""Figure 1"",""support"":""Cohort construction is integrated into a desktop visual-analytics interface.""}],""interaction_modalities"":[{""location"":""Abstract"",""support"":""Neurologists use natural-language interactions.""}],""mediation"":[{""location"":""Abstract"",""support"":""Generated code structures metadata into an executable cohort selection.""}],""target"":[{""location"":""Figure 1"",""support"":""The mechanism acts directly on cohort data construction and filtering.""}]}";cube;1;1;1;1;3;1;0;approved_classification_coordinate;true
33;T-KNOWLEDGE;Data-wrangler explanation and debugging;left;mechanism;phenoflow-2025-explanation-debugging;phenoflow-2025;phenoflow-2025-explanation-debugging;D1;M3;T-KNOWLEDGE;bidirectional;VM-DESKTOP2D;IM-TYPED_NATURAL_LANGUAGE|IM-POINTER_KEYBOARD;A1;provisional;"{""adaptability"":[{""location"":""Figure 1"",""support"":""Explanations update for the generated cohort logic under inspection.""}],""agency_direction"":[{""location"":""Abstract and Figure 1"",""support"":""The LLM explains while neurologists inspect, debug, and supervise its behavior.""}],""delegation"":[{""location"":""Figure 1"",""support"":""The system presents an explanation and the human decides how to debug or revise.""}],""display_type"":[{""location"":""Figure 1"",""support"":""Plain-language explanations and small multiples appear in the Visual Inspection View.""}],""interaction_modalities"":[{""location"":""Abstract"",""support"":""Natural-language interaction is part of supervision.""}],""mediation"":[{""location"":""Figure 1"",""support"":""The explanation makes a semantic claim about the LLM data wrangler's behavior.""}],""target"":[{""location"":""Figure 1"",""support"":""The mechanism supports understanding and debugging model behavior.""}]}";cube;1;1;1;1;1;3;0;approved_classification_coordinate;true
34;T-VIEW;Temporal folding and trajectory visualization;right;mechanism;phenoflow-2025-temporal-visualization;phenoflow-2025;phenoflow-2025-temporal-visualization;D0;M1;T-VIEW;human_to_system;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Temporal folding is a defined visual transformation rather than learned adaptation.""}],""agency_direction"":[{""location"":""Figure 1"",""support"":""Neurologists select patients and inspect requested trajectory views.""}],""delegation"":[{""location"":""Figure 1"",""support"":""The human requests the view and the system executes the temporal transformation.""}],""display_type"":[{""location"":""Figure 1"",""support"":""Linear bars and slice-and-wrap graphics are presented in a desktop interface.""}],""interaction_modalities"":[{""location"":""Figure 1"",""support"":""The visual interface uses conventional graphical inspection controls.""}],""mediation"":[{""location"":""Abstract"",""support"":""Temporal folding restructures irregular blood-pressure evidence to reveal patterns.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on visual encoding of individual trajectories.""}]}";cube;1;1;1;1;0;1;0;approved_classification_coordinate;true
35;T-KNOWLEDGE;Visualization-usage categorization;left;mechanism;wang-et-al-2025-categorization;wang-et-al-2025;wang-et-al-2025-categorization;D0;M3;T-KNOWLEDGE;bidirectional;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Categorization is a fixed LLM subtask rather than an adaptive service.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Human checkpoints validate categorization outputs.""}],""delegation"":[{""location"":""Abstract"",""support"":""The workflow assigns a specific categorization operation to the LLM.""}],""display_type"":[{""location"":""Workflow description"",""support"":""No single display environment is specified for categorization.""}],""mediation"":[{""location"":""Abstract"",""support"":""The LLM assigns semantic categories to standardized task descriptions.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on interpretation and organization of analytic knowledge.""}]}";sphere;1;1;1;1;0;3;0;approved_classification_coordinate;true
36;T-KNOWLEDGE;Domain-task summarization;right;mechanism;wang-et-al-2025-task-summarization;wang-et-al-2025;wang-et-al-2025-task-summarization;D0;M3;T-KNOWLEDGE;bidirectional;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Task summarization is one fixed subtask in the multi-step workflow.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Human checkpoints validate and refine LLM results.""}],""delegation"":[{""location"":""Abstract"",""support"":""The workflow assigns a specific summarization operation to the LLM.""}],""display_type"":[{""location"":""Workflow description"",""support"":""No single display environment is specified for summarization.""}],""mediation"":[{""location"":""Abstract"",""support"":""The LLM produces semantic summaries of domain analysis tasks.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on interpretation of analysis activity.""}]}";sphere;1;1;1;1;0;3;0;approved_classification_coordinate;true
