label;Anatomy;DegreeRange;region_name;hemisphere
173;Q9H9Z2;0-200;LN28A_HUMAN;left
174;P20962;0-200;PTMS_HUMAN;left
175;Q13356;0-200;PPIL2_HUMAN;left
176;P11586;0-200;C1TC_HUMAN;left
177;P29966;0-200;MARCS_HUMAN;left
178;Q1KMD3;0-200;HNRL2_HUMAN;left
179;Q13751;0-200;LAMB3_HUMAN;left
180;Q9UHB6;0-200;LIMA1_HUMAN;left
181;O95425;0-200;SVIL_HUMAN;left
182;Q8WUB8;0-200;PHF10_HUMAN;left
183;Q52LJ0;0-200;FA98B_HUMAN;left
184;Q9P278;0-200;FNIP2_HUMAN;left
185;Q9NW13;0-200;RBM28_HUMAN;left
186;Q9P260;0-200;RELCH_HUMAN;left
187;O43272;0-200;PROD_HUMAN;left
188;Q8WUY3;0-200;PRUN2_HUMAN;left
189;Q9HCS7;0-200;SYF1_HUMAN;left
190;P49458;0-200;SRP09_HUMAN;left
191;Q9NVM6;0-200;DJC17_HUMAN;left
192;Q9UHV9;0-200;PFD2_HUMAN;left
193;O94906;0-200;PRP6_HUMAN;left
194;Q86Y79;0-200;PTH_HUMAN;left
195;Q9NR33;0-200;DPOE4_HUMAN;left
196;P35232;0-200;PHB_HUMAN;left
197;Q9BUK6;0-200;MSTO1_HUMAN;left
198;O15020;0-200;SPTN2_HUMAN;left
199;O75717;0-200;WDHD1_HUMAN;left
200;Q08379;0-200;GOGA2_HUMAN;left
201;P78318;0-200;IGBP1_HUMAN;left
202;P33176;200-250;KINH_HUMAN;left
203;O60524;200-250;NEMF_HUMAN;left
204;Q9C0C2;200-250;TB182_HUMAN;left
205;Q9H6R3;200-250;ACSS3_HUMAN;left
206;P49327;200-250;FAS_HUMAN;left
207;Q9GZU2;200-250;PEG3_HUMAN;left
208;Q9NS91;200-250;RAD18_HUMAN;left
209;O76021;200-250;RL1D1_HUMAN;left
210;P35606;200-250;COPB2_HUMAN;left
211;Q14676;200-250;MDC1_HUMAN;left
212;P53985;200-250;MOT1_HUMAN;left
213;Q14978;200-250;NOLC1_HUMAN;left
214;Q9BY42;200-250;RTF2_HUMAN;left
215;Q9P032;200-250;NDUF4_HUMAN;left
216;Q9GZS1;200-250;RPA49_HUMAN;left
217;Q9UI15;200-250;TAGL3_HUMAN;left
218;Q9UDT6;200-250;CLIP2_HUMAN;left
219;Q4KMQ1;200-250;TPRN_HUMAN;left
220;Q10471;200-250;GALT2_HUMAN;left
221;Q7Z4V5;200-250;HDGR2_HUMAN;left
222;Q9NVZ3;200-250;NECP2_HUMAN;left
223;P27708;200-250;PYR1_HUMAN;left
224;P31483;200-250;TIA1_HUMAN;left
225;P62258;200-250;1433E_HUMAN;left
226;Q6UWE0;200-250;LRSM1_HUMAN;left
227;Q13439;200-250;GOGA4_HUMAN;left
228;P49257;200-250;LMAN1_HUMAN;left
229;Q969H8;200-250;MYDGF_HUMAN;left
230;P50416;200-250;CPT1A_HUMAN;left
231;O00273;200-250;DFFA_HUMAN;left
232;Q9UQ35;200-250;SRRM2_HUMAN;left
233;P31040;200-250;SDHA_HUMAN;left
234;Q08380;200-250;LG3BP_HUMAN;left
235;Q9UID3;200-250;VPS51_HUMAN;left
236;Q5JTZ9;200-250;SYAM_HUMAN;left
237;Q8WUM0;200-250;NU133_HUMAN;left
238;P10636;200-250;TAU_HUMAN;left
239;Q92667;200-250;AKAP1_HUMAN;left
240;P05091;200-250;ALDH2_HUMAN;left
241;Q9UBI1;200-250;COMD3_HUMAN;left
242;Q86XP3;200-250;DDX42_HUMAN;left
243;Q13123;200-250;RED_HUMAN;left
244;Q96CT7;200-250;CC124_HUMAN;left
245;Q9UKD2;200-250;MRT4_HUMAN;left
246;P19623;200-250;SPEE_HUMAN;left
247;P26006;200-250;ITA3_HUMAN;left
248;Q92925;200-250;SMRD2_HUMAN;left
249;A6NCS6;200-250;CB072_HUMAN;left
250;A4D1S0;200-250;KLRG2_HUMAN;left
251;O75175;200-250;CNOT3_HUMAN;left
252;Q9Y4K1;250-350;CRBG1_HUMAN;left
253;P46379;250-350;BAG6_HUMAN;left
254;Q9NSD9;250-350;SYFB_HUMAN;left
255;P52758;250-350;RIDA_HUMAN;left
256;Q9Y315;250-350;DEOC_HUMAN;left
257;Q86UP2;250-350;KTN1_HUMAN;left
258;P09758;250-350;TACD2_HUMAN;left
259;Q8TE68;250-350;ES8L1_HUMAN;left
260;Q99543;250-350;DNJC2_HUMAN;left
261;O60231;250-350;DHX16_HUMAN;left
262;Q9UHI6;250-350;DDX20_HUMAN;left
263;P22102;250-350;PUR2_HUMAN;left
264;Q0VDF9;250-350;HSP7E_HUMAN;left
265;Q9HC84;250-350;MUC5B_HUMAN;left
266;P56182;250-350;RRP1_HUMAN;left
267;Q9H4A6;250-350;GOLP3_HUMAN;left
268;Q9C0H9;250-350;SRCN1_HUMAN;left
269;Q92499;250-350;DDX1_HUMAN;left
270;P46926;250-350;GNPI1_HUMAN;left
271;Q8IYS2;250-350;K2013_HUMAN;left
272;Q14761;250-350;PTCA_HUMAN;left
273;Q8N1G4;250-350;LRC47_HUMAN;left
274;P28838;250-350;AMPL_HUMAN;left
275;Q99459;250-350;CDC5L_HUMAN;left
276;P30566;250-350;PUR8_HUMAN;left
277;P47736;250-350;RPGP1_HUMAN;left
278;Q9Y2S6;250-350;TMA7_HUMAN;left
279;O75533;250-350;SF3B1_HUMAN;left
280;P11474;250-350;ERR1_HUMAN;left
281;Q68DC2;250-350;ANKS6_HUMAN;left
282;P39059;250-350;COFA1_HUMAN;left
283;Q8IUD2;250-350;RB6I2_HUMAN;left
284;Q9BW92;250-350;SYTM_HUMAN;left
285;Q15785;250-350;TOM34_HUMAN;left
286;Q96KM6;250-350;Z512B_HUMAN;left
287;Q9BQ69;250-350;MACD1_HUMAN;left
288;P20618;250-350;PSB1_HUMAN;left
289;P27694;250-350;RFA1_HUMAN;left
290;P82970;250-350;HMGN5_HUMAN;left
291;O75369;250-350;FLNB_HUMAN;left
292;Q5T653;250-350;RM02_HUMAN;left
293;Q8N5M9;250-350;JAGN1_HUMAN;left
294;P10586;250-350;PTPRF_HUMAN;left
295;Q14974;250-350;IMB1_HUMAN;left
296;P05386;250-350;RLA1_HUMAN;left
297;Q96SB3;250-350;NEB2_HUMAN;left
298;P98160;250-350;PGBM_HUMAN;left
299;Q9Y230;250-350;RUVB2_HUMAN;left
300;Q9H0N5;250-350;PHS2_HUMAN;left
301;P33316;250-350;DUT_HUMAN;left
302;Q5JSZ5;250-350;PRC2B_HUMAN;left
303;Q8TEX9;250-350;IPO4_HUMAN;left
304;P13591;250-350;NCAM1_HUMAN;left
305;Q8WZA9;250-350;IRGQ_HUMAN;left
306;Q15833;250-350;STXB2_HUMAN;left
307;O43795;250-350;MYO1B_HUMAN;left
308;Q9UQ80;250-350;PA2G4_HUMAN;left
309;O95613;250-350;PCNT_HUMAN;left
310;P78371;250-350;TCPB_HUMAN;left
311;P04049;250-350;RAF1_HUMAN;left
312;Q5JWF2;250-350;GNAS1_HUMAN;left
313;P61764;250-350;STXB1_HUMAN;left
314;Q92754;250-350;AP2C_HUMAN;left
315;Q2TAY7;250-350;SMU1_HUMAN;left
316;Q96PK6;250-350;RBM14_HUMAN;left
317;Q96RK0;250-350;CIC_HUMAN;left
318;Q92804;250-350;RBP56_HUMAN;left
319;P35637;250-350;FUS_HUMAN;left
320;Q9UHB9;250-350;SRP68_HUMAN;left
321;Q8NB49;250-350;AT11C_HUMAN;left
322;P11388;250-350;TOP2A_HUMAN;left
323;Q9Y2W6;250-350;TDRKH_HUMAN;left
324;Q9H336;250-350;CRLD1_HUMAN;left
325;O43432;250-350;IF4G3_HUMAN;left
326;Q15075;250-350;EEA1_HUMAN;left
327;O14744;250-350;ANM5_HUMAN;left
328;Q01664;250-350;TFAP4_HUMAN;left
329;Q02318;250-350;CP27A_HUMAN;left
330;Q9NQG6;250-350;MID51_HUMAN;left
331;P04114;250-350;APOB_HUMAN;left
332;O60645;250-350;EXOC3_HUMAN;left
333;Q8TEW0;250-350;PARD3_HUMAN;left
334;Q7Z3J2;250-350;VP35L_HUMAN;left
335;P22234;250-350;PUR6_HUMAN;left
336;Q969Q5;250-350;RAB24_HUMAN;left
337;P61970;250-350;NTF2_HUMAN;left
338;O00339;250-350;MATN2_HUMAN;left
339;Q6YN16;250-350;HSDL2_HUMAN;left
340;P42285;250-350;MTREX_HUMAN;left
341;Q14643;250-350;ITPR1_HUMAN;left
342;Q06323;250-350;PSME1_HUMAN;left
343;Q8NCB2;250-350;CAMKV_HUMAN;left
344;Q02790;250-350;FKBP4_HUMAN;left
345;P62913;250-350;RL11_HUMAN;left
346;A6NKD9;250-350;CC85C_HUMAN;left
347;Q69YQ0;250-350;CYTSA_HUMAN;left
348;Q9HA77;250-350;SYCM_HUMAN;left
349;Q9HC35;250-350;EMAL4_HUMAN;left
350;Q32P44;250-350;EMAL3_HUMAN;left
351;Q96SY0;250-350;INT14_HUMAN;left
352;Q14195;350-450;DPYL3_HUMAN;left
353;Q16555;350-450;DPYL2_HUMAN;left
354;P24941;350-450;CDK2_HUMAN;left
355;Q8IVF2;350-450;AHNK2_HUMAN;left
356;Q9Y240;350-450;CLC11_HUMAN;left
357;P54920;350-450;SNAA_HUMAN;left
358;Q9H115;350-450;SNAB_HUMAN;left
359;A7MBM2;350-450;DISP2_HUMAN;left
360;Q68EM7;350-450;RHG17_HUMAN;left
361;P15428;350-450;PGDH_HUMAN;left
362;P09417;350-450;DHPR_HUMAN;left
363;Q53EL6;350-450;PDCD4_HUMAN;left
364;Q8NFW8;350-450;NEUA_HUMAN;left
365;Q86UK7;350-450;ZN598_HUMAN;left
366;P34897;350-450;GLYM_HUMAN;left
367;O15061;350-450;SYNEM_HUMAN;left
368;Q12788;350-450;TBL3_HUMAN;left
369;Q92879;350-450;CELF1_HUMAN;left
370;P52815;350-450;RM12_HUMAN;left
371;P08727;350-450;K1C19_HUMAN;left
372;Q96FS4;350-450;SIPA1_HUMAN;left
373;Q92922;350-450;SMRC1_HUMAN;left
374;Q96CW5;350-450;GCP3_HUMAN;left
375;P12081;350-450;HARS1_HUMAN;left
376;Q9H0D6;350-450;XRN2_HUMAN;left
377;P78549;350-450;NTH_HUMAN;left
378;Q9NRV9;350-450;HEBP1_HUMAN;left
379;Q9H7J1;350-450;PPR3E_HUMAN;left
380;P09601;350-450;HMOX1_HUMAN;left
381;Q92797;350-450;SYMPK_HUMAN;left
382;Q6PUV4;350-450;CPLX2_HUMAN;left
383;Q14134;350-450;TRI29_HUMAN;left
384;Q14168;350-450;MPP2_HUMAN;left
385;O14578;350-450;CTRO_HUMAN;left
386;O75643;350-450;U520_HUMAN;left
387;Q9BRX8;350-450;PXL2A_HUMAN;left
388;Q99707;350-450;METH_HUMAN;left
389;Q12872;350-450;SFSWA_HUMAN;left
390;Q96GD0;350-450;PLPP_HUMAN;left
391;P42684;350-450;ABL2_HUMAN;left
392;Q92932;350-450;PTPR2_HUMAN;left
393;P11172;350-450;UMPS_HUMAN;left
394;P14317;350-450;HCLS1_HUMAN;left
395;Q9UIF9;350-450;BAZ2A_HUMAN;left
396;P49788;350-450;TIG1_HUMAN;left
397;P41227;350-450;NAA10_HUMAN;left
398;Q86V59;350-450;PNM8A_HUMAN;left
399;Q9Y5V0;350-450;ZN706_HUMAN;left
400;Q3KQV9;350-450;UAP1L_HUMAN;left
401;O00401;350-450;WASL_HUMAN;left
402;Q9C0C9;350-450;UBE2O_HUMAN;left
403;Q96EV2;350-450;RBM33_HUMAN;left
404;Q13813;350-450;SPTN1_HUMAN;left
405;Q92616;350-450;GCN1_HUMAN;left
406;P50914;350-450;RL14_HUMAN;left
407;Q92974;350-450;ARHG2_HUMAN;left
408;P08476;350-450;INHBA_HUMAN;left
409;Q9Y613;350-450;FHOD1_HUMAN;left
410;P07814;350-450;SYEP_HUMAN;left
411;Q6PGP7;350-450;TTC37_HUMAN;left
412;Q99959;350-450;PKP2_HUMAN;left
413;Q8IZ83;350-450;A16A1_HUMAN;left
414;Q3ZAQ7;350-450;VMA21_HUMAN;left
415;O95602;350-450;RPA1_HUMAN;left
416;Q8IUC4;350-450;RHPN2_HUMAN;left
417;P12821;350-450;ACE_HUMAN;left
418;Q13217;350-450;DNJC3_HUMAN;left
419;Q99988;350-450;GDF15_HUMAN;left
420;O95490;350-450;AGRL2_HUMAN;left
421;Q7Z6Z7;350-450;HUWE1_HUMAN;left
422;Q92481;350-450;AP2B_HUMAN;left
423;Q9H3S7;350-450;PTN23_HUMAN;left
424;O00139;350-450;KIF2A_HUMAN;left
425;Q9H773;350-450;DCTP1_HUMAN;left
426;P50583;350-450;AP4A_HUMAN;left
427;P62851;350-450;RS25_HUMAN;left
428;Q9H9Y6;350-450;RPA2_HUMAN;left
429;Q03001;350-450;DYST_HUMAN;left
430;O96013;350-450;PAK4_HUMAN;left
431;Q9H2Y7;350-450;ZN106_HUMAN;left
432;P53041;350-450;PPP5_HUMAN;left
433;Q8IZA0;350-450;K319L_HUMAN;left
434;Q9UNQ2;350-450;DIM1_HUMAN;left
435;P78527;350-450;PRKDC_HUMAN;left
436;O95831;350-450;AIFM1_HUMAN;left
437;Q04637;350-450;IF4G1_HUMAN;left
438;Q13362;350-450;2A5G_HUMAN;left
439;Q07954;350-450;LRP1_HUMAN;left
440;P61201;350-450;CSN2_HUMAN;left
441;Q6Y7W6;350-450;GGYF2_HUMAN;left
442;Q8N4F0;350-450;BPIB2_HUMAN;left
443;P55084;350-450;ECHB_HUMAN;left
444;Q9BUE6;350-450;ISCA1_HUMAN;left
445;Q9BS40;350-450;LXN_HUMAN;left
446;Q9BUF5;350-450;TBB6_HUMAN;left
447;Q14194;350-450;DPYL1_HUMAN;left
448;Q9BPU6;350-450;DPYL5_HUMAN;left
449;Q96L73;350-450;NSD1_HUMAN;left
450;O76024;350-450;WFS1_HUMAN;left
451;P54886;350-450;P5CS_HUMAN;left
452;Q9UJX2;450-550;CDC23_HUMAN;left
453;Q9HBH0;450-550;RHOF_HUMAN;left
454;Q86UY6;450-550;NAA40_HUMAN;left
455;Q16891;450-550;MIC60_HUMAN;left
456;P35222;450-550;CTNB1_HUMAN;left
457;Q8IZ69;450-550;TRM2A_HUMAN;left
458;Q96DX7;450-550;TRI44_HUMAN;left
459;P14923;450-550;PLAK_HUMAN;left
460;P04083;450-550;ANXA1_HUMAN;left
461;Q9BTW9;450-550;TBCD_HUMAN;left
462;P01019;450-550;ANGT_HUMAN;left
463;Q8NE71;450-550;ABCF1_HUMAN;left
464;Q9NYL9;450-550;TMOD3_HUMAN;left
465;P42765;450-550;THIM_HUMAN;left
466;Q13449;450-550;LSAMP_HUMAN;left
467;P25787;450-550;PSA2_HUMAN;left
468;P08631;450-550;HCK_HUMAN;left
469;P06239;450-550;LCK_HUMAN;left
470;Q8NEZ5;450-550;FBX22_HUMAN;left
471;P55899;450-550;FCGRN_HUMAN;left
472;Q8WXI9;450-550;P66B_HUMAN;left
473;P26012;450-550;ITB8_HUMAN;left
474;P46063;450-550;RECQ1_HUMAN;left
475;P08574;450-550;CY1_HUMAN;left
476;Q9BV44;450-550;THUM3_HUMAN;left
477;Q9C0H2;450-550;TTYH3_HUMAN;left
478;Q8IY81;450-550;SPB1_HUMAN;left
479;Q9Y4L1;450-550;HYOU1_HUMAN;left
480;P50750;450-550;CDK9_HUMAN;left
481;Q9Y6E0;450-550;STK24_HUMAN;left
482;P07948;450-550;LYN_HUMAN;left
483;O75489;450-550;NDUS3_HUMAN;left
484;P17676;450-550;CEBPB_HUMAN;left
485;Q96JN8;450-550;NEUL4_HUMAN;left
486;Q9UPW6;450-550;SATB2_HUMAN;left
487;Q9UBP6;450-550;TRMB_HUMAN;left
488;Q13428;450-550;TCOF_HUMAN;left
489;Q8NF37;450-550;PCAT1_HUMAN;left
490;Q9UKV3;450-550;ACINU_HUMAN;left
491;Q9UHJ6;450-550;SHPK_HUMAN;left
492;Q99856;450-550;ARI3A_HUMAN;left
493;Q96GQ7;450-550;DDX27_HUMAN;left
494;Q9Y639;450-550;NPTN_HUMAN;left
495;P51843;450-550;NR0B1_HUMAN;left
496;P31146;450-550;COR1A_HUMAN;left
497;Q96TA1;450-550;NIBA2_HUMAN;left
498;Q92947;450-550;GCDH_HUMAN;left
499;Q15181;450-550;IPYR_HUMAN;left
500;Q15233;450-550;NONO_HUMAN;left
501;Q5K4L6;450-550;S27A3_HUMAN;left
502;P35658;450-550;NU214_HUMAN;left
503;P39656;450-550;OST48_HUMAN;left
504;Q15120;450-550;PDK3_HUMAN;left
505;P85298;450-550;RHG08_HUMAN;left
506;P12111;450-550;CO6A3_HUMAN;left
507;Q5T6F2;450-550;UBAP2_HUMAN;left
508;Q7L2J0;450-550;MEPCE_HUMAN;left
509;O75694;450-550;NU155_HUMAN;left
510;Q9HCB6;450-550;SPON1_HUMAN;left
511;Q96CF2;450-550;CHM4C_HUMAN;left
512;Q9BRP8;450-550;PYM1_HUMAN;left
513;P20248;450-550;CCNA2_HUMAN;left
514;P18583;450-550;SON_HUMAN;left
515;Q9BUL5;450-550;PHF23_HUMAN;left
516;P41440;450-550;S19A1_HUMAN;left
517;P11274;450-550;BCR_HUMAN;left
518;P37837;450-550;TALDO_HUMAN;left
519;P06132;450-550;DCUP_HUMAN;left
520;P62995;450-550;TRA2B_HUMAN;left
521;P04075;450-550;ALDOA_HUMAN;left
522;P56693;450-550;SOX10_HUMAN;left
523;O75449;450-550;KTNA1_HUMAN;left
524;Q16134;450-550;ETFD_HUMAN;left
525;P62910;450-550;RL32_HUMAN;left
526;Q2TB90;450-550;HKDC1_HUMAN;left
527;P19367;450-550;HXK1_HUMAN;left
528;P52789;450-550;HXK2_HUMAN;left
529;P55268;450-550;LAMB2_HUMAN;left
530;Q9UPY3;450-550;DICER_HUMAN;left
531;Q9NZL4;450-550;HPBP1_HUMAN;left
532;Q96D71;450-550;REPS1_HUMAN;left
533;P43353;450-550;AL3B1_HUMAN;left
534;P23610;450-550;HAP40_HUMAN;left
535;Q969V3;450-550;NCLN_HUMAN;left
536;O14492;450-550;SH2B2_HUMAN;left
537;Q99623;450-550;PHB2_HUMAN;left
538;P07942;450-550;LAMB1_HUMAN;left
539;Q9Y5F8;450-550;PCDGJ_HUMAN;left
540;Q96B54;450-550;ZN428_HUMAN;left
541;P48729;450-550;KC1A_HUMAN;left
542;Q86U86;450-550;PB1_HUMAN;left
543;Q96A26;450-550;F162A_HUMAN;left
544;P35914;450-550;HMGCL_HUMAN;left
545;Q13444;450-550;ADA15_HUMAN;left
546;P46459;450-550;NSF_HUMAN;left
547;O94915;450-550;FRYL_HUMAN;left
548;Q6NXR4;450-550;TTI2_HUMAN;left
549;Q96I24;450-550;FUBP3_HUMAN;left
550;O96011;450-550;PX11B_HUMAN;left
551;Q9NQ88;450-550;TIGAR_HUMAN;left
552;P23588;550-700;IF4B_HUMAN;left
553;P00352;550-700;AL1A1_HUMAN;left
554;Q9Y4F5;550-700;C170B_HUMAN;left
555;O00116;550-700;ADAS_HUMAN;left
556;O75367;550-700;H2AY_HUMAN;left
557;O00154;550-700;BACH_HUMAN;left
558;Q96HY6;550-700;DDRGK_HUMAN;left
