label,anatomy,,,FiredHeatmap,FiredFractionHeatmap,ElectricActivityHeatmap,InhibitionHeatmap,CalciumHeatmap,BackgroundActivityHeatmap,GrownAxonsHeatmap,GrownDendritesHeatmap,umap,,,UMAPClustering
34,88.734884,142.7216,86.243871,5,3,7,7,3,6,1,3,86.45003,91.89378,86.55917,22
35,88.657277,142.85565,86.325588,2,5,2,5,3,3,1,2,56.556694,114.20662,94.62464,19
36,88.553918,142.83514,86.233372,3,5,3,3,7,4,5,7,59.518223,91.36856,118.072624,28
37,88.719778,142.72676,86.379814,1,4,4,4,5,5,2,5,95.93456,101.36178,125.27008,2
38,88.698388,142.79715,86.4326,3,4,5,6,6,4,3,6,113.287155,87.43384,107.69154,29
39,88.728177,142.75537,86.269762,2,6,5,3,6,4,4,6,120.213394,89.64398,97.781975,29
40,88.627044,142.78196,86.413422,3,6,5,4,6,5,3,5,80.17349,136.68503,99.362144,30
41,85.554768,143.82509,86.991435,1,5,3,3,5,5,3,5,76.37288,114.88,66.24415,31
42,85.543448,143.81323,86.959646,2,5,4,3,6,7,4,6,92.8915,108.3511,133.59927,32
43,85.637364,143.88604,86.997386,4,6,2,5,6,6,4,6,116.39508,100.2665,81.43455,12
44,85.465209,143.92246,87.039219,1,3,3,3,3,5,1,5,92.89199,70.007545,94.80092,3
45,85.500182,143.77885,86.941686,2,7,3,4,6,4,4,6,74.500854,133.25497,88.23994,16
46,85.6274,143.91304,87.065428,3,5,4,4,6,5,3,6,90.60548,125.8242,96.51758,7
47,85.646,143.89188,87.027818,5,5,3,4,5,4,3,4,110.31621,124.558495,107.23617,33
48,85.582251,143.82667,87.050282,3,5,4,4,6,5,3,7,98.292625,123.57881,94.11475,7
49,85.616175,143.83348,86.956724,4,6,6,5,6,6,4,5,95.94504,76.65118,94.86073,3
50,85.50894,143.88625,87.038364,3,6,4,3,5,8,3,5,61.708115,113.63519,121.55723,5
51,83.807754,143.8909,84.768013,2,5,4,5,5,6,3,5,110.03358,83.014595,113.84006,34
52,83.855958,143.87562,84.739019,2,4,2,4,5,4,2,5,73.438286,96.72665,67.04874,35
53,83.882609,143.90501,84.735929,4,4,5,5,4,5,3,4,54.93389,90.93441,108.13133,17
54,83.865104,143.8945,84.731985,1,7,4,3,6,5,4,4,72.74974,125.378456,101.08903,36
55,83.817906,143.85761,84.819312,3,5,4,5,4,5,2,4,78.06955,134.66592,105.16313,30
56,83.768909,143.8863,84.669109,8,6,6,5,6,5,4,7,92.909584,89.55043,67.59188,13
57,83.723371,143.83305,84.707436,1,7,4,4,6,4,4,6,61.578003,99.14506,74.582306,27
58,83.816705,143.96103,84.76574,5,5,2,5,5,5,2,5,87.320015,67.819916,94.88532,11
59,83.761037,143.79583,84.811311,5,6,3,5,6,7,3,6,67.6064,115.81097,117.8705,5
60,83.732447,143.79187,84.794705,4,5,2,6,7,4,5,7,54.00672,85.1054,91.682556,18
61,83.172871,143.96709,81.67106,5,5,2,4,5,5,3,6,87.9055,107.05876,63.36565,35
62,83.089717,143.95001,81.6443,2,4,4,5,3,5,2,4,110.27811,109.675415,97.46614,37
63,83.217119,143.89981,81.613273,1,7,3,4,6,6,4,5,58.676987,99.32924,116.21181,28
64,83.15338,143.9403,81.61937,2,5,4,3,6,5,3,6,101.08716,132.502,102.942535,38
65,83.149908,144.05158,81.751577,4,3,2,5,5,3,2,8,78.290924,119.31319,126.194466,39
66,83.157021,144.05254,81.573898,3,6,4,5,7,6,4,6,88.464516,75.57156,115.97873,8
67,83.192624,144.02477,81.768943,2,5,3,5,4,5,2,4,92.67551,80.416275,109.12178,3
68,83.117675,144.01167,81.592605,4,6,5,4,6,6,4,5,73.86255,96.78384,64.05532,35
69,83.184631,143.96076,81.646384,4,6,5,3,5,5,3,5,66.090294,69.53391,104.90552,40
70,83.222762,144.05475,81.638399,6,4,5,6,3,6,1,3,69.9181,125.87161,76.71205,6
71,84.532234,145.02044,78.835115,1,7,5,3,7,4,6,5,66.28788,74.38771,88.15845,23
72,84.617207,145.09582,78.88141,5,6,6,7,5,2,3,4,84.434006,136.68861,102.30254,30
73,84.506399,145.00662,78.796376,4,6,7,5,5,6,4,6,101.392944,99.73235,72.96378,41
74,84.585423,145.04369,78.756569,3,7,4,6,7,5,5,7,102.679245,85.13984,96.353806,3
75,84.529931,144.99877,78.747739,2,6,5,5,5,6,4,4,115.50508,95.87598,78.854004,12
76,84.57275,144.93274,78.91438,3,4,3,5,5,5,2,5,86.70913,123.62784,85.70102,10
77,84.632047,145.08668,78.837573,2,6,3,5,5,6,3,4,60.381428,114.3259,83.359375,6
78,84.548792,145.07395,78.915155,4,5,4,4,5,6,3,5,111.47914,107.806854,88.21706,12
79,84.459706,145.01189,78.914381,4,5,6,4,4,5,2,4,84.74739,121.83335,75.53626,10
80,84.518261,144.94534,78.833359,5,6,2,7,6,5,4,7,76.82054,79.29784,93.87227,9
81,88.614214,143.9973,78.296026,5,7,5,4,6,7,4,4,96.09033,135.47849,104.71066,38
82,88.610601,144.0361,78.319462,4,5,4,4,4,4,2,4,66.61169,118.9818,77.06102,6
83,88.526683,144.08462,78.216782,1,4,3,3,5,5,3,5,93.64658,122.488754,112.07717,25
84,88.689954,143.99965,78.26801,2,5,6,3,5,5,2,4,95.58075,130.9557,111.40156,42
85,88.640714,144.02077,78.232281,1,5,3,5,4,6,2,5,79.03901,72.144615,98.310616,9
86,88.516661,143.98108,78.240716,5,4,4,5,4,3,2,7,51.356995,96.81497,85.34172,27
87,88.67897,143.98181,78.333417,3,5,4,6,7,5,4,8,63.144855,123.838,87.95028,6
88,88.629605,143.91028,78.345141,2,6,4,5,5,6,3,4,96.07318,133.5676,106.1835,38
89,88.698432,143.91116,78.269933,1,7,4,3,5,4,3,5,113.97867,116.905556,87.993484,43
90,88.594654,143.90029,78.3819,1,5,3,5,5,5,4,5,65.14378,125.66283,112.51476,5
91,91.473359,143.94186,79.645917,1,6,3,3,5,4,3,5,110.17691,86.892586,107.30206,29
92,91.456531,143.9886,79.698984,1,5,5,3,7,6,4,7,62.684097,82.841415,90.07606,18
93,91.508242,143.96352,79.734481,3,6,4,6,6,3,4,6,94.08169,128.87363,112.851776,25
94,91.39735,143.89931,79.705814,2,7,6,2,4,6,3,3,69.108826,91.62823,73.54753,27
95,91.550744,143.93081,79.726073,1,4,5,3,4,5,2,6,63.568043,107.42268,97.224846,17
96,91.562349,144.03692,79.563112,5,6,5,5,4,5,3,5,94.29193,106.874245,116.89526,2
97,91.424786,143.91444,79.726737,3,5,5,4,6,4,4,6,65.7148,98.969025,73.11777,27
98,91.560226,144.03208,79.589157,2,5,2,4,4,6,2,3,122.08419,115.18263,95.48126,33
99,91.393328,143.88983,79.671647,3,6,5,4,5,5,3,4,86.98518,85.76131,117.6934,8
100,91.567796,144.04105,79.734347,1,7,7,3,7,3,5,5,86.01662,130.4931,83.38425,16
101,93.211765,142.87634,81.846511,1,6,2,4,4,6,2,5,81.11664,125.52651,76.39756,10
102,93.162658,142.80076,81.899509,4,6,5,5,7,4,4,7,106.147736,96.23285,123.93807,2
103,93.269289,142.90113,81.756758,3,5,4,4,5,6,3,5,85.33177,116.54377,101.63904,36
104,93.172199,142.92809,81.867256,1,4,4,3,5,6,3,5,74.206055,123.89161,122.70633,39
105,93.141898,142.83666,81.934716,2,7,4,4,6,4,4,8,82.89536,117.091515,67.03942,31
106,93.212965,142.93215,81.88633,1,6,6,5,7,6,5,6,88.168495,129.0955,97.69794,36
107,93.127966,142.90653,81.775473,3,5,5,5,5,7,3,5,64.12716,109.5901,75.843765,27
108,93.141229,142.92676,81.852641,5,4,5,4,6,5,3,7,114.96429,122.09861,87.10309,43
109,93.234895,142.88761,81.839925,3,5,2,6,4,5,2,5,84.389145,75.46267,79.581436,26
110,93.206168,142.97578,81.901156,1,6,3,4,8,7,5,8,103.92803,83.27808,85.57133,15
111,93.846648,142.80015,84.943464,2,4,5,4,4,5,1,4,79.25178,128.22023,117.748146,39
112,93.767888,142.85857,85.01531,3,5,3,5,5,3,3,5,96.071335,75.46149,111.46377,44
113,93.843859,142.75739,84.901148,2,4,4,5,3,3,2,4,59.26525,117.43907,112.70337,5
114,93.784759,142.71015,85.040803,2,5,5,5,6,5,4,6,70.6068,91.43365,121.05407,21
115,93.884915,142.86837,85.018275,1,6,3,4,6,5,4,5,113.25293,92.01457,81.21318,12
116,93.933494,142.82279,85.010569,2,3,4,4,4,6,2,5,86.922264,122.45723,120.04437,39
117,93.86821,142.8498,84.848356,1,4,4,4,5,6,2,5,113.33681,119.28493,95.212616,33
118,93.889343,142.70109,85.027879,2,6,5,5,6,2,4,5,89.07958,79.16528,75.58106,26
119,93.90743,142.85213,84.903201,2,6,6,4,5,6,3,5,64.10144,123.43682,103.983116,19
120,93.884271,142.89815,84.857507,6,5,3,7,6,6,3,6,60.771378,82.38765,84.99658,23
121,92.376581,142.72487,88.794858,3,6,2,5,6,5,3,6,95.519104,70.214,108.59092,3
122,92.293006,142.76157,88.832996,2,4,3,3,5,6,3,6,80.63226,85.24571,127.870285,8
123,92.467907,142.79235,88.810377,2,3,5,4,4,5,2,6,56.468243,107.25274,95.770226,17
124,92.407904,142.66914,88.803608,2,5,3,3,5,4,3,6,61.80423,80.022316,105.85822,18
125,92.376992,142.77914,88.814667,2,4,2,3,3,4,2,5,88.15369,117.26276,122.89425,39
126,92.328096,142.66268,88.723691,5,6,3,7,9,7,7,9,57.874786,100.659424,97.07993,17
127,92.289909,142.71277,88.780333,2,8,3,6,8,6,6,7,58.770325,76.72263,89.76894,23
128,92.321923,142.72338,88.723363,2,4,3,4,4,5,2,7,63.99098,77.72839,93.60289,18
129,92.450363,142.65991,88.892295,3,4,4,4,5,5,3,6,62.252235,86.82488,81.95603,23
130,92.466809,142.70511,88.734692,4,5,5,4,5,5,3,7,75.96762,83.48118,69.77866,45
131,89.1595,142.71539,90.42283,1,5,4,3,4,5,2,6,101.592575,99.55689,66.36486,46
132,89.225643,142.81414,90.387618,1,4,4,4,5,5,3,8,66.58934,104.030754,121.707184,28
133,89.19856,142.71615,90.424376,3,4,3,7,4,6,2,5,52.861553,115.20584,96.197624,19
134,89.111905,142.75421,90.349025,1,3,3,4,5,3,2,6,108.2642,88.30095,122.6866,44
135,89.132479,142.76949,90.343077,1,5,3,6,4,5,2,4,63.73996,111.15246,122.4012,5
136,89.181275,142.78758,90.365574,4,5,4,4,5,5,3,5,84.35484,120.86765,103.00536,36
137,89.258041,142.74642,90.505607,2,8,4,4,6,3,4,3,60.542164,121.926285,105.64927,19
138,89.149469,142.7973,90.448471,3,4,3,5,6,3,3,8,111.54045,93.00256,120.76156,47
139,89.090499,142.70411,90.333088,3,4,3,4,4,4,2,5,103.768555,103.941284,119.10225,2
140,89.227741,142.68223,90.357623,4,6,3,4,6,5,4,6,78.56161,70.21303,107.236984,9
141,86.061731,142.72756,91.058181,2,4,3,3,6,5,3,7,52.672504,85.69888,94.09941,18
142,86.087003,142.78314,91.15358,1,5,5,2,5,6,2,5,73.33758,134.79657,93.59433,30
143,86.122668,142.81083,91.075264,3,4,3,4,5,4,2,7,107.10518,100.919464,124.4557,2
144,86.051545,142.69453,91.15761,2,4,4,3,4,4,3,4,87.92675,115.98122,113.09037,39
145,86.042695,142.81239,90.986512,1,7,4,3,7,6,5,6,85.58957,113.62227,131.23569,48
146,86.00293,142.71844,91.021493,3,3,4,5,5,5,3,6,82.000534,89.93942,92.151535,9
147,86.016928,142.68797,91.031904,1,7,3,5,4,4,3,2,101.13521,99.6004,127.546074,2
148,86.139776,142.73739,90.990168,4,3,4,4,4,5,2,6,57.03541,120.25738,113.653885,5
149,86.01419,142.76882,91.124443,1,6,5,2,6,5,4,6,100.786674,121.90055,79.82771,49
150,86.087262,142.69265,91.007444,1,7,2,4,6,4,5,6,82.49632,95.06616,123.117966,21
151,82.218375,143.79397,89.612028,3,6,4,4,8,4,7,8,95.74916,92.40113,81.09608,41
152,82.23679,143.7427,89.6023,3,5,4,3,5,6,3,6,83.4853,108.859695,119.48862,21
153,82.307466,143.8907,89.550532,4,6,4,4,7,5,4,7,112.991554,115.736694,96.410995,33
154,82.316792,143.79158,89.601059,3,6,5,5,6,5,4,6,85.226585,99.53099,62.952126,35
155,82.172144,143.82336,89.646829,1,6,3,3,6,8,4,6,87.11318,98.57438,69.78663,35
156,82.258102,143.75566,89.518144,4,8,5,4,7,7,5,7,99.024796,124.432106,79.86955,49
157,82.282676,143.73766,89.576301,3,6,4,4,6,5,4,6,66.88682,131.78363,89.35544,50
158,82.229845,143.87272,89.588455,1,4,7,4,3,5,1,3,93.93671,71.63249,103.15494,3
159,82.268506,143.86396,89.656669,2,4,4,5,6,5,3,7,64.2861,130.00513,99.20086,51
160,82.140948,143.7487,89.537457,1,4,6,2,5,7,3,5,110.908066,118.188286,115.748604,52
161,80.471361,143.85979,87.388606,3,7,5,5,6,4,4,7,121.56513,97.47723,94.60149,37
162,80.408981,143.93048,87.395905,1,5,5,3,5,6,3,6,83.04346,133.90578,109.47647,30
163,80.373332,143.94242,87.363779,3,5,4,3,5,5,2,5,80.07488,95.3749,110.463905,21
164,80.539422,143.79651,87.475149,4,5,2,5,5,3,3,5,61.192757,103.25116,79.16617,27
165,80.472764,143.86552,87.403727,1,6,4,5,6,5,4,7,97.63576,135.6828,105.18876,38
166,80.535297,143.84709,87.306958,2,5,5,3,6,6,4,7,63.96171,106.710594,119.30261,28
167,80.479202,143.78485,87.329407,2,4,5,5,4,5,2,4,98.18974,107.33436,68.25899,46
168,80.485621,143.94401,87.408082,2,5,4,4,5,4,2,5,115.708984,119.36866,96.634995,33
169,80.423967,143.91214,87.422875,1,5,4,4,5,4,3,5,79.46773,85.19665,84.68318,26
170,80.562884,143.95909,87.307464,5,6,3,5,6,5,5,5,109.50775,108.28239,123.63202,2
171,78.971579,144.96858,83.20277,2,3,6,4,5,6,2,6,77.432816,98.68198,132.9623,53
172,78.918145,144.99769,83.178022,1,6,4,5,6,3,4,5,119.34307,95.222946,107.95206,37
173,78.918603,144.97889,83.207783,2,4,4,5,4,5,2,4,105.15664,80.804855,89.69231,15
174,79.025652,144.95052,83.213156,1,6,6,3,6,6,3,5,99.74175,74.920135,107.795364,3
175,78.919478,145.02231,83.217243,5,4,5,5,5,7,2,4,79.829704,100.92033,78.866005,22
176,79.046414,145.06398,83.264778,1,6,4,5,6,4,4,5,63.838863,118.27585,99.72289,19
177,78.936317,144.8978,83.220107,1,7,4,3,6,6,3,4,58.010937,90.836395,119.79272,28
178,79.066975,145.06631,83.122328,3,6,3,5,6,6,3,6,54.418102,100.04917,82.662674,27
179,79.002704,145.01037,83.229436,5,7,2,6,5,6,3,5,91.48659,65.770454,94.66785,54
180,79.055717,144.9467,83.13472,2,5,2,5,4,4,2,4,58.52018,117.21699,107.225815,19
181,79.329515,145.0335,80.224907,5,2,3,4,2,4,1,4,98.904816,119.963196,70.80203,49
182,79.36904,145.00837,80.141933,5,4,3,5,5,6,3,6,79.73285,75.01018,120.38782,8
183,79.420652,145.07414,80.151887,4,5,3,6,6,5,3,7,57.130413,98.35965,111.82086,28
184,79.265653,144.9778,80.134146,2,5,2,5,5,8,2,5,80.28054,114.65129,133.50821,48
185,79.289725,145.01163,80.185443,3,3,4,3,2,5,1,3,83.11955,137.73601,97.75911,30
186,79.386964,144.93652,80.313627,3,5,3,6,5,7,3,6,100.42098,109.68827,80.09631,41
187,79.242324,144.94385,80.163224,5,5,3,4,3,5,1,4,87.84347,137.84682,95.690384,30
188,79.41092,145.04285,80.323032,2,7,5,4,5,7,3,4,69.50229,78.600075,86.59581,23
189,79.392218,145.00003,80.303653,1,5,4,4,5,5,3,7,101.22814,97.1846,82.247986,41
190,79.366081,145.01132,80.268188,1,6,5,4,6,6,4,6,71.099884,119.37039,74.9358,10
191,81.673089,145.07588,77.485224,5,6,3,5,6,4,4,4,82.51749,66.805176,110.6714,55
192,81.766623,145.07906,77.418006,6,5,3,5,6,5,4,7,52.59868,120.45653,100.932724,19
193,81.659725,144.99626,77.437671,1,6,3,4,6,6,4,6,83.57841,128.71739,108.21297,36
194,81.579799,145.02212,77.501249,4,4,4,4,5,4,3,6,69.61327,128.4604,117.12334,5
195,81.607776,145.04043,77.446603,2,8,4,4,6,4,5,5,75.51601,113.251175,123.07198,39
196,81.591582,145.0563,77.559733,2,5,6,4,6,4,3,5,65.15283,119.03873,103.12797,19
197,81.713437,145.14523,77.429945,5,5,3,5,6,5,3,7,66.45001,73.24139,104.09908,18
198,81.607402,144.99432,77.459486,2,5,6,5,7,5,6,8,108.48031,80.54626,97.35361,3
199,81.71082,145.11434,77.551684,4,5,3,6,4,5,2,4,95.71741,117.86961,125.70299,25
200,81.663431,145.11546,77.390895,5,6,4,5,6,5,4,7,86.35418,109.4821,132.08575,53
201,85.009482,145.10699,74.864631,2,6,3,6,6,5,4,7,82.789604,132.77913,85.02456,16
202,84.950395,145.17435,74.868521,1,5,3,4,4,3,2,4,93.43678,101.26857,132.07819,32
203,85.015243,145.06909,74.868799,2,4,5,3,5,5,3,6,93.6282,94.27033,107.49058,56
204,85.077927,145.04837,74.943031,4,6,4,5,5,6,3,6,59.102234,107.76576,75.859215,27
205,84.939368,145.04552,74.950156,1,5,3,5,4,5,2,5,55.661972,106.297035,105.3734,17
206,84.966658,145.14458,74.90295,1,5,3,4,6,4,4,5,70.43437,104.363495,68.472336,35
207,85.074487,145.06062,74.906242,2,7,5,4,8,4,5,8,67.526184,108.173706,71.275856,27
208,84.977439,145.2001,74.936319,3,5,3,6,6,4,3,7,73.70989,92.94685,74.23898,22
209,84.998059,145.0958,74.919235,3,4,4,5,4,5,2,5,93.27828,80.005844,81.60736,15
210,85.023987,145.05264,74.871298,3,5,4,5,6,6,4,7,108.59528,88.08053,95.86178,3
211,88.107251,145.09483,74.22928,3,6,2,4,5,6,3,4,87.58345,86.80682,118.303185,8
212,88.080779,145.18136,74.218554,2,5,2,4,5,5,2,5,59.99979,77.7353,94.298134,18
213,88.133036,145.04108,74.164066,4,4,5,4,4,6,2,4,102.5288,80.84931,93.957275,3
214,88.027724,145.00156,74.249794,1,8,5,3,7,6,6,6,65.22411,74.86825,99.56779,18
215,88.069299,145.04899,74.299217,3,5,5,5,7,8,5,8,67.450035,129.03761,103.4471,19
216,88.12446,145.15738,74.147676,5,6,5,5,6,5,4,6,58.675148,104.825836,72.749535,27
217,88.026694,145.06121,74.15237,3,5,4,3,7,4,4,7,96.70116,84.75821,124.75221,44
218,88.171846,145.03549,74.267125,3,8,6,3,6,6,5,5,73.262985,105.68313,97.09126,20
219,88.204075,145.09972,74.152803,5,4,3,6,4,4,2,4,98.87439,79.60432,112.69676,44
220,88.071959,145.16117,74.293916,3,6,3,5,6,6,4,7,91.41519,127.12818,89.21787,49
221,91.950607,144.02841,75.675433,2,4,6,4,6,5,3,9,58.85158,111.49177,110.35083,5
222,91.866895,144.00074,75.728992,1,7,5,3,6,5,4,6,73.02534,119.72007,126.01852,39
223,91.924106,144.0423,75.755897,5,5,4,6,6,5,4,7,52.248455,99.2669,98.11951,17
224,91.986847,144.04444,75.742443,2,7,6,5,7,7,5,5,85.77554,67.5721,102.625244,11
225,91.97851,144.11453,75.699074,1,6,3,4,7,5,5,7,69.048515,99.52119,123.871216,28
226,91.859644,144.11305,75.735778,3,6,5,5,5,3,3,5,114.48064,92.89905,82.21955,12
227,91.995353,144.02945,75.658765,2,6,5,4,6,8,4,5,94.8127,76.026085,78.61701,15
228,91.929472,143.97132,75.660021,2,6,5,5,4,7,2,3,103.01499,86.2418,86.168175,15
229,91.86863,144.06234,75.730399,2,7,4,4,7,4,5,6,64.941284,126.59628,87.0993,6
230,91.941293,143.94803,75.698632,2,6,3,5,6,6,4,7,112.8918,116.45827,92.761536,33
231,94.801144,142.97327,77.002496,4,6,2,7,7,4,5,7,77.876015,126.333275,125.47431,39
232,94.775992,142.98486,76.944406,5,5,5,4,5,5,3,4,58.670918,110.2557,82.34079,6
233,94.898692,143.05592,76.998593,2,5,3,4,5,6,3,6,96.63599,135.1981,94.21826,38
234,94.833496,142.91659,77.082442,5,4,5,5,4,5,2,5,112.171295,102.863144,83.32016,12
235,94.808939,142.94361,76.917636,1,6,5,5,5,5,3,5,112.785126,107.41399,115.945015,47
236,94.713352,142.93483,76.958941,3,3,4,4,6,9,3,6,82.881325,118.0856,66.860275,31
237,94.846175,143.06698,77.051981,2,7,5,4,7,6,4,7,105.528854,116.98547,106.58378,7
238,94.786982,142.98569,76.935115,2,7,4,4,8,5,6,7,62.09668,83.66813,113.21173,4
239,94.828611,142.89922,77.072148,1,8,8,3,7,6,5,6,80.48638,73.252106,119.15686,8
240,94.786891,143.0585,76.909504,2,7,5,5,6,8,3,7,91.77143,136.56827,100.8807,38
241,96.428846,142.88581,80.218539,2,4,4,3,3,6,1,4,103.98003,96.07709,115.33652,2
242,96.488123,142.9791,80.188893,1,6,4,2,6,5,5,7,82.98435,79.84766,99.98259,9
243,96.367473,142.90699,80.302435,3,5,4,4,6,4,4,6,55.209747,114.5227,109.97731,19
244,96.508969,142.81294,80.279425,5,3,3,5,4,5,2,4,110.00622,86.70349,99.92178,29
245,96.330453,142.848,80.125457,2,4,3,4,3,7,2,3,88.94861,72.41797,102.44745,9
246,96.384585,142.93582,80.136945,1,6,5,4,7,7,5,6,120.397064,98.92044,100.764755,37
247,96.396008,142.93084,80.26463,1,3,6,4,4,5,2,4,71.20441,130.72064,90.31854,30
248,96.51246,142.84301,80.313261,1,5,5,3,5,3,3,5,114.325775,93.10036,84.84191,12
249,96.478577,142.87866,80.224586,4,4,2,5,5,4,2,7,87.40976,126.72841,75.872086,10
250,96.43195,142.9455,80.193251,5,7,3,7,8,6,6,6,107.36989,111.28046,71.91081,49
251,97.05512,141.80992,83.292663,2,4,3,4,5,5,3,5,98.0795,72.363045,86.37184,15
252,96.994644,141.75323,83.259413,5,6,5,5,4,6,2,5,117.59655,91.7088,107.01485,37
253,96.979544,141.75343,83.210982,4,4,5,5,3,7,2,4,113.1566,122.10907,92.765976,33
254,97.120993,141.80662,83.343012,1,8,2,4,6,6,5,4,60.145027,88.64462,79.90928,23
255,97.136407,141.77488,83.251691,4,6,3,7,6,4,5,6,56.93827,113.77026,100.59111,19
256,96.999621,141.77158,83.211001,1,5,4,2,5,6,4,5,58.613647,103.92355,120.63321,28
257,97.010402,141.72037,83.356063,5,4,3,6,6,6,3,7,113.065834,88.01446,115.73986,34
258,97.003267,141.7112,83.364667,3,6,4,5,6,6,4,5,100.65354,115.23738,76.51231,49
259,97.07647,141.89238,83.206726,2,5,4,5,6,5,4,7,78.00142,109.34042,122.63351,21
260,96.990973,141.87685,83.359077,3,5,4,4,5,4,3,5,93.843506,89.438644,127.44188,44
261,96.577872,141.72337,87.263147,2,5,4,3,6,4,4,6,110.56823,87.176056,106.635956,29
262,96.606191,141.64154,87.176423,2,5,4,4,6,6,4,6,67.66003,80.75573,76.61202,23
263,96.63456,141.8034,87.315717,3,6,4,5,7,6,5,6,92.36253,106.07329,127.812164,2
264,96.48606,141.73066,87.327954,5,7,3,5,7,6,5,6,112.897095,92.37777,104.274666,37
265,96.664021,141.70941,87.208865,4,6,5,5,6,4,4,6,72.22732,98.345795,100.10965,20
266,96.496415,141.7668,87.230658,1,6,4,3,4,7,2,3,103.34007,111.792946,91.72936,7
267,96.606036,141.64927,87.181967,5,6,6,8,5,7,2,5,104.85126,86.25813,106.10551,3
268,96.499613,141.65038,87.355455,1,4,4,3,6,5,3,6,91.593094,101.703575,131.90555,32
269,96.496024,141.8185,87.324079,1,4,5,3,2,4,1,2,73.96952,69.41046,97.84427,11
270,96.603655,141.66732,87.186706,4,5,5,5,5,5,3,6,58.832756,111.091576,89.38259,6
271,95.227117,141.66972,90.12192,3,8,6,5,6,7,4,6,119.685555,105.04208,90.63266,37
272,95.165801,141.65196,90.073267,4,5,4,6,6,5,4,7,102.893074,121.713425,108.515564,7
273,95.274502,141.71356,90.023075,3,6,4,4,6,4,4,7,114.17444,120.14415,100.204575,33
274,95.314415,141.6504,90.126507,1,6,3,4,6,6,4,6,80.41455,67.37743,98.11775,11
275,95.259411,141.65856,90.053642,1,5,4,4,8,6,6,8,83.884384,86.877945,124.8351,8
