umap, ,,Cluster_UMAP
10.967669,5.884562,10.678329,1
11.107801,6.445211,10.245576,0
11.063495,6.317378,10.373126,0
11.210327,6.6286983,10.271864,2
10.961819,6.1527123,10.420816,0
11.39717,6.517251,10.659467,6
11.054595,6.2485948,10.460341,0
11.030296,6.0672345,10.783398,1
11.276495,6.3554406,10.435968,0
10.917378,5.920108,10.613841,1
11.4395275,6.106561,11.041985,1
12.81344,5.0215774,10.0396385,3
11.116462,6.2394514,10.727876,1
10.966996,6.2677693,10.177278,0
10.713186,5.9815474,10.32466,0
11.344946,5.645482,9.638064,0
10.89994,6.0257573,10.383783,0
10.81616,5.6137676,10.543559,1
10.644031,5.9249544,10.345045,0
10.951236,5.899257,10.46361,0
10.890463,6.1803355,10.54776,1
12.854712,4.936999,10.011037,3
11.200467,6.266525,10.558226,1
11.162258,5.9146285,10.87877,1
10.948433,5.9693065,10.438452,0
11.288887,6.480301,10.605523,1
11.119789,5.878002,10.468479,0
10.726495,5.6546817,10.235288,0
11.267142,6.2273655,10.694757,1
10.986368,5.907227,9.907285,0
11.045535,6.2828994,10.504026,1
10.692995,5.863633,10.58158,1
11.059944,5.827792,10.921499,1
10.847336,5.939426,10.436385,0
10.794776,5.932357,10.586588,1
10.836742,6.093807,10.428604,0
10.811168,5.496356,10.208031,4
10.766515,5.7887874,10.208164,0
11.203073,6.4499197,10.3604355,0
10.746182,5.874015,9.660843,0
10.701529,5.5882244,10.36993,0
11.130612,5.3470225,10.853277,8
10.974296,5.9201236,10.641634,1
10.8051,5.970257,10.21529,0
11.030305,5.9751263,10.515011,1
10.884648,5.6844854,10.729642,1
10.897713,6.1428843,10.413352,0
11.048728,6.4830337,9.652135,0
10.806321,5.685879,10.241202,0
10.771084,5.766412,10.449112,0
10.7580185,6.0097437,10.48703,0
10.984168,6.207869,10.414605,0
10.619224,5.8154826,10.410256,0
10.699482,5.1966276,10.263421,4
10.687814,5.6000247,10.528856,1
10.708622,6.0243807,10.23693,0
10.64765,5.6702843,10.156618,0
10.8709955,6.2886686,10.428472,0
11.179013,6.072677,10.401333,0
10.93479,6.3272333,10.38489,0
12.692495,4.9027295,10.076205,3
10.845565,5.8903265,10.405202,0
10.809831,5.9575424,10.565666,1
11.129405,6.5787234,9.642434,2
10.988274,5.969838,10.487581,0
10.834997,5.305603,10.267156,4
10.731337,5.6025877,10.488693,0
10.846476,5.8753753,10.594523,1
10.765218,5.4436874,10.434423,4
10.704554,5.8135285,10.178246,0
11.0615635,6.3388963,10.375835,0
11.01037,6.036114,10.610157,1
10.759447,5.950944,10.607958,1
10.794689,5.9244485,10.244602,0
10.793248,5.7772284,10.375562,0
11.7382345,5.8473377,10.826338,7
10.859557,6.086409,9.971353,0
10.959222,6.2477713,9.975817,0
10.9402485,5.898938,10.577794,1
11.003934,6.1365476,9.975592,0
10.716558,5.9845824,9.69609,0
10.966655,6.4667544,9.880285,0
10.943897,6.229735,9.877785,0
11.172806,6.3730397,10.363568,0
10.854583,5.967937,10.293072,0
10.8365555,5.829107,10.32221,0
10.884084,6.251524,9.8063135,0
10.886187,6.093251,10.1775875,0
10.8173,5.9651737,10.374748,0
10.875492,6.068526,10.384592,0
11.176322,6.6086206,10.184575,2
11.155431,6.509186,9.533657,2
10.94187,6.3396826,9.5383005,0
10.898506,6.1608086,10.144341,0
11.024958,6.408445,9.736526,0
10.741482,5.9528384,10.42385,0
11.021123,6.3198366,10.342823,0
10.8197,5.9941845,9.700472,0
10.649955,5.820144,10.016816,0
10.956398,6.275589,10.2417555,0
10.913968,5.9931574,9.587994,0
10.859328,6.0807385,10.486979,0
10.862064,6.214424,9.892197,0
11.401154,6.897167,9.308542,9
10.906672,6.078357,10.3868,0
11.007033,6.386032,10.214857,0
11.079255,6.3917103,10.47263,0
10.884028,6.3105507,10.336234,0
11.004572,6.1403685,10.359437,0
11.00593,6.4162817,10.093844,0
11.05199,6.4249926,9.80624,0
11.145175,6.405475,10.559381,1
10.950731,6.419284,10.441646,0
10.68521,6.008089,10.119345,0
11.295963,5.9964943,10.885975,1
10.87472,6.2682495,9.991335,0
11.10021,6.48274,10.273666,0
11.218566,6.7372465,9.809888,2
11.160502,6.520488,10.269947,2
11.098191,6.368252,10.444798,0
11.116901,6.6326423,9.83622,2
11.242878,6.338649,10.507419,1
10.780515,5.3973327,10.3641815,4
11.230068,6.1081057,10.837127,1
11.334451,6.5549617,10.044214,2
11.257869,6.492678,10.568325,1
10.956752,6.3482013,10.245181,0
11.267216,6.558005,10.389207,2
10.872825,5.4654193,10.3544655,4
11.07966,6.286558,10.376822,0
11.023375,5.9203653,10.516271,1
11.120497,6.317069,10.46055,0
10.804996,6.2671,10.222473,0
10.982611,6.139337,10.443634,0
11.05358,6.3962674,10.369534,0
11.004462,6.3675675,10.4305315,0
11.122414,6.066044,10.527351,1
10.960225,5.8344917,10.179356,0
11.113426,6.435395,10.05408,0
11.06581,6.3591266,10.31348,0
10.95115,6.0935974,10.539617,1
11.163922,6.3066,10.395788,0
11.255871,5.8058167,11.027576,1
11.268694,6.454264,10.635684,1
11.321315,6.5238743,10.454346,2
10.910076,6.2128916,10.250185,0
11.257295,6.6527233,10.05511,2
10.863808,4.8972454,10.575272,8
11.097695,6.0812006,10.55654,1
11.206715,6.424479,10.497592,0
11.051594,5.9371457,10.705828,1
10.987162,6.254159,10.426838,0
11.112718,6.2554097,10.408683,0
10.711303,5.9120803,10.043594,0
11.14536,6.0424356,10.613846,1
11.060172,6.4376836,10.067405,0
11.122954,6.2491393,10.515888,1
11.210961,6.1013722,10.662382,1
10.8876505,5.794684,10.595431,1
11.431251,6.6960387,10.409871,2
10.999387,5.9720955,10.747651,1
11.239818,6.547106,10.829294,6
10.79072,5.86287,10.405112,0
11.0282955,6.0639396,10.761103,1
11.02492,6.312843,10.274982,0
12.610123,5.0664525,10.1121,3
10.634367,5.9456635,10.480264,0
11.016476,5.5786347,10.820272,1
10.896806,5.8223066,10.464039,0
11.505627,6.652493,10.564066,10
11.165453,6.4204617,10.515803,1
11.129009,6.2226796,10.567138,1
10.948611,5.2678876,10.67632,8
11.366743,6.1879053,10.889924,1
10.755889,5.56404,10.504475,1
10.969217,6.0846915,10.707157,1
11.343015,6.768528,9.945526,2
10.907263,5.6444373,10.658339,1
11.232113,6.3822165,10.454787,0
11.035226,5.7535872,10.68463,1
10.96778,5.906164,10.561532,1
11.117135,6.140198,10.683308,1
11.1252985,5.6336136,10.668363,1
11.027376,5.973491,10.449818,0
11.206879,5.8906517,10.839741,1
12.656929,5.486096,10.389855,3
10.969476,6.1246324,10.580507,1
10.948703,6.202303,10.627252,1
11.057279,6.0362806,10.870778,1
11.120134,5.17267,11.074983,8
10.831413,5.2948685,10.606032,8
10.75996,6.0650206,10.663061,1
11.083008,5.6243653,10.785629,1
10.933358,5.4984083,10.665739,8
10.844923,5.5023503,10.728394,1
10.969503,6.0173473,10.602661,1
10.997861,6.3168354,10.626164,1
10.719897,5.820196,10.49676,0
10.910248,5.632268,10.841009,1
10.969164,5.0631027,10.743186,8
10.829464,5.847068,10.247831,0
11.40126,4.719342,10.922834,8
10.942264,5.743725,10.6130495,1
10.997716,5.310523,10.845933,8
10.947951,5.5497956,10.611433,1
10.819132,5.5479507,10.430804,0
10.841988,5.713434,10.739054,1
10.94642,6.0785522,10.369001,0
11.02112,5.978075,10.868117,1
10.834544,5.703991,10.271635,0
11.063502,5.7452602,10.687542,1
10.961363,5.678098,10.678507,1
10.868463,5.854695,10.544567,1
11.076399,6.017486,10.731368,1
10.995786,6.049263,10.811429,1
10.877426,5.163158,10.533336,8
10.846606,5.998437,10.095844,0
10.952505,5.777923,10.460873,0
10.954,5.386511,10.551115,8
11.077048,6.1558776,10.634954,1
10.789066,5.6720433,10.250057,0
10.701513,5.417112,10.3402405,4
10.785274,5.6971855,10.438637,0
10.830449,5.9160767,10.375296,0
10.72255,5.9917183,10.3762,0
10.867792,6.025864,10.32517,0
10.716407,5.744416,10.149074,0
10.944431,5.688977,10.095701,0
10.709713,5.2327623,10.308624,4
10.746407,5.711133,10.290885,0
10.777181,5.69686,10.360943,0
10.652447,5.1914625,10.197541,4
10.7254,5.852792,10.376023,0
10.707364,5.253413,10.244204,4
10.771714,5.89978,10.102343,0
12.774303,5.039569,10.005955,3
10.780232,5.968289,10.435356,0
10.659233,5.7182965,10.145574,0
10.6416025,5.678743,10.324657,0
10.705522,5.803334,10.465923,0
10.912363,5.9646645,10.485017,0
10.653829,5.5548162,10.6171,1
10.643717,5.0735574,10.121926,4
10.804917,5.7033086,10.416836,0
10.8585205,5.9557295,9.993572,0
10.626989,5.398927,9.808786,4
11.030225,6.429294,10.118847,0
10.677353,5.697946,10.069694,0
10.670582,5.6962247,10.038311,0
10.900004,5.996656,10.344744,0
10.691156,5.269071,10.040478,4
10.834127,6.2364078,10.002375,0
10.528257,5.565614,10.195665,0
10.9125,5.6189756,10.443068,0
10.95592,5.98419,10.0150585,0
10.825111,6.132076,10.078336,0
10.821714,5.915032,10.384584,0
12.613569,5.1756105,10.056528,3
10.833022,5.8617964,10.034889,0
10.919191,6.1555843,9.674773,0
10.842012,6.280916,9.964379,0
10.660573,5.6940684,9.911826,0
10.763726,5.686738,9.77984,0
10.750448,6.1823854,9.998085,0
10.772461,5.817548,10.441836,0
10.825105,5.863083,10.137037,0
10.776753,5.817511,10.010707,0
10.844794,6.146402,10.022536,0
10.804117,6.238599,9.987742,0
12.517761,5.104593,10.124857,3
12.785288,4.9982843,10.050273,3
10.754313,6.1966767,10.019712,0
10.812222,6.232162,9.510296,0
10.844534,6.258072,10.02648,0
10.92738,6.1603384,10.070887,0
10.729961,5.9938726,9.742065,0
10.951,5.950264,10.522772,1
11.324377,6.710428,9.948867,2
10.8067045,5.687089,10.244338,0
12.527365,5.1734276,10.076218,3
10.898608,5.970489,10.1550455,0
10.875293,6.260979,9.835727,0
10.935565,6.274222,10.195111,0
10.943161,6.3150983,9.678845,0
10.997164,6.5528617,9.565772,2
10.883159,6.080818,10.185605,0
10.812904,5.9186764,10.232079,0
12.691427,5.07502,10.044815,3
10.884342,6.013697,9.79615,0
10.919204,6.0959992,9.954467,0
10.99799,6.46912,9.7956705,0
12.01722,5.9911017,9.945164,5
10.949993,6.404333,9.935945,0
11.26912,6.5412197,9.361388,9
10.700164,5.791494,10.010558,0
11.107739,6.4313226,9.966264,0
10.97096,6.192856,9.890671,0
11.069888,6.3663774,10.692571,1
11.016586,6.3243237,10.548501,1
10.822491,6.2537856,9.928523,0
11.00499,6.357445,9.632241,0
11.00604,6.2847857,10.09219,0
10.891236,6.397164,9.743154,0
11.268921,6.595933,9.544797,2
10.903507,6.2214136,10.226584,0
10.8083105,5.984656,9.646791,0
11.552878,6.9005136,9.962252,11
11.445616,6.741957,9.852948,2
10.904417,6.227615,10.21242,0
11.000488,6.151729,10.494337,0
10.995412,6.10741,10.224523,0
10.845419,5.981354,10.379058,0
11.060094,6.1969733,10.522261,1
11.051171,6.2710013,9.359418,12
10.98445,6.379459,10.0353775,0
11.141452,6.5775094,9.870308,2
12.766431,5.030736,9.989333,3
10.871961,6.149037,10.363712,0
10.987319,6.142622,10.456777,0
11.343218,6.398919,10.716485,1
11.203697,6.5156183,9.961644,2
11.097586,6.4682918,10.336124,0
10.905583,6.118365,10.266349,0
11.209512,6.5427103,9.78772,2
11.070127,6.2939763,10.498217,0
10.806865,6.0605097,10.213361,0
11.206542,6.707421,9.892547,2
10.862638,6.157591,10.27981,0
10.955581,6.3000917,10.188876,0
10.977715,5.6447725,10.432286,0
11.038059,6.2524543,10.477236,0
11.450827,6.6989055,10.422168,2
11.057361,6.335196,10.167898,0
11.311481,6.5516076,10.362311,2
11.062067,6.4225097,10.333427,0
11.272141,6.3970823,10.456616,0
11.123326,6.43099,10.423646,0
11.131125,6.2821536,10.563031,1
10.9886875,6.03658,10.549034,1
11.000681,5.9449506,10.783977,1
10.965619,6.261698,10.256297,0
11.011446,6.2859836,10.469657,0
11.316408,6.517386,10.582778,6
11.060507,6.3169327,10.284851,0
11.081233,5.9210925,10.753906,1
11.037612,6.145459,10.464606,0
11.065361,6.294963,10.674991,1
11.327811,6.575823,10.430008,2
11.195113,6.699488,10.315754,2
11.11816,6.5032787,10.005978,2
11.151909,6.3336277,10.407471,0
10.963388,5.9881063,10.716982,1
11.019447,6.541607,9.750903,2
11.3726845,6.6133685,10.129188,2
10.983682,6.050803,10.645244,1
11.179277,6.2546363,10.622042,1
12.696726,5.090749,10.04303,3
11.075217,6.331381,10.5543,1
11.328188,6.136191,10.812326,1
11.034817,6.345152,10.52483,1
11.249096,6.3258176,10.397131,0
11.130467,6.2830405,10.230941,0
11.407353,6.380054,10.763831,1
11.126242,6.291423,10.658444,1
11.27658,6.6495223,10.277957,2
11.050918,6.29351,10.486774,0
11.204668,6.118061,10.713824,1
11.137854,5.8984823,10.914688,1
11.578464,5.691268,11.177146,7
11.092485,6.454756,10.5836735,1
11.846165,6.32734,11.110708,7
11.290754,6.4336033,10.555324,1
11.094662,6.3113284,10.391102,0
10.890877,6.31905,10.168443,0
11.104911,6.294756,10.617637,1
11.337565,6.1956487,10.778304,1
11.206036,6.250727,10.878382,1
11.618316,6.1934013,11.071811,7
12.727601,5.0643034,10.022805,3
11.161292,6.37453,10.526201,1
11.444216,6.2183084,10.899012,1
11.27367,6.185677,10.743641,1
11.105162,5.767668,10.90912,1
11.086289,6.389605,10.692938,1
11.299994,6.4573874,10.618685,1
11.190863,6.4793944,10.497852,0
11.147735,6.041664,10.695698,1
11.032193,5.965105,10.670755,1
10.934051,5.9978056,10.574779,1
10.978899,5.560055,10.800746,1
11.070354,5.8103533,10.782067,1
11.10135,6.100271,10.614533,1
11.137731,6.286317,10.61911,1
10.983952,6.0956397,10.487711,0
11.136563,6.2011976,10.604233,1
11.191685,5.9308257,10.900762,1
10.943571,6.249888,10.28197,0
12.619704,5.1244593,10.058168,3
11.204276,6.2527213,10.67145,1
10.862771,6.05149,10.362549,0
10.989947,5.647998,10.880137,1
11.04886,5.9471407,10.558856,1
12.498389,5.3020205,10.098393,13
10.922393,5.707962,10.619059,1
12.745583,5.054966,10.042966,3
11.4055,6.7787952,10.576324,6
11.128604,5.632357,10.711584,1
11.159837,6.4189315,10.365532,0
11.286807,4.8682504,10.0128765,4
10.996663,5.839536,10.599313,1
11.126457,5.9210296,10.85523,1
10.986971,5.6721396,10.74625,1
11.772374,5.038896,11.394916,14
11.037397,6.370266,10.459648,0
10.816946,5.995715,10.670505,1
11.0304985,5.84574,10.855323,1
10.939238,5.3416533,10.725926,8
11.094406,5.4603906,10.85677,8
11.1322565,6.4513063,10.497658,0
10.748478,5.517291,10.202299,0
10.909382,5.7652493,10.762681,1
10.7858715,5.598131,10.645568,1
11.014209,5.6192083,10.626385,1
10.693883,5.8427687,10.470143,0
10.772023,6.153101,10.043235,0
11.057162,6.157079,10.377998,0
11.053714,5.8080425,10.785311,1
11.159126,4.688242,10.473086,4
10.9904375,5.3970413,10.316439,4
10.753392,5.521191,10.676031,1
10.955877,5.6167145,10.802173,1
10.845045,5.6586704,10.541313,1
10.91764,5.4310517,10.601744,8
10.998929,5.92475,10.709467,1
10.755274,5.4632754,10.21449,4
12.728714,5.0690403,10.025003,3
10.708371,5.244474,10.365609,4
10.750302,5.4532385,10.524271,8
11.062685,5.0484624,10.793048,8
10.983016,5.7664375,10.518459,1
10.688987,5.9561644,10.208616,0
10.921404,5.9084034,10.456715,0
10.892251,6.046928,10.073235,0
10.99098,5.618141,10.788266,1
10.65848,5.3193765,10.304253,4
10.798189,5.423533,10.239301,4
11.105212,5.950924,10.749201,1
10.98079,6.0015283,10.432946,0
10.629952,5.4296274,10.363242,4
10.830194,5.497282,10.532596,8
10.797116,5.5547686,10.40849,0
10.794016,5.513473,10.4816,0
11.024523,5.5694385,10.295828,0
10.911495,5.851784,10.539137,1
11.156816,4.9892006,10.8938265,8
10.773142,5.281138,10.232139,4
10.806484,5.780516,10.206604,0
10.808933,5.4856586,10.297401,4
10.65883,5.1929903,10.228976,4
10.736166,5.52823,10.478515,0
10.691216,5.81003,10.238091,0
10.937956,5.5947514,10.565737,1
10.568953,5.2799907,10.0751505,4
10.87255,6.2102785,9.939331,0
10.625944,5.0086284,9.889661,4
10.9223995,6.169706,10.351956,0
11.3591,4.389119,10.5763855,15
10.722779,5.801618,10.393993,0
10.758389,6.089261,10.424193,0
10.763391,5.727474,10.323502,0
10.566111,5.4613447,9.873328,4
10.768315,5.8156567,9.538528,0
10.950189,5.8144393,10.486194,0
10.857938,5.680764,10.580471,1
10.798991,5.8596087,10.45844,0
10.766689,5.661323,10.239693,0
10.839598,4.9975834,10.605374,8
10.926564,5.9527283,10.189374,0
10.726017,5.606735,10.303126,0
10.866631,5.7194796,10.341968,0
10.930663,6.3289766,10.052659,0
10.801806,5.64346,10.44364,0
10.868887,6.0479884,10.223289,0
10.811344,5.5507407,10.191552,0
10.715887,5.862806,10.193361,0
10.718786,5.7403736,10.256035,0
10.70271,4.956741,10.052443,4
10.643947,5.322664,10.15054,4
10.749812,5.837302,10.073466,0
10.676056,5.3663363,9.928404,4
10.836397,6.089395,9.978151,0
10.852008,6.0243993,10.076467,0
10.73173,5.8545117,9.835701,0
12.75774,5.0534234,10.016193,3
10.6469,5.664325,10.170278,0
10.616932,5.500635,9.7076435,0
10.80378,5.796533,10.453561,0
10.534378,5.4058805,10.025908,4
10.884639,6.2653265,9.946227,0
10.60525,5.78686,9.836946,0
11.117063,5.1873374,10.458703,4
10.581282,5.7993264,9.567668,0
10.667344,5.6570373,9.88422,0
10.657912,5.5448656,9.851808,0
10.754849,5.8349533,9.933185,0
10.769905,5.791881,10.11604,0
10.827719,6.009677,9.931722,0
11.168747,6.2048397,9.816029,0
10.87993,6.265587,9.951033,0
10.837037,6.2577944,9.743406,0
10.973231,6.242641,9.581684,0
10.698835,5.7250824,9.740356,0
11.13185,6.601131,9.720092,2
10.711555,6.0860047,10.194486,0
10.727148,5.7152977,9.745784,0
10.710338,5.7999845,9.533325,0
10.707596,5.9953184,10.130035,0
10.809541,5.9495544,10.333194,0
10.857463,6.0609183,9.84935,0
10.859614,6.020628,9.536578,0
10.848047,6.290689,9.695806,0
10.950007,6.2685914,9.547766,0
10.982129,6.1992335,9.781669,0
11.171312,6.45622,9.378057,12
11.12197,6.5585265,10.295817,2
10.887758,6.154226,9.681073,0
10.882901,6.1829977,9.934204,0
11.143457,6.596883,9.42504,9
10.821267,6.281217,10.08682,0
11.02176,6.162553,9.788672,0
10.941888,6.3652925,9.385281,12
11.092303,6.451394,9.482097,12
11.014489,6.330496,9.694657,0
10.988116,6.1491337,10.329544,0
10.910123,6.3389688,10.020213,0
10.758205,5.8353524,10.259389,0
11.540834,6.6863985,9.697123,11
11.122843,6.4183292,9.355618,12
11.255836,6.5417957,9.302269,9
10.807454,5.968338,10.087308,0
12.53602,5.376129,9.99702,3
11.086264,6.6071777,9.780582,2
10.91691,6.533387,9.803534,2
10.807199,5.937588,9.889371,0
11.314757,6.599052,9.229286,9
10.991711,6.0985775,10.581886,1
12.189671,6.152597,8.865958,16
11.081657,6.4295545,10.172746,0
11.488184,6.825946,9.639678,2
10.980144,6.102027,9.768745,0
10.964426,6.458452,9.79985,0
11.045823,6.529504,9.923757,2
10.982817,6.1699414,10.054126,0
11.0834675,6.4289684,9.888625,0
11.285319,6.6717234,9.4596195,9
12.672996,5.235397,9.908085,3
11.256331,6.522804,9.361947,9
11.397897,6.776645,9.868462,2
11.093774,6.1263514,10.121566,0
11.085312,6.452354,10.207651,0
10.947501,6.0298514,10.29053,0
11.862229,6.879465,10.235451,11
12.721479,5.0835905,10.000054,3
11.40492,6.720117,9.490364,9
11.357189,6.41333,9.886588,0
11.390943,6.7710986,9.764691,2
12.576135,5.2058086,9.972958,3
11.281938,6.41357,10.457185,0
11.103291,6.317541,10.264459,0
10.698778,5.886808,10.085807,0
11.006184,6.589187,9.592284,2
11.181571,6.5241485,10.159273,2
11.376198,6.7876763,9.787953,2
11.474661,6.9094048,9.288369,9
12.22328,5.5859036,9.848217,5
12.723812,5.1462398,10.03015,3
11.204647,6.5384603,10.192959,2
11.08368,6.2409353,10.523216,1
11.114089,6.2639647,10.30164,0
11.0112295,5.921555,10.5899105,1
11.05781,6.472928,10.357321,0
11.1888075,6.4201536,10.357487,0
11.265715,6.659874,10.313795,2
11.203963,6.304262,10.361438,0
10.834284,5.916998,10.310636,0
11.299367,6.4417505,10.216934,0
11.135565,6.498861,10.138734,0
12.580799,5.1792245,9.972967,3
11.085549,6.5711155,10.003991,2
11.407384,6.558501,10.609043,6
11.387015,6.346785,10.675573,1
11.28517,6.6016293,10.059974,2
10.9448395,6.1557755,10.436629,0
11.311815,6.4766846,10.073887,0
11.106307,6.540344,9.543172,2
11.232373,6.7784157,9.7926445,2
11.761805,6.6958637,10.741732,10
11.43877,6.862241,10.3691435,2
11.429901,6.6234717,10.460489,2
11.214026,6.3072424,10.623031,1
11.107513,6.390528,10.095355,0
11.266139,6.5018873,10.165882,2
11.51312,6.6483917,10.325518,11
11.358066,6.4820967,10.204477,0
11.290041,6.529623,10.513867,6
11.354441,6.7925677,9.844652,2
11.298648,6.8065042,9.943838,2
11.319277,5.6702023,10.685019,1
11.047365,6.3894215,10.411081,0
11.533584,6.2287717,10.478363,5
11.59417,6.431393,10.912902,7
11.410555,6.3398323,10.674541,1
11.308101,6.2879424,10.569404,1
11.104056,6.3292756,10.093516,0
11.022683,5.990177,10.434299,0
11.426146,6.403818,10.150373,0
13.221326,6.0263634,11.342241,17
11.461188,6.5224504,10.411994,2
11.5509815,6.6154356,10.727835,10
11.120472,6.2339664,10.525769,1
11.218645,6.485717,10.199168,0
12.272112,6.569647,10.538132,10
11.177705,6.1406765,10.801741,1
11.359073,6.556355,10.33787,2
11.250285,6.222832,10.82276,1
11.161396,6.3099785,10.517614,1
11.110725,6.2695713,10.427442,0
11.052301,5.9849887,10.964763,1
11.088839,6.1725106,10.704365,1
11.022328,5.872177,10.801506,1
12.5927725,5.250033,9.939697,3
11.383039,6.177633,10.811815,1
11.286195,6.239674,10.673616,1
11.164318,6.5234933,10.375861,2
11.272752,6.423308,10.805747,1
10.949899,6.030269,10.49113,0
11.166741,6.2044854,10.580114,1
11.153684,6.3386264,10.554735,1
11.065929,6.3432207,10.074332,0
11.219775,6.361073,10.534269,1
11.235863,6.6285963,10.327034,2
11.429781,6.577632,10.721237,6
11.467495,6.6240215,10.827942,6
11.530742,6.480198,10.7130785,7
11.182423,6.3537216,10.633366,1
11.541377,6.167526,11.038201,7
11.37959,5.961317,10.804844,1
11.04023,5.8717318,10.782956,1
11.672986,6.2519126,10.221084,5
11.454739,5.953767,11.146806,1
11.312009,6.2719274,10.870468,1
11.336882,6.2158356,10.855445,1
11.187104,6.3933177,10.3334465,0
11.3240595,5.7715855,11.152731,1
11.311069,5.8713655,11.17729,1
11.15594,6.027453,10.8534775,1
11.831535,5.957465,11.108056,7
11.142763,5.8475494,10.846223,1
11.462376,6.128673,11.024443,1
11.144163,5.71281,11.002037,1
10.906389,6.1845045,10.468612,0
11.322042,5.5266356,10.94929,1
11.077468,5.72696,10.761349,1
11.163756,6.071677,10.557953,1
11.099106,6.2075777,10.46703,0
11.2308035,5.875328,10.937857,1
11.077727,5.3265104,10.849028,8
11.451634,6.282372,10.843056,1
11.114856,5.7839785,10.844543,1
10.894584,5.782792,10.681055,1
11.057892,5.6291847,10.848354,1
11.374403,6.007552,10.937222,1
11.650169,5.8879004,11.164999,7
11.360731,6.13543,10.949696,1
11.085166,6.014706,10.723482,1
10.867242,5.7443886,10.6252365,1
10.805292,6.1302447,10.233352,0
10.939907,5.4866066,10.727831,8
