umap, ,,UMAPClustering
42.043285,4.155162,59.277092,3
43.157333,5.85359,56.5877,1
47.240047,4.200234,60.295998,11
48.260666,-36.646317,51.574234,17
43.335438,4.425673,64.06924,3
37.939075,-24.229977,58.680542,18
43.303684,3.8926566,61.15459,3
43.44905,5.5288386,61.614346,1
44.152565,4.2641373,61.135635,3
47.25649,4.7972336,60.83467,11
43.382698,3.9852955,58.685703,3
43.613773,8.163956,59.359238,1
37.331524,4.877989,60.329872,3
41.55214,5.5895796,61.69147,1
43.175396,2.9753323,64.55298,3
42.005463,6.059616,57.110058,1
40.93711,5.403226,59.541317,1
41.130623,3.2663822,60.852943,3
45.37374,6.1899366,58.390804,7
45.49393,5.1504207,58.882164,7
41.081528,6.9388256,63.398033,1
45.24284,3.7553325,64.50397,11
40.15385,6.5143375,60.869713,1
42.816883,4.8953247,61.77504,3
39.578815,3.7451627,63.22855,3
37.93057,5.605042,61.73296,1
40.099163,6.0743995,60.83311,1
43.398216,5.0368476,60.15307,1
41.813656,7.1180468,60.262894,1
38.672913,2.209455,61.601982,3
43.094364,6.9830494,60.035614,1
39.884136,5.1299663,58.19963,1
47.649727,5.393844,62.904045,7
33.8437,-10.924645,69.35104,19
38.223007,3.9481726,61.779484,3
43.79432,6.5303307,59.961098,1
38.840145,4.9870415,59.646183,3
44.48075,3.8503637,65.35635,10
38.278114,3.745235,61.11081,3
43.915016,4.1931853,59.12963,3
44.331287,6.6672916,55.032825,1
40.638695,3.8954883,61.41127,3
34.50481,2.7660096,60.474857,6
41.202187,3.9114454,63.62656,3
40.653015,4.921031,64.04098,3
39.897873,4.5180006,52.96598,2
41.92709,5.5105324,60.010323,1
40.975132,4.88649,60.975845,3
36.02727,2.1312582,54.958694,2
40.558723,3.0259094,64.516914,3
38.664024,3.5307262,58.78695,3
37.079315,1.9998214,60.46442,3
37.71316,3.669636,59.570538,3
40.22941,3.5584636,59.490986,3
40.889286,3.101049,60.88268,3
36.5758,1.5987756,55.908607,3
34.78181,2.2717788,59.702858,6
38.586952,2.5691981,61.82489,3
37.57411,5.6334405,60.124176,1
37.76534,0.70014185,63.84338,3
40.13563,3.8147535,56.8908,3
37.132946,1.3145763,62.210434,3
42.051483,6.3671894,56.868782,1
35.632946,2.5424786,60.87067,3
37.412727,3.9680312,57.57891,3
39.172127,4.444848,57.507492,3
39.599117,2.9533215,58.875793,3
39.989822,6.1653113,59.22609,1
34.462696,3.3101366,57.053802,6
35.38038,3.1662793,55.634148,3
32.54045,-6.9329333,57.034184,20
39.690544,3.2787504,59.264175,3
41.484512,6.402741,59.053658,1
41.67388,4.3106785,56.375618,3
35.731018,2.9717124,58.640457,3
38.495182,4.3426347,58.821503,3
38.48963,4.8344035,60.490032,3
43.25703,4.319245,55.180515,3
37.25719,5.4626617,53.227425,5
39.99397,4.830379,57.1625,3
38.086246,4.4849267,60.897484,3
35.86261,3.9121296,57.334553,3
38.860756,3.2538228,56.031994,3
35.92373,5.257764,60.05655,1
40.79187,6.46319,57.659397,1
38.50118,1.6728823,58.649136,3
36.408337,3.7818646,55.704742,3
42.939037,4.2037897,59.470917,3
39.127712,4.770974,55.71708,3
40.6224,3.2249846,54.484955,2
40.228176,5.302756,52.648155,5
46.89398,5.072327,54.088913,9
38.02889,5.455738,57.29638,1
39.44837,5.2299614,58.295593,1
38.573513,4.7631135,56.25036,3
36.65367,3.763905,53.021133,2
39.209435,5.598221,57.98794,1
41.52999,6.104616,54.610973,5
41.500835,4.353041,55.466633,3
40.795193,5.057177,55.31822,1
42.29584,4.9786754,54.912624,2
38.404083,-1.3476267,61.54431,3
38.22213,3.5269954,52.342754,2
45.537827,5.792486,55.632935,7
40.253353,6.630293,52.802807,5
41.971947,6.8401213,52.9958,5
40.206985,5.9979553,56.862865,1
38.89514,2.3973222,56.129013,3
42.949696,5.1454353,51.316128,5
42.258835,5.925914,55.12748,1
34.077126,-3.5708487,49.463066,21
42.758503,4.0667133,54.62481,2
41.56014,5.0889993,52.309856,5
43.867413,6.9514246,53.83268,5
32.90455,-6.2888727,62.85835,20
38.366184,4.8101134,53.196125,2
46.334858,5.60233,53.24839,9
42.435646,8.387724,52.59726,5
41.74919,7.069376,52.955193,5
43.23936,4.27598,53.629414,2
41.335197,5.0099287,52.048573,5
44.565704,5.839853,57.61415,1
42.9612,6.7964296,51.696365,5
43.887943,3.0998302,54.73042,2
44.94626,5.6391335,51.726868,5
45.23597,5.175147,51.787025,9
42.009895,6.4960823,54.743694,5
43.153664,6.399437,54.358334,5
42.895775,4.9156833,54.55109,2
43.565758,7.289042,55.566856,1
41.55865,8.418681,51.86907,5
40.606705,3.2735314,53.588333,2
43.93913,6.04858,61.801003,1
42.585884,6.0284715,55.26825,1
43.804848,7.6363807,55.10385,1
47.719086,5.2501445,51.008354,9
43.958035,5.898452,54.200043,5
43.407917,6.9156494,53.57868,5
47.606583,6.914575,55.818634,7
46.623924,5.527564,53.575882,9
48.20751,6.578621,56.31193,7
47.17517,6.330634,52.15898,9
44.303967,5.358253,54.9144,5
47.319054,4.465404,57.29687,11
43.26578,6.7494135,54.187576,5
40.808784,4.7331843,53.229298,2
46.43612,5.463434,53.713142,9
44.240974,5.783091,53.513374,5
41.11864,5.4347363,58.421577,1
55.160362,3.5751557,54.159378,16
45.313698,6.6274757,56.178146,7
47.087307,5.465354,55.792027,7
47.71902,4.2625647,52.233955,8
49.2732,6.064406,60.98993,7
45.23621,5.850992,61.332508,7
50.779232,5.5692835,52.024895,9
38.450382,4.208127,59.42202,3
47.7281,5.2247186,58.35537,7
45.786926,2.4287872,53.25642,8
43.76658,5.0598145,58.11508,1
41.90146,5.8993187,54.0437,5
39.750984,5.918414,60.287018,1
45.068035,6.251751,56.492638,7
46.991405,5.795698,58.99691,7
55.464516,4.3283916,58.297504,22
49.11483,8.02144,54.813953,9
45.403755,5.6691275,58.655907,7
45.33012,4.776486,55.458183,11
45.75833,6.0541935,61.15078,7
44.119843,4.2693253,58.25998,3
46.77654,6.562463,58.636417,7
46.580814,7.4194474,57.90901,7
46.236286,6.9711356,55.881683,7
46.608845,5.5269117,57.184128,7
44.473053,6.489076,58.289047,1
45.039566,6.10848,57.253975,7
44.8077,6.1771703,56.420017,1
41.803326,4.85677,56.504665,3
45.70468,5.083974,57.52545,7
45.209885,4.501196,60.07093,11
49.848515,7.7029343,58.189045,7
46.92891,6.308188,57.57142,7
47.959396,6.3748255,55.60306,7
45.47164,7.365754,59.580654,7
62.626854,-21.428272,46.73641,23
41.586685,5.2680244,54.223648,5
47.28989,5.5226946,59.17083,7
46.83322,5.3566675,54.576336,9
47.76148,6.189673,57.07657,7
47.065006,7.6698694,54.519394,9
46.333157,8.0427,58.51262,7
46.399197,5.5109067,58.145863,7
44.852566,5.4959593,59.096077,1
46.444748,6.348588,60.121304,7
44.652214,6.8337913,62.397713,1
47.0618,6.02032,60.255394,7
40.331844,3.0601475,64.186005,3
45.595123,6.418679,58.756374,7
45.58246,5.5415316,61.449364,7
48.84493,5.032345,61.739697,7
45.993805,6.0366244,62.458385,7
50.71524,4.051868,58.332993,11
44.28205,4.841459,57.26026,3
46.39772,4.5528646,63.04489,11
41.62377,5.380774,60.15339,1
50.380768,1.8540857,57.35887,11
47.40632,5.674322,61.86052,7
45.792213,6.7353735,57.551353,7
41.85036,5.073652,61.699326,1
47.232403,6.024633,60.63388,7
41.672546,1.7711996,62.773308,3
43.335236,5.075124,58.617035,1
43.745316,6.5991344,57.62706,1
46.28697,5.3988676,57.472843,7
42.975,6.003735,57.573277,1
42.855675,8.674056,60.900505,1
42.592335,5.660455,63.805695,1
43.889317,5.2033224,61.78475,1
43.832203,4.2108397,62.621235,3
43.09261,5.248012,59.480125,1
37.938675,5.099907,57.303246,1
45.887764,4.4941897,62.004616,11
46.028893,5.8106327,56.480873,7
41.245094,2.1288667,64.43641,3
43.932384,5.5084124,64.6148,1
47.714867,5.2862287,60.485115,7
48.18753,5.913352,62.532505,7
47.260384,4.455369,63.917175,11
45.859245,4.357448,60.966915,11
46.566963,5.594657,65.12924,24
38.710274,2.3863742,63.68431,3
44.245888,6.317858,61.483414,1
39.324326,4.513182,61.427124,3
45.153404,2.80268,66.29869,25
42.593513,5.419057,63.83789,1
44.723057,-14.991712,52.239967,26
40.707165,4.1413198,63.517193,3
49.154278,4.467593,61.550934,11
40.395638,3.7275095,60.96355,3
37.030407,1.4375912,64.119225,3
39.586086,2.9438372,60.16021,3
43.73169,8.106946,60.859257,1
39.842422,4.324704,59.24652,3
39.459858,3.6520352,60.249893,3
40.59716,4.657662,59.93313,3
42.49621,-2.4570932,63.43004,3
43.258053,4.4268966,61.07601,3
45.52661,4.5613165,61.645515,11
43.98049,7.7941675,60.274258,1
41.168556,6.053362,63.74063,1
39.644062,2.6328123,63.194942,3
44.499107,4.897596,62.71666,3
38.767788,4.390933,59.764347,3
43.516525,5.1373205,60.984497,1
43.53675,-4.1048098,64.15991,3
40.15131,5.0520725,58.825535,1
40.33612,3.9736378,58.957664,3
41.702187,4.3332105,62.649452,3
39.215057,4.0854173,60.519684,3
35.1492,1.2322214,58.138577,3
44.262486,5.294963,59.02762,1
43.854443,4.946553,61.708527,3
36.20344,3.2146823,58.84901,3
42.209988,4.8095303,58.97339,3
39.907585,3.2394896,62.824635,3
37.319977,2.8126786,58.990894,3
42.414265,2.9386578,62.934143,3
36.22105,0.72632813,64.2045,3
33.765015,0.58912987,58.919415,6
33.4505,-0.05091505,62.409206,6
39.411354,2.9891465,61.282288,3
42.07168,4.9856052,59.86271,3
41.23282,4.6244555,62.917,3
38.991478,-29.531595,58.89606,27
38.80192,2.8627934,59.02113,3
40.47519,7.0823164,59.73186,1
44.43406,7.2816415,58.91167,1
39.85023,2.2839048,62.240524,3
37.395214,3.0617201,62.68646,3
43.777245,4.5276346,56.378193,3
38.95456,4.008565,60.419724,3
34.071354,-0.16805464,58.6553,6
36.388084,2.411556,58.688503,3
37.32451,3.47621,58.71355,3
37.358505,3.2784355,56.569427,3
34.83872,2.9755468,57.803665,6
36.4654,2.665007,57.441006,3
38.01559,5.177626,60.269043,1
41.165012,6.1159496,60.615105,1
33.56026,-5.059058,63.928967,20
33.838814,-0.09529926,57.48593,6
36.26973,1.6687297,58.530396,3
36.56917,1.3163042,61.593662,3
36.26925,2.4958875,60.08154,3
36.8553,4.3226385,56.602974,3
42.238117,-12.480156,54.690704,26
36.030853,1.7873514,58.986763,3
35.871967,1.0798559,58.975708,3
39.77405,5.1574845,56.342617,1
38.83712,1.8885801,54.248726,2
34.400078,0.24871078,59.33674,6
41.66872,6.18283,54.98596,5
35.620426,0.8532035,57.019802,3
36.250263,4.14906,55.320396,3
37.204433,2.1098614,56.675484,3
43.327164,5.977778,50.75521,5
37.567863,2.6089683,58.21671,3
35.8785,3.1100526,56.562515,3
38.625458,0.4549006,61.383057,3
41.149254,4.411325,52.239456,2
38.53561,3.5174954,58.965725,3
37.898506,2.6836112,54.827045,2
42.01503,4.3816953,51.470947,2
38.311188,4.175608,60.030514,3
39.711254,3.8516045,55.62761,3
37.184242,1.0420555,56.472492,3
41.893272,3.6859272,55.692337,3
38.03472,4.365819,53.03173,2
39.25655,5.8274565,53.912796,5
34.479187,2.2359626,55.76509,6
41.94479,6.522469,50.17054,5
40.786476,6.6098957,57.637363,1
36.38282,1.9051856,60.45004,3
41.95255,3.6880014,54.946114,2
42.505627,7.441992,56.23995,1
38.69533,3.8083174,59.91064,3
34.34371,-2.975527,58.37933,6
34.793392,2.6900144,56.201244,6
39.337536,3.4487822,54.084743,2
41.29412,7.2579045,54.289623,5
43.189663,6.114311,53.43799,5
37.043858,2.0801024,57.13169,3
40.277725,6.0131216,50.113518,5
44.73935,5.0605636,49.940334,5
41.042843,3.9862542,49.12619,2
42.35663,5.893779,54.617165,5
42.283558,6.3959827,54.339787,5
40.986485,5.6200175,58.100388,1
39.298004,4.737473,54.79732,2
42.439392,5.4103794,54.7254,5
40.76319,4.705446,51.625294,2
41.75907,3.321501,52.572998,2
43.293755,4.6002765,58.797676,3
35.984764,4.2310133,53.147488,2
32.11165,-12.354103,53.958607,13
40.414886,3.570936,56.59802,3
39.450985,3.5364738,53.344193,2
43.97319,6.6270494,52.255486,5
41.38604,3.6718388,51.58278,2
42.80533,5.3235335,53.23655,5
41.695232,6.2941856,54.26353,5
43.801514,6.0067244,54.51693,5
44.55565,7.1589394,52.50373,5
43.07141,4.6766624,52.717625,2
42.26692,6.8411207,49.5532,5
44.350018,6.2281175,51.644516,5
45.135216,6.0150948,54.008717,9
44.738384,5.775693,60.207752,1
40.05046,4.58666,56.512108,3
46.710773,5.0262127,56.592365,7
42.830395,5.3147974,50.71979,5
45.850605,5.272979,53.296124,9
39.446922,4.774957,59.92121,3
36.4927,3.2276177,53.01535,2
41.634747,4.941259,52.62834,2
40.40461,4.0478177,56.150215,3
44.17631,7.3171306,49.85062,5
40.662693,4.071985,52.985924,2
47.316376,3.7065368,50.285652,8
45.16793,5.453245,57.12675,7
43.121414,3.2550702,59.82647,3
44.31639,5.2070827,53.928356,5
43.87131,6.198821,53.630943,5
45.259544,6.346175,51.18302,9
43.117188,6.0739083,52.408108,5
43.365067,5.8027935,49.44194,5
42.848896,3.9378715,53.436756,2
41.874313,-0.79097605,52.235527,2
49.009315,5.8879585,54.590782,9
42.331997,6.7419333,52.2756,5
37.57701,4.756857,56.839363,3
45.13867,3.4372184,48.913193,8
47.12568,5.3269787,52.876793,9
45.065254,6.177442,54.791332,9
50.419086,4.623387,52.960808,8
46.256844,4.5438223,53.962997,8
50.95491,6.2714148,52.02987,9
50.23574,3.6793413,50.56856,8
46.005627,6.238145,57.93075,7
44.425926,6.659191,54.294533,5
45.186424,5.164289,55.583534,7
49.006878,4.819145,54.21906,8
46.527237,5.8459473,57.1559,7
50.057556,5.0329,53.763733,9
44.63021,6.8617334,52.877216,5
41.647297,6.075877,55.23294,1
46.99925,5.5427485,54.307903,9
48.691006,5.6957436,55.89357,7
42.160355,3.9496722,53.70701,2
50.37957,4.7413616,54.058475,8
45.723785,3.67091,52.947945,8
44.55916,6.583868,55.21824,1
46.87342,4.778175,55.622963,11
48.0899,5.1699085,50.562153,9
44.90297,7.399995,57.804127,1
49.693657,4.4604936,54.54737,8
50.820847,6.302262,55.849815,7
45.53183,-17.578032,62.578625,15
47.53096,5.612995,55.919437,7
50.632,6.4273376,54.501747,9
56.99359,-24.4438,57.76855,28
45.595898,6.5706453,54.024155,9
46.536556,7.479449,56.05226,7
48.955414,7.230496,56.50291,7
52.62838,1.4413863,54.88643,8
47.670753,5.8193254,58.325623,7
39.156406,3.7591827,61.745182,3
47.066284,4.979572,55.801617,11
49.85725,4.8123846,56.064896,11
49.35456,4.051162,60.715096,11
43.94023,4.374425,56.072807,3
48.49424,6.07156,56.071545,7
54.310364,4.9908743,55.13334,11
44.68396,4.2438836,61.2613,3
47.83004,6.026148,55.19224,7
48.375,4.8212056,57.335068,11
52.860126,4.5547767,56.17145,11
42.287193,5.1310854,58.727676,1
45.794914,7.2015595,54.4588,9
48.848152,4.1918907,58.393547,11
47.264446,6.280227,57.39364,7
48.50657,5.118143,54.447586,9
48.497528,7.3894544,55.077553,7
48.76251,5.9119153,63.009834,7
45.72519,5.680375,60.621872,7
48.56617,4.49881,61.968628,11
51.720486,6.4829903,56.43932,7
47.72719,4.949576,62.07958,11
47.15085,6.1337714,59.134464,7
43.43735,5.286333,59.15712,1
43.42675,5.1964912,59.67741,1
45.957764,7.4953504,54.98977,9
48.400806,4.5021024,61.684807,11
46.659378,4.011269,61.69943,11
45.10612,2.5614643,63.15201,11
47.319412,6.3268423,59.99681,7
48.455235,8.440205,57.472633,7
47.188858,7.8212376,60.988,7
48.285187,3.814983,64.509254,11
43.977295,6.4348674,60.78327,1
45.52351,5.132921,63.189285,7
46.67672,6.156636,59.157516,7
47.99406,5.880552,63.18378,7
51.55488,6.6370907,61.041176,7
46.0059,6.3740215,59.775806,7
52.019783,5.436673,60.212044,7
49.469414,4.909954,57.078167,11
43.422775,4.9356875,54.91079,2
49.47327,4.189866,62.69303,11
45.950436,5.1443233,60.277763,7
43.014164,1.0094093,65.9053,10
45.24116,4.7478185,64.46112,11
46.240356,5.2293224,59.64064,7
48.203373,6.420537,58.89105,7
47.515102,7.2830334,61.301228,7
41.629555,3.815546,56.251987,3
40.312958,2.4922786,64.19276,3
47.92437,6.792958,58.165592,7
47.74115,4.160757,56.51998,11
40.27858,5.4505973,58.124046,1
39.488327,4.0374894,64.51396,3
47.78997,4.9135776,63.165394,11
41.281605,5.3562074,61.055573,1
47.700066,5.385686,59.24398,7
43.324238,5.4549356,63.693665,1
45.45807,4.549166,59.24237,11
48.370625,5.206998,62.5366,7
39.03962,2.4580305,62.818176,3
47.071796,5.1166716,63.262154,7
43.08354,3.6220849,63.029633,3
47.08311,4.3252687,62.827133,11
40.05828,5.406737,59.270954,1
47.739136,7.0789104,57.794575,7
49.426056,6.80591,63.631382,7
50.028137,4.1560893,64.04507,11
43.940475,3.5439434,64.83591,3
45.191578,7.178567,56.63238,7
47.78633,4.3867645,65.0537,25
45.420357,1.1103245,63.863163,11
39.972717,5.782467,64.13464,1
46.30464,2.8749993,64.06656,11
45.702194,6.108622,61.481644,7
44.65039,4.0950403,63.37871,3
44.140083,5.8711767,54.84985,5
40.670437,4.2717047,63.28327,3
40.831192,3.5777297,64.37642,3
39.65476,4.784161,60.451435,3
38.883873,5.179067,61.878723,1
45.573658,3.7186897,63.417282,11
42.24713,0.6757971,65.63403,10
43.664818,2.7673655,62.509212,3
44.025036,3.8386354,66.02228,10
45.72587,4.5373163,58.87835,11
43.066788,2.5659642,63.82027,3
43.919987,5.237293,64.67915,1
43.20276,4.6783566,62.55907,3
41.04608,3.5710464,62.34463,3
41.643944,6.811399,63.649994,1
39.259064,3.3921468,60.07633,3
41.771847,3.8044143,64.35434,3
39.633644,3.3512256,64.56503,3
44.693703,5.250205,62.681786,1
41.205105,2.5045059,65.946014,10
45.881294,6.695738,63.66654,7
44.573997,4.2499914,63.500523,3
42.836388,4.827403,64.83164,3
40.86523,5.6741266,63.48028,1
45.493244,3.1502433,65.142586,25
42.48768,4.150316,63.133217,3
39.16692,2.2033808,63.29096,3
39.212753,2.6119864,62.875557,3
36.804924,1.4131951,61.569435,3
40.372883,3.2563937,62.204136,3
40.215607,2.3455582,64.45627,3
40.379257,4.066578,63.196396,3
42.31981,1.8689117,65.17247,10
40.006145,4.754388,62.896633,3
40.206024,4.037932,62.853775,3
37.470726,2.6036038,63.186417,3
41.43638,2.8427885,62.474205,3
36.006924,0.9316596,63.49365,3
37.028427,3.729568,61.516403,3
40.513657,2.9452796,66.29653,10
38.964832,2.5304627,59.8749,3
40.08461,4.5682006,61.909138,3
42.066673,4.438942,59.88588,3
38.560547,3.4120462,59.60268,3
43.203983,7.8195376,59.962013,1
37.32897,1.4878243,63.75283,3
36.018078,4.408474,60.564484,3
