label,anatomy,,,FiredHeatmap,FiredFractionHeatmap,ElectricActivityHeatmap,InhibitionHeatmap,CalciumHeatmap,BackgroundActivityHeatmap,GrownAxonsHeatmap,GrownDendritesHeatmap,umap,,,UMAPClustering
25,89.934541,142.83168,83.389285,6,3,4,6,3,6,3,5,88.96452,101.89401,41.096325,19
26,90.083715,142.79294,83.525017,4,6,2,6,6,4,6,7,87.08915,92.65869,39.629147,19
27,90.09409,142.94152,83.41156,2,6,4,6,7,5,6,5,57.21518,69.74301,107.03561,15
28,89.945265,142.81749,83.459886,5,6,1,5,7,5,6,4,93.14491,64.93681,36.49949,18
29,90.023149,142.85375,83.483482,2,4,3,5,4,5,4,3,78.28478,41.20174,46.140816,20
30,89.973537,142.80753,83.421793,1,6,4,6,5,6,4,4,91.935135,41.02169,89.112785,21
31,88.643929,142.81322,86.333256,5,7,4,4,6,6,4,3,50.011703,37.196827,76.65967,22
32,88.577094,142.75802,86.235219,2,6,4,5,6,5,5,4,108.25906,80.96829,95.50461,23
33,88.589913,142.84836,86.30149,2,5,4,3,5,6,5,6,121.17306,69.202225,62.176445,24
34,88.734884,142.7216,86.243871,3,5,4,4,4,4,3,3,98.418465,96.34334,44.999397,25
35,88.657277,142.85565,86.325588,2,4,4,2,3,7,3,3,97.215645,86.42654,37.74465,4
36,88.553918,142.83514,86.233372,1,5,4,4,4,6,5,7,108.86071,98.954315,54.41787,12
37,88.719778,142.72676,86.379814,1,5,5,4,4,5,4,6,69.8058,71.64013,112.95862,26
38,88.698388,142.79715,86.4326,3,6,6,4,5,5,4,6,99.07268,107.01422,62.88507,12
39,88.728177,142.75537,86.269762,4,6,5,5,6,6,6,5,34.095196,60.816246,78.83588,27
40,88.627044,142.78196,86.413422,3,7,5,5,7,5,6,5,91.423836,80.64897,109.56849,23
41,85.554768,143.82509,86.991435,4,5,4,5,5,6,5,5,33.972954,45.29515,67.64424,28
42,85.543448,143.81323,86.959646,2,4,5,4,4,6,5,6,113.701126,86.941765,50.567814,3
43,85.637364,143.88604,86.997386,2,4,4,4,4,5,5,6,104.13808,92.908035,42.942238,25
44,85.465209,143.92246,87.039219,5,4,3,4,2,5,2,6,103.34726,107.237434,61.684265,12
45,85.500182,143.77885,86.941686,1,5,3,3,6,5,6,5,90.09714,91.62556,41.347504,25
46,85.6274,143.91304,87.065428,2,6,4,5,6,6,5,6,38.35832,49.650455,72.843025,8
47,85.646,143.89188,87.027818,6,4,5,6,5,6,5,4,61.466774,55.803303,104.09012,15
48,85.582251,143.82667,87.050282,2,8,4,4,7,5,6,6,105.64024,105.86183,73.71727,29
49,85.616175,143.83348,86.956724,3,7,3,5,6,4,6,4,70.08752,60.447918,106.17244,30
50,85.50894,143.88625,87.038364,1,4,3,4,4,5,5,5,87.53743,38.07796,63.908646,31
51,83.807754,143.8909,84.768013,2,7,3,4,6,5,5,5,36.226467,70.52459,79.966,16
52,83.855958,143.87562,84.739019,1,3,4,6,3,4,3,6,39.305225,74.05492,76.85589,16
53,83.882609,143.90501,84.735929,2,6,4,3,4,6,4,5,94.41528,97.794266,98.87428,9
54,83.865104,143.8945,84.731985,2,7,4,5,6,6,6,4,114.89109,92.87755,69.15723,32
55,83.817906,143.85761,84.819312,1,4,6,5,3,4,3,5,99.56806,103.37234,55.760834,12
56,83.768909,143.8863,84.669109,4,3,2,5,5,5,5,7,96.210625,76.027534,53.53512,33
57,83.723371,143.83305,84.707436,3,4,4,5,5,5,6,5,58.336903,71.4898,107.23044,34
58,83.816705,143.96103,84.76574,2,5,3,4,5,7,4,5,120.55228,86.80298,67.919464,3
59,83.761037,143.79583,84.811311,1,7,3,3,6,6,6,5,68.5257,97.62074,96.6676,11
60,83.732447,143.79187,84.794705,1,9,6,4,7,4,7,6,104.483406,86.33829,44.616524,4
61,83.172871,143.96709,81.67106,1,6,7,4,6,5,5,6,46.187065,84.8827,86.07028,16
62,83.089717,143.95001,81.6443,3,5,7,3,5,5,4,4,108.145645,99.12729,58.825268,12
63,83.217119,143.89981,81.613273,5,5,4,6,4,5,5,5,90.06915,79.31714,33.997196,4
64,83.15338,143.9403,81.61937,6,4,5,4,5,6,5,6,120.10399,83.62752,66.74966,3
65,83.149908,144.05158,81.751577,1,6,5,4,5,5,4,8,67.78471,102.92056,91.39847,11
66,83.157021,144.05254,81.573898,2,6,4,5,6,4,6,6,103.91473,68.12148,102.43546,35
67,83.192624,144.02477,81.768943,1,6,4,3,5,5,4,4,89.84796,80.98732,35.83726,6
68,83.117675,144.01167,81.592605,7,7,4,5,6,5,6,4,68.1122,75.04149,108.91803,34
69,83.184631,143.96076,81.646384,2,5,5,3,5,6,5,6,50.403385,59.920097,99.201065,15
70,83.222762,144.05475,81.638399,1,5,3,5,4,4,3,4,81.46472,48.926357,102.75519,36
71,84.532234,145.02044,78.835115,6,5,4,5,5,5,6,5,91.46119,48.52505,98.49672,37
72,84.617207,145.09582,78.88141,2,7,3,5,7,6,6,4,107.23584,83.50117,53.119892,33
73,84.506399,145.00662,78.796376,2,4,3,3,5,6,5,6,62.135345,45.973686,101.56104,5
74,84.585423,145.04369,78.756569,1,6,3,5,6,5,7,6,110.39476,101.52714,65.758064,32
75,84.529931,144.99877,78.747739,1,6,2,6,5,3,5,4,72.95213,66.69753,109.54337,30
76,84.57275,144.93274,78.91438,4,6,4,5,5,6,4,5,98.38301,85.625854,38.502285,4
77,84.632047,145.08668,78.837573,4,7,4,4,6,6,5,4,94.73286,70.14308,34.215797,4
78,84.548792,145.07395,78.915155,2,7,5,3,7,6,6,5,91.12914,62.118603,109.98109,35
79,84.459706,145.01189,78.914381,4,6,3,4,5,7,4,5,89.18522,108.58415,86.260994,38
80,84.518261,144.94534,78.833359,2,5,3,5,6,7,6,6,63.478065,77.343414,106.09287,34
81,88.614214,143.9973,78.296026,1,5,4,5,5,5,5,4,100.28243,94.38399,42.293877,25
82,88.610601,144.0361,78.319462,1,5,5,5,5,6,4,4,98.941574,104.534294,85.59678,29
83,88.526683,144.08462,78.216782,4,6,5,5,4,4,4,5,43.91073,78.07601,85.83558,16
84,88.689954,143.99965,78.26801,3,6,5,2,4,4,4,4,90.03747,49.40732,44.705753,39
85,88.640714,144.02077,78.232281,3,6,4,6,5,7,5,5,93.35484,85.7914,36.31108,4
86,88.516661,143.98108,78.240716,1,4,4,5,3,6,3,7,51.605057,66.55513,101.69925,15
87,88.67897,143.98181,78.333417,2,5,5,5,6,5,6,7,37.057537,60.04494,73.807236,27
88,88.629605,143.91028,78.345141,1,6,4,4,7,4,6,4,76.41788,46.931248,100.00007,36
89,88.698432,143.91116,78.269933,1,4,3,4,5,4,6,5,59.039017,89.70625,103.99419,34
90,88.594654,143.90029,78.3819,1,5,3,4,4,3,5,5,66.29754,71.949356,108.20075,34
91,91.473359,143.94186,79.645917,1,4,3,4,4,5,5,5,39.918053,67.66807,82.29964,27
92,91.456531,143.9886,79.698984,3,6,3,5,5,5,5,7,117.238396,75.84802,84.950874,2
93,91.508242,143.96352,79.734481,3,9,3,5,8,6,7,5,97.898254,103.03815,49.48906,25
94,91.39735,143.89931,79.705814,1,5,5,4,6,6,5,3,118.43288,66.77714,54.311848,24
95,91.550744,143.93081,79.726073,1,6,3,5,4,4,4,6,101.30948,101.012535,75.27688,29
96,91.562349,144.03692,79.563112,3,6,4,5,6,4,5,5,81.71263,79.793106,111.82931,10
97,91.424786,143.91444,79.726737,3,5,3,5,5,4,5,6,58.26618,48.089165,100.509705,5
98,91.560226,144.03208,79.589157,3,4,3,6,4,5,4,3,104.577835,89.53396,39.60121,4
99,91.393328,143.88983,79.671647,1,7,5,4,6,7,5,4,55.245697,84.52201,86.15242,17
100,91.567796,144.04105,79.734347,3,6,2,4,6,4,6,4,102.18285,92.56603,99.96567,9
101,93.211765,142.87634,81.846511,1,5,4,4,5,3,5,5,58.171158,60.59889,104.82474,15
102,93.162658,142.80076,81.899509,1,5,4,3,6,6,6,6,109.39438,81.36155,42.49859,4
103,93.269289,142.90113,81.756758,1,7,3,4,5,5,5,5,74.45528,94.93007,105.92579,40
104,93.172199,142.92809,81.867256,3,5,3,5,3,5,4,6,55.345566,88.91503,92.71183,34
105,93.141898,142.83666,81.934716,2,6,4,2,6,6,6,7,96.776794,102.102875,53.73138,12
106,93.212965,142.93215,81.88633,5,6,3,6,7,7,7,5,103.97811,97.81968,48.87608,25
107,93.127966,142.90653,81.775473,2,5,4,5,4,6,4,5,119.73128,68.83398,67.17289,24
108,93.141229,142.92676,81.852641,5,5,3,6,4,6,4,8,118.760895,83.10505,57.97327,3
109,93.234895,142.88761,81.839925,1,5,3,5,5,4,4,5,44.62544,70.58685,88.06403,16
110,93.206168,142.97578,81.901156,1,3,4,4,4,4,6,7,111.24649,97.0581,77.64687,13
111,93.846648,142.80015,84.943464,1,4,2,5,3,5,3,5,49.791832,35.173656,73.42162,8
112,93.767888,142.85857,85.01531,3,5,5,4,5,5,5,5,102.70611,74.94491,103.11673,23
113,93.843859,142.75739,84.901148,2,7,4,3,5,4,4,4,85.14436,97.74725,104.72602,40
114,93.784759,142.71015,85.040803,4,5,5,3,5,6,5,6,46.797325,55.374947,92.62297,41
115,93.884915,142.86837,85.018275,2,6,7,5,6,6,6,4,78.11868,88.17109,105.87975,42
116,93.933494,142.82279,85.010569,1,5,4,5,2,7,3,6,103.618454,101.87593,53.692284,12
117,93.86821,142.8498,84.848356,2,7,3,5,5,7,4,5,94.33628,91.26546,39.18495,25
118,93.889343,142.70109,85.027879,2,7,3,8,7,5,6,5,75.91402,101.8602,100.68234,40
119,93.90743,142.85213,84.903201,2,3,3,2,5,6,5,5,101.92089,83.373024,102.082794,23
120,93.884271,142.89815,84.857507,1,5,2,4,5,4,5,6,82.57535,78.64203,111.276474,10
121,92.376581,142.72487,88.794858,4,5,3,3,5,5,5,6,86.47943,42.959064,49.221912,20
122,92.293006,142.76157,88.832996,4,5,4,5,4,5,4,6,48.23734,77.314865,94.92612,43
123,92.467907,142.79235,88.810377,4,3,3,4,2,5,3,7,80.24046,72.40675,113.12927,10
124,92.407904,142.66914,88.803608,4,4,5,4,4,5,5,6,117.88848,60.869286,81.765396,44
125,92.376992,142.77914,88.814667,3,4,5,3,2,6,2,5,106.16382,100.84552,55.533752,12
126,92.328096,142.66268,88.723691,5,5,4,6,6,5,8,8,77.2459,81.73791,110.35499,10
127,92.289909,142.71277,88.780333,4,3,3,4,6,5,7,6,96.82189,83.67215,37.524597,4
128,92.321923,142.72338,88.723363,3,5,5,5,4,6,3,8,89.100426,80.771866,35.409214,6
129,92.450363,142.65991,88.892295,2,6,5,5,5,5,4,6,95.831726,91.57388,103.04927,9
130,92.466809,142.70511,88.734692,3,6,4,5,5,7,4,7,108.593704,86.24779,51.956154,33
131,89.1595,142.71539,90.42283,5,6,3,4,6,4,5,5,118.33322,85.87079,60.978783,3
132,89.225643,142.81414,90.387618,4,7,3,7,6,6,5,7,79.05784,82.3265,40.529713,6
133,89.19856,142.71615,90.424376,2,7,5,4,6,7,5,5,61.96567,97.61134,94.263245,11
134,89.111905,142.75421,90.349025,2,5,4,4,4,5,4,6,76.95947,101.19584,97.03381,40
135,89.132479,142.76949,90.343077,4,6,4,4,4,6,4,4,116.92084,95.05658,73.715485,13
136,89.181275,142.78758,90.365574,2,6,6,3,5,7,4,5,91.46025,62.224747,107.97939,35
137,89.258041,142.74642,90.505607,5,6,4,8,6,6,6,3,82.3736,108.740204,87.70293,38
138,89.149469,142.7973,90.448471,3,6,5,6,5,6,5,8,87.14734,89.30989,40.92904,6
139,89.090499,142.70411,90.333088,1,5,2,4,3,3,3,5,91.67298,73.70619,33.26016,4
140,89.227741,142.68223,90.357623,7,6,3,6,5,5,5,5,122.69131,80.656906,66.666336,3
141,86.061731,142.72756,91.058181,2,6,4,3,5,5,5,7,112.5081,87.61293,47.396057,45
142,86.087003,142.78314,91.15358,5,4,2,4,5,5,5,5,119.14067,87.57175,67.360596,3
143,86.122668,142.81083,91.075264,4,6,3,4,5,5,4,7,66.84848,37.412197,93.80043,5
144,86.051545,142.69453,91.15761,2,4,4,5,3,5,3,5,72.24142,95.93461,106.54118,40
145,86.042695,142.81239,90.986512,1,6,3,5,6,6,6,5,74.22638,63.73658,112.42875,46
146,86.00293,142.71844,91.021493,3,6,6,4,5,6,4,6,80.08134,61.277653,110.115746,46
147,86.016928,142.68797,91.031904,5,6,3,5,6,5,5,2,81.73816,49.395184,48.401344,20
148,86.139776,142.73739,90.990168,1,5,5,2,4,7,4,7,103.51514,76.49989,40.572033,4
149,86.01419,142.76882,91.124443,2,5,4,4,5,3,6,6,97.290924,49.55496,95.90178,37
150,86.087262,142.69265,91.007444,7,7,2,7,7,5,7,5,100.53529,80.93407,36.767513,4
151,82.218375,143.79397,89.612028,1,5,4,3,5,4,7,7,98.6902,69.247986,107.162636,35
152,82.23679,143.7427,89.6023,4,6,4,6,5,4,5,6,66.30136,57.167328,104.41456,15
153,82.307466,143.8907,89.550532,1,5,3,3,5,5,6,7,87.190926,69.80441,112.37094,46
154,82.316792,143.79158,89.601059,1,5,5,3,6,7,6,5,107.91953,85.5414,47.809223,4
155,82.172144,143.82336,89.646829,5,5,3,6,6,5,6,6,72.403336,69.97091,111.33091,46
156,82.258102,143.75566,89.518144,3,5,2,6,7,5,7,6,70.86762,58.594357,111.672066,46
157,82.282676,143.73766,89.576301,2,6,4,5,6,6,6,5,111.09767,79.43521,95.32965,47
158,82.229845,143.87272,89.588455,1,5,4,4,3,4,3,3,75.90228,100.51283,94.18687,40
159,82.268506,143.86396,89.656669,2,6,4,6,4,4,5,7,104.98849,98.25761,49.508324,25
160,82.140948,143.7487,89.537457,3,8,3,4,6,5,5,4,87.87326,96.22474,101.91466,40
161,80.471361,143.85979,87.388606,3,5,3,4,6,6,6,6,60.185814,37.337727,52.972725,48
162,80.408981,143.93048,87.395905,2,6,3,4,6,7,5,5,54.733627,39.84714,79.616104,22
163,80.373332,143.94242,87.363779,3,7,4,5,6,6,5,5,47.289757,65.26351,94.359604,41
164,80.539422,143.79651,87.475149,4,7,3,5,6,4,5,5,46.526863,85.48962,84.0174,16
165,80.472764,143.86552,87.403727,3,5,2,5,6,5,6,6,54.24166,54.87618,100.99038,15
166,80.535297,143.84709,87.306958,1,5,3,3,5,4,5,7,93.09454,78.257614,110.60444,49
167,80.479202,143.78485,87.329407,1,4,3,3,3,5,4,5,50.87665,58.652832,99.67953,15
168,80.485621,143.94401,87.408082,4,6,5,5,5,5,4,5,114.29107,86.30945,62.88649,3
169,80.423967,143.91214,87.422875,3,5,5,4,5,6,5,5,71.47521,81.61711,109.760284,42
170,80.562884,143.95909,87.307464,4,4,3,4,5,6,6,5,93.10413,80.556625,34.799095,4
171,78.971579,144.96858,83.20277,4,7,4,4,5,6,4,6,92.757416,87.94765,108.46216,23
172,78.918145,144.99769,83.178022,3,5,3,3,5,6,5,5,88.672,73.128136,34.21423,6
173,78.918603,144.97889,83.207783,3,6,6,6,4,6,3,5,101.75281,74.87265,102.6127,23
174,79.025652,144.95052,83.213156,1,7,4,4,7,6,6,4,121.85045,70.59826,62.395294,3
175,78.919478,145.02231,83.217243,4,5,5,4,3,7,3,4,109.022934,99.529915,58.511574,12
176,79.046414,145.06398,83.264778,3,3,4,3,4,6,5,6,62.01057,89.22449,91.85565,34
177,78.936317,144.8978,83.220107,4,3,3,5,4,4,5,4,75.67384,35.42,62.52491,31
178,79.066975,145.06631,83.122328,1,6,3,4,6,5,5,5,117.063095,95.369865,66.528946,32
179,79.002704,145.01037,83.229436,2,6,4,4,7,4,6,4,80.18988,73.98551,109.78197,42
180,79.055717,144.9467,83.13472,4,3,5,4,3,5,4,5,112.4463,96.1345,58.492615,32
181,79.329515,145.0335,80.224907,2,5,4,3,2,7,2,5,121.63707,73.33745,68.69063,3
182,79.36904,145.00837,80.141933,2,6,4,4,5,5,5,6,48.556717,76.60476,88.55507,16
183,79.420652,145.07414,80.151887,3,5,3,4,6,4,6,6,41.27123,72.922676,87.96442,16
184,79.265653,144.9778,80.134146,5,5,3,7,5,7,4,6,83.90876,51.676826,43.13479,7
185,79.289725,145.01163,80.185443,5,5,3,4,3,5,2,3,90.57399,39.672718,62.97739,50
186,79.386964,144.93652,80.313627,1,4,5,3,4,3,4,6,97.173004,65.46263,36.363113,18
187,79.242324,144.94385,80.163224,1,4,4,3,4,6,3,4,62.576843,40.658497,95.99479,5
188,79.41092,145.04285,80.323032,3,6,4,4,7,8,6,3,121.27252,64.3326,70.05702,44
189,79.392218,145.00003,80.303653,2,5,2,3,5,5,5,7,58.461994,79.62909,85.420456,17
190,79.366081,145.01132,80.268188,3,3,3,4,4,6,5,6,74.425385,37.854618,56.101692,31
191,81.673089,145.07588,77.485224,3,4,4,5,4,7,5,4,90.20738,88.348305,106.2722,23
192,81.766623,145.07906,77.418006,5,5,4,6,6,5,6,6,51.039,78.1829,80.907524,17
193,81.659725,144.99626,77.437671,5,7,3,6,7,7,7,5,46.833122,69.79615,94.09129,41
194,81.579799,145.02212,77.501249,3,5,3,4,4,5,4,6,106.08085,102.94662,64.05354,12
195,81.607776,145.04043,77.446603,2,6,3,4,6,5,7,4,94.39725,105.573,57.214226,12
196,81.591582,145.0563,77.559733,2,6,4,4,5,5,5,5,94.62546,52.05098,98.47226,35
197,81.713437,145.14523,77.429945,1,4,4,5,6,6,5,7,95.478714,39.896782,60.20342,50
198,81.607402,144.99432,77.459486,5,7,3,6,7,4,7,7,96.33116,80.287796,36.646523,4
199,81.71082,145.11434,77.551684,1,4,4,3,4,5,4,4,71.945076,34.768383,81.97684,51
200,81.663431,145.11546,77.390895,1,6,4,4,6,7,6,6,102.41724,79.67439,39.458195,4
201,85.009482,145.10699,74.864631,1,4,4,2,5,5,5,6,82.34063,93.59089,45.61024,19
202,84.950395,145.17435,74.868521,1,6,4,3,5,6,5,4,110.08118,97.99025,58.332413,32
203,85.015243,145.06909,74.868799,2,5,6,4,3,5,4,7,121.05669,67.77826,64.53906,24
204,85.077927,145.04837,74.943031,6,5,4,7,5,3,5,6,109.098366,77.93187,97.89415,23
205,84.939368,145.04552,74.950156,2,5,3,5,5,4,4,5,96.92201,99.55482,48.260277,25
206,84.966658,145.14458,74.90295,3,7,4,4,6,6,5,5,76.896454,92.8875,104.075714,40
207,85.074487,145.06062,74.906242,5,6,7,6,6,6,7,7,100.71339,94.532135,44.312134,25
208,84.977439,145.2001,74.936319,2,7,4,4,6,4,5,7,64.33605,48.56464,105.83854,5
209,84.998059,145.0958,74.919235,1,5,3,4,5,4,4,5,118.61055,78.07088,66.86421,3
210,85.023987,145.05264,74.871298,4,5,4,4,5,6,5,7,119.12347,62.783867,61.58571,24
211,88.107251,145.09483,74.22928,4,4,2,6,4,3,4,4,88.30914,103.38021,96.38299,40
212,88.080779,145.18136,74.218554,3,5,3,4,5,7,5,5,108.638535,74.98793,98.71472,23
213,88.133036,145.04108,74.164066,2,5,2,4,4,4,4,5,87.33266,84.248436,35.078514,6
214,88.027724,145.00156,74.249794,3,5,4,6,7,5,8,5,98.16449,82.33247,41.37997,4
215,88.069299,145.04899,74.299217,2,5,3,4,6,5,6,7,59.055668,92.926865,89.39057,52
216,88.12446,145.15738,74.147676,4,6,4,5,7,6,6,6,88.931946,85.455696,34.900024,6
217,88.026694,145.06121,74.15237,4,4,4,4,5,7,6,7,66.35722,94.14487,102.79967,11
218,88.171846,145.03549,74.267125,2,5,3,5,6,4,7,4,116.75668,76.26375,73.15715,2
219,88.204075,145.09972,74.152803,2,5,3,4,5,6,4,4,61.826244,87.7998,82.256775,17
220,88.071959,145.16117,74.293916,3,5,2,4,5,5,5,7,55.568813,73.730865,101.71611,34
221,91.950607,144.02841,75.675433,1,5,3,6,4,8,5,9,88.334114,60.902294,107.504776,30
222,91.866895,144.00074,75.728992,3,6,3,5,6,6,6,6,114.581795,74.94157,50.001472,3
223,91.924106,144.0423,75.755897,3,6,3,4,5,5,6,6,57.68982,93.1582,93.60652,11
224,91.986847,144.04444,75.742443,3,6,2,5,7,6,7,4,115.46286,79.58749,89.2653,2
225,91.97851,144.11453,75.699074,2,5,3,4,6,5,6,7,100.24292,90.09347,41.639526,25
226,91.859644,144.11305,75.735778,4,7,4,5,6,5,5,5,98.69541,67.5081,103.62594,35
227,91.995353,144.02945,75.658765,1,4,4,3,5,5,5,5,45.585075,42.91414,85.21226,8
228,91.929472,143.97132,75.660021,3,6,4,4,4,5,4,4,61.175957,84.96011,100.61623,34
229,91.86863,144.06234,75.730399,2,6,4,4,7,7,7,5,65.06444,32.660576,72.9847,22
230,91.941293,143.94803,75.698632,1,6,3,3,6,5,6,7,51.802498,45.9845,96.428116,5
231,94.801144,142.97327,77.002496,1,5,3,4,5,6,6,6,109.17115,97.35444,67.381256,12
232,94.775992,142.98486,76.944406,7,5,4,8,4,4,4,5,84.48749,91.19174,43.035374,19
233,94.898692,143.05592,76.998593,3,4,3,5,4,5,5,6,67.92379,34.31518,70.40074,22
234,94.833496,142.91659,77.082442,1,6,3,5,4,4,4,6,69.21643,91.605034,103.21662,11
235,94.808939,142.94361,76.917636,3,6,6,5,6,6,5,5,47.049755,75.60092,91.41675,43
236,94.713352,142.93483,76.958941,1,6,2,5,4,6,4,7,94.954865,78.530716,42.167953,4
237,94.846175,143.06698,77.051981,3,3,3,5,6,4,7,7,84.35876,68.26442,38.260757,7
238,94.786982,142.98569,76.935115,3,6,4,4,6,5,7,6,64.7771,80.3495,103.67923,34
239,94.828611,142.89922,77.072148,3,6,4,4,7,5,7,5,80.5064,90.15115,106.906395,40
240,94.786891,143.0585,76.909504,3,6,5,4,6,3,6,6,119.46718,80.09425,54.577614,3
241,96.428846,142.88581,80.218539,3,6,5,4,4,6,3,5,32.15158,63.793297,72.74131,27
242,96.488123,142.9791,80.188893,1,7,4,3,7,4,6,7,50.456413,44.61433,91.96224,5
243,96.367473,142.90699,80.302435,3,4,6,4,5,6,6,6,118.5279,90.253174,64.37675,32
244,96.508969,142.81294,80.279425,5,4,4,8,4,4,3,5,110.61824,93.14761,53.96781,32
245,96.330453,142.848,80.125457,2,6,3,5,5,5,4,3,120.99793,69.21701,66.42642,24
246,96.384585,142.93582,80.136945,3,7,3,5,7,6,7,6,103.76449,68.34163,102.13875,35
247,96.396008,142.93084,80.26463,1,4,3,5,2,4,3,5,123.72063,71.36956,71.82385,2
248,96.51246,142.84301,80.313261,2,6,5,5,5,6,5,5,71.10649,81.91323,108.04787,42
249,96.478577,142.87866,80.224586,1,5,4,3,5,4,4,7,72.501785,74.7357,109.67343,42
250,96.43195,142.9455,80.193251,2,5,4,5,6,5,7,6,107.83134,96.1154,58.361076,12
251,97.05512,141.80992,83.292663,4,5,2,6,4,5,4,6,116.103,93.08178,63.315907,32
252,96.994644,141.75323,83.259413,1,5,3,4,5,4,5,5,105.36152,79.52681,39.91676,4
253,96.979544,141.75343,83.210982,2,5,3,4,4,4,3,5,112.258896,94.88904,64.29366,32
254,97.120993,141.80662,83.343012,5,5,5,4,6,7,7,4,116.74124,92.89194,60.285664,32
255,97.136407,141.77488,83.251691,1,6,5,4,6,5,6,6,66.48247,47.296616,102.532974,5
256,96.999621,141.77158,83.211001,1,7,3,5,6,4,6,5,43.456783,60.635994,86.18186,27
257,97.010402,141.72037,83.356063,1,7,4,5,6,4,5,7,43.029877,69.15896,78.74728,27
258,97.003267,141.7112,83.364667,4,7,3,5,6,5,6,5,85.40408,80.71183,110.630295,10
259,97.07647,141.89238,83.206726,6,7,2,6,6,5,5,6,99.57012,63.82326,102.95921,35
260,96.990973,141.87685,83.359077,2,5,5,5,5,6,5,5,99.71312,99.44699,96.13634,9
261,96.577872,141.72337,87.263147,5,5,4,5,5,4,5,6,106.54614,100.31586,53.72713,12
262,96.606191,141.64154,87.176423,5,7,4,5,7,5,6,6,57.316326,83.181046,97.81253,34
263,96.63456,141.8034,87.315717,1,6,4,3,6,5,6,5,104.957214,105.8117,65.50737,12
264,96.48606,141.73066,87.327954,2,4,4,3,5,5,6,6,120.30732,77.21404,57.23156,3
265,96.664021,141.70941,87.208865,6,4,2,6,5,5,6,5,95.340614,99.971,53.43214,12
266,96.496415,141.7668,87.230658,1,7,4,3,6,6,5,2,65.06089,51.166573,105.53885,15
267,96.606036,141.64927,87.181967,4,5,4,5,5,6,4,5,80.57136,96.90556,44.915085,19
268,96.499613,141.65038,87.355455,3,5,4,5,4,5,4,6,77.254486,56.807484,37.29158,7
269,96.496024,141.8185,87.324079,3,7,3,5,5,5,3,2,102.775696,84.93321,41.28971,4
270,96.603655,141.66732,87.186706,3,4,3,5,4,4,5,6,49.669434,66.89345,95.36973,41
271,95.227117,141.66972,90.12192,4,5,3,5,7,6,7,5,90.39176,75.542694,40.50665,4
272,95.165801,141.65196,90.073267,4,5,4,3,5,4,5,7,114.54831,93.815994,60.779594,32
273,95.274502,141.71356,90.023075,2,5,3,5,6,4,6,6,74.43703,33.61123,70.609116,51
274,95.314415,141.6504,90.126507,5,5,4,7,6,4,6,5,107.31904,60.952248,96.10424,35
275,95.259411,141.65856,90.053642,3,4,2,5,5,4,6,8,106.45329,94.66874,46.404274,25
